'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH RESOURCE CENTRE New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH RESOURCE CENTRE,01/03/2025,4.1,0.0, ,39.2,22.0,52,18,0.00,24.74
GUNNEDAH RESOURCE CENTRE,02/03/2025,3.9,0.0, ,38.3,21.5,72,20,0.00,21.94
GUNNEDAH RESOURCE CENTRE,03/03/2025,4.3,0.0, ,33.2,20.0,76,38,0.00,24.72
GUNNEDAH RESOURCE CENTRE,04/03/2025,4.1,0.0, ,31.9,19.1,82,40,0.00,23.28
GUNNEDAH RESOURCE CENTRE,05/03/2025,4.0,0.0, ,30.7,19.6,78,41,0.00,23.04
GUNNEDAH RESOURCE CENTRE,06/03/2025,4.0,0.0, ,34.1,20.1,77,37,0.00,22.90
GUNNEDAH RESOURCE CENTRE,07/03/2025,3.3,0.0, ,29.8,18.8,73,43,0.00,19.03
GUNNEDAH RESOURCE CENTRE,08/03/2025,3.8,0.0, ,33.9,19.7,79,36,0.00,21.63
GUNNEDAH RESOURCE CENTRE,09/03/2025,2.8,0.0, ,31.4,20.8,77,45,0.00,14.73
GUNNEDAH RESOURCE CENTRE,10/03/2025,2.1,9.8, ,24.6,18.3,97,67,0.00,10.53
GUNNEDAH RESOURCE CENTRE,11/03/2025,2.1,8.6, ,25.7,19.4,96,73,0.00,10.44
GUNNEDAH RESOURCE CENTRE,12/03/2025,3.3,2.8, ,30.1,17.9,97,49,0.00,18.37
GUNNEDAH RESOURCE CENTRE,13/03/2025,3.4,0.0, ,32.1,20.2,83,37,0.00,19.37
GUNNEDAH RESOURCE CENTRE,14/03/2025,3.9,0.0, ,33.8,19.0,88,30,0.00,23.23
GUNNEDAH RESOURCE CENTRE,15/03/2025,3.9,0.0, ,34.7,20.9,73,29,0.00,23.05
GUNNEDAH RESOURCE CENTRE,16/03/2025,3.7,0.0, ,34.1,20.5,64,31,0.00,22.40
GUNNEDAH RESOURCE CENTRE,17/03/2025,3.7,0.0, ,32.4,22.0,68,36,0.00,22.11
GUNNEDAH RESOURCE CENTRE,18/03/2025,2.8,0.0, ,30.8,15.6,71,39,0.00,17.20
GUNNEDAH RESOURCE CENTRE,19/03/2025,3.4,0.0, ,31.2,19.1,72,40,0.00,20.35
GUNNEDAH RESOURCE CENTRE,20/03/2025,3.4,0.0, ,32.9,19.3,73,30,0.00,21.39
GUNNEDAH RESOURCE CENTRE,21/03/2025,1.4,0.0, ,27.0,20.2,98,51,0.00,5.93
GUNNEDAH RESOURCE CENTRE,22/03/2025,3.3,26.6, ,30.4,16.9,99,38,0.00,19.88
GUNNEDAH RESOURCE CENTRE,23/03/2025,2.8,0.0, ,31.0,18.2,84,45,0.00,15.83
GUNNEDAH RESOURCE CENTRE,24/03/2025,1.9,0.6, ,27.0,20.3,89,55,0.00,9.84
GUNNEDAH RESOURCE CENTRE,25/03/2025,2.5,0.0, ,29.6,20.1,84,46,0.00,13.67
GUNNEDAH RESOURCE CENTRE,26/03/2025,1.6,0.0, ,25.6,19.1,82,51,0.00,8.03
GUNNEDAH RESOURCE CENTRE,27/03/2025,1.5,0.0, ,25.8,19.1,82,45,0.00,7.17
GUNNEDAH RESOURCE CENTRE,28/03/2025,1.5,0.0, ,25.4,18.9,97,47,0.00,7.43
GUNNEDAH RESOURCE CENTRE,29/03/2025,1.6,77.0, ,22.9,17.7,98,80,0.00,8.48
GUNNEDAH RESOURCE CENTRE,30/03/2025,2.6,47.0, ,27.6,18.2,98,57,0.00,14.71
GUNNEDAH RESOURCE CENTRE,31/03/2025,2.8,0.2, ,25.2,18.0,82,54,0.00,18.08
Totals:,,93.5,172.6, ,,,,,, 
