'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GUNNEDAH RESOURCE CENTRE New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GUNNEDAH RESOURCE CENTRE,01/07/2025,0.9,0.0, ,16.9,6.9,89,50,0.00,12.12
GUNNEDAH RESOURCE CENTRE,02/07/2025,0.8,0.0, ,16.6,7.4,83,54,0.00,8.45
GUNNEDAH RESOURCE CENTRE,03/07/2025,0.9,0.0, ,17.0,7.9,92,49,0.00,11.61
GUNNEDAH RESOURCE CENTRE,04/07/2025,0.8,0.0, ,15.3,2.3,98,56,0.00,12.27
GUNNEDAH RESOURCE CENTRE,05/07/2025,0.9,0.0, ,20.7,3.1,96,41,0.00,12.26
GUNNEDAH RESOURCE CENTRE,06/07/2025,0.9,0.0, ,21.4,9.4,83,46,0.00,10.69
GUNNEDAH RESOURCE CENTRE,07/07/2025, ,0.0, , ,5.4,80,45,0.00,12.23
GUNNEDAH RESOURCE CENTRE,08/07/2025,0.8, , ,16.1,2.5,97,50,0.00,10.51
GUNNEDAH RESOURCE CENTRE,09/07/2025, ,0.0, , ,5.5,87,33,0.00,12.62
GUNNEDAH RESOURCE CENTRE,10/07/2025, , , ,15.8, ,68,36,0.00,12.52
GUNNEDAH RESOURCE CENTRE,11/07/2025,0.9,0.0, ,16.4,2.6,84,46,0.00,12.68
GUNNEDAH RESOURCE CENTRE,12/07/2025,0.9,0.0, ,17.9,4.8,90,42,0.00,12.72
GUNNEDAH RESOURCE CENTRE,13/07/2025,0.9,0.0, ,17.1,2.5,97,43,0.00,12.78
GUNNEDAH RESOURCE CENTRE,14/07/2025,0.9,0.0, ,18.5,3.3,85,41,0.00,12.68
GUNNEDAH RESOURCE CENTRE,15/07/2025,0.8,0.0, ,11.7,6.4,96,65,0.00,7.19
GUNNEDAH RESOURCE CENTRE,16/07/2025,0.9,5.0, ,14.7,1.8,97,50,0.00,13.10
GUNNEDAH RESOURCE CENTRE,17/07/2025,0.9,0.2, ,16.4,0.7,97,54,0.00,12.30
GUNNEDAH RESOURCE CENTRE,18/07/2025,1.0,2.6, ,16.9,4.1,95,47,0.00,12.26
GUNNEDAH RESOURCE CENTRE,19/07/2025,1.0,0.0, ,17.4,4.5,86,38,0.00,13.31
GUNNEDAH RESOURCE CENTRE,20/07/2025,1.0,0.0, ,18.2,2.1,95,42,0.00,13.39
GUNNEDAH RESOURCE CENTRE,21/07/2025,1.1,0.0, ,19.7,4.7,84,48,0.00,13.44
GUNNEDAH RESOURCE CENTRE,22/07/2025,1.1,0.0, ,20.4,8.3,96,48,0.00,11.37
GUNNEDAH RESOURCE CENTRE,23/07/2025, ,13.6, , ,11.3,97,54,0.00,6.66
GUNNEDAH RESOURCE CENTRE,24/07/2025, , , ,15.0, ,92,37,0.00,13.61
GUNNEDAH RESOURCE CENTRE,25/07/2025,1.0,0.2, ,16.0,0.9,95,42,0.00,12.37
GUNNEDAH RESOURCE CENTRE,26/07/2025,0.9,21.2, ,15.8,7.1,97,64,0.00,6.74
GUNNEDAH RESOURCE CENTRE,27/07/2025,1.1,3.4, ,15.1,8.0,93,64,0.00,10.83
GUNNEDAH RESOURCE CENTRE,28/07/2025,1.1,0.8, ,15.4,7.4,93,48,0.00,12.03
GUNNEDAH RESOURCE CENTRE,29/07/2025,1.1,0.0, ,14.7,5.3,92,50,0.00,12.66
GUNNEDAH RESOURCE CENTRE,30/07/2025, ,2.8, , ,7.4,96,82,0.00,6.12
GUNNEDAH RESOURCE CENTRE,31/07/2025, , , ,15.0, ,92,65,0.00,12.11
Totals:,,22.6,49.8, ,,,,,, 
