'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAY AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAY AIRPORT,01/09/2024,5.6,0.0, ,24.0,6.1,88,22,7.12,17.23
HAY AIRPORT,02/09/2024,5.0,0.0, ,18.4,11.7,80,28,9.87,16.94
HAY AIRPORT,03/09/2024,2.8,0.0, ,18.6,2.6,99,36,2.50,17.55
HAY AIRPORT,04/09/2024,5.1,0.0, ,23.6,3.9,88,22,5.69,17.68
HAY AIRPORT,05/09/2024,8.2,0.0, ,30.2,12.0,48,16,7.61,11.07
HAY AIRPORT,06/09/2024,9.1,0.0, ,33.1,15.1,72,19,8.86,17.40
HAY AIRPORT,07/09/2024,3.6,0.6, ,21.1,8.3,100,30,3.58,17.96
HAY AIRPORT,08/09/2024,4.1,0.0, ,22.1,5.0,95,25,4.00,18.13
HAY AIRPORT,09/09/2024,3.3,0.0, ,21.4,5.9,99,41,3.92,14.78
HAY AIRPORT,10/09/2024,3.0,0.0, ,23.1,1.7,100,31,1.56,18.49
HAY AIRPORT,11/09/2024,4.6,0.0, ,25.5,8.6,97,24,4.53,13.11
HAY AIRPORT,12/09/2024,4.4,0.0, ,19.8,9.6,100,29,7.22,18.02
HAY AIRPORT,13/09/2024,3.8,0.0, ,21.2,1.0,99,35,4.04,18.98
HAY AIRPORT,14/09/2024,3.6,0.0, ,19.0,2.2,100,36,5.47,16.65
HAY AIRPORT,15/09/2024,4.1,0.0, ,17.2,-0.5,99,19,5.62,19.32
HAY AIRPORT,16/09/2024,3.6,0.0, ,18.0,-3.3,99,31,4.45,19.48
HAY AIRPORT,17/09/2024,3.9,0.0, ,21.1,1.0,100,24,3.24,19.59
HAY AIRPORT,18/09/2024,7.0,0.0, ,26.1,2.8,80,8,6.25,19.64
HAY AIRPORT,19/09/2024,5.0,0.0, ,22.9,2.2,77,30,5.54,18.58
HAY AIRPORT,20/09/2024,4.1,0.0, ,21.3,3.6,99,35,5.09,17.70
HAY AIRPORT,21/09/2024,4.0,0.0, ,21.0,7.0,99,33,4.95,16.25
HAY AIRPORT,22/09/2024,3.9,0.0, ,23.1,4.7,99,33,3.29,18.70
HAY AIRPORT,23/09/2024,4.4,0.0, ,26.6,4.4,99,25,2.63,20.05
HAY AIRPORT,24/09/2024,5.8,0.0, ,28.2,8.7,83,16,4.76,12.14
HAY AIRPORT,25/09/2024,1.5,0.6, ,17.2,15.2,100,71,4.07,4.53
HAY AIRPORT,26/09/2024,4.6,27.0, ,19.0,7.1,99,27,7.02,21.14
HAY AIRPORT,27/09/2024,3.9,0.0, ,21.2,1.0,99,29,2.94,21.25
HAY AIRPORT,28/09/2024,4.9,0.0, ,22.9,6.2,90,29,4.97,20.79
HAY AIRPORT,29/09/2024,2.8,0.0, ,20.2,11.6,100,46,4.55,7.99
HAY AIRPORT,30/09/2024,4.0,0.6, ,22.2,3.2,100,37,3.56,21.27
Totals:,,133.7,28.8, ,,,,,, 
