'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAY AIRPORT New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAY AIRPORT,01/01/2025,10.4,0.0, ,34.9,13.0,59,10,5.37,31.65
HAY AIRPORT,02/01/2025,9.8,0.0, ,32.3,14.1,74,8,5.82,31.62
HAY AIRPORT,03/01/2025,8.6,0.0, ,37.3,11.7,69,8,2.85,31.47
HAY AIRPORT,04/01/2025,12.4,0.0, ,42.3,17.8,39,5,5.11,30.15
HAY AIRPORT,05/01/2025,10.4,0.0, ,40.9,23.1,35,12,5.11,18.05
HAY AIRPORT,06/01/2025,4.7,0.0, ,30.9,27.3,95,30,5.19,6.88
HAY AIRPORT,07/01/2025,8.0,1.8, ,32.6,11.3,92,27,4.49,31.59
HAY AIRPORT,08/01/2025,9.5,0.0, ,33.7,16.9,67,18,5.23,31.47
HAY AIRPORT,09/01/2025,8.0,0.0, ,34.3,18.1,64,17,4.40,20.98
HAY AIRPORT,10/01/2025,8.0,0.0, ,35.4,18.9,58,19,3.88,22.77
HAY AIRPORT,11/01/2025,7.9,0.0, ,36.8,19.4,78,25,3.70,25.29
HAY AIRPORT,12/01/2025,8.8,0.0, ,37.9,20.6,76,21,4.79,22.62
HAY AIRPORT,13/01/2025, ,3.4, , ,17.7,99,17,3.92,29.97
HAY AIRPORT,14/01/2025,9.2, , ,41.5,19.9,80,10,2.88,31.10
HAY AIRPORT,15/01/2025,10.0,0.0, ,33.9,25.5,47,23,8.21,15.14
HAY AIRPORT,16/01/2025,9.5,0.0, ,28.9,12.2,58,21,8.48,30.83
HAY AIRPORT,17/01/2025,10.5,0.0, ,33.2,14.4,65,11,6.67,30.75
HAY AIRPORT,18/01/2025, ,0.0, ,34.4,14.6, , , ,30.57
HAY AIRPORT,19/01/2025,8.7,0.0, ,36.3,19.5,67,18,3.67,30.05
HAY AIRPORT,20/01/2025,9.4,0.0, ,40.8,18.8,53,11,3.52,27.27
HAY AIRPORT,21/01/2025,12.2,0.0, ,43.9,26.5,29,8,5.30,24.18
HAY AIRPORT,22/01/2025,10.4,0.0, ,32.7,21.2,56,16,7.49,26.64
HAY AIRPORT,23/01/2025,7.5,0.0, ,30.6,12.0,72,16,5.29,18.66
HAY AIRPORT,24/01/2025,9.1,0.0, ,30.7,13.3,74,15,6.33,29.83
HAY AIRPORT,25/01/2025,7.9,0.0, ,34.1,12.2,63,18,3.61,26.66
HAY AIRPORT,26/01/2025,8.4,0.0, ,37.2,17.0,65,13,3.12,29.11
HAY AIRPORT,27/01/2025,10.7,0.0, ,44.2,23.5,38,7,3.79,28.67
HAY AIRPORT,28/01/2025,10.4,0.0, ,34.5,21.6,65,12,6.48,28.64
HAY AIRPORT,29/01/2025,9.5,0.0, ,32.9,13.6,70,9,5.58,28.87
HAY AIRPORT,30/01/2025,8.8,0.0, ,32.0,10.6,77,8,5.22,25.96
HAY AIRPORT,31/01/2025,9.6,0.0, ,36.4,11.9,77,9,4.60,28.80
Totals:,,268.3,5.2, ,,,,,, 
