'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HAY AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HAY AIRPORT,01/02/2025,10.6,0.0, ,40.5,19.8,63,19,5.24,28.07
HAY AIRPORT,02/02/2025,10.4,0.0, ,41.2,26.9,66,20,5.74,22.71
HAY AIRPORT,03/02/2025,9.9,0.2, ,40.9,21.6,69,14,4.26,27.60
HAY AIRPORT,04/02/2025,11.4,0.0, ,42.2,23.8,41,14,5.69,21.74
HAY AIRPORT,05/02/2025,8.9,0.0, ,38.4,21.3,80,22,4.30,27.99
HAY AIRPORT,06/02/2025,9.3,0.0, ,41.5,24.3,61,18,3.88,25.50
HAY AIRPORT,07/02/2025,11.6,0.0, ,43.1,28.0,51,14,6.12,21.03
HAY AIRPORT,08/02/2025,8.5,5.8, ,35.4,16.4,93,16,4.65,27.08
HAY AIRPORT,09/02/2025,7.7,0.2, ,35.9,16.6,81,14,3.49,24.87
HAY AIRPORT,10/02/2025,8.1,0.0, ,35.6,18.5,80,22,4.37,25.53
HAY AIRPORT,11/02/2025,7.5,0.0, ,36.5,19.7,80,18,3.10,25.82
HAY AIRPORT,12/02/2025,8.9,0.0, ,37.6,19.7,53,20,4.11,27.06
HAY AIRPORT,13/02/2025,10.0,0.0, ,40.3,24.5,82,18,5.87,23.09
HAY AIRPORT,14/02/2025,8.8,0.2, ,30.7,19.1,59,21,7.36,21.56
HAY AIRPORT,15/02/2025,8.0,0.0, ,26.3,13.9,64,21,8.16,24.49
HAY AIRPORT,16/02/2025,6.7,0.0, ,24.0,8.0,65,19,5.82,26.32
HAY AIRPORT,17/02/2025,6.6,0.0, ,29.2,7.6,72,12,3.30,25.96
HAY AIRPORT,18/02/2025,8.2,0.0, ,32.5,10.9,48,9,4.14,25.83
HAY AIRPORT,19/02/2025,7.4,0.0, ,28.5,10.9,72,22,5.80,25.65
HAY AIRPORT,20/02/2025,8.2,0.0, ,31.6,12.3,79,14,5.31,25.55
HAY AIRPORT,21/02/2025,8.5,0.0, ,36.7,16.5,70,17,4.34,25.14
HAY AIRPORT,22/02/2025,12.0,0.0, ,40.0,22.7,50,16,7.41,23.82
HAY AIRPORT,23/02/2025,14.0,0.0, ,41.4,26.7,36,14,8.70,22.16
HAY AIRPORT,24/02/2025,8.3,0.0, ,33.4,15.1,60,15,4.79,24.77
HAY AIRPORT,25/02/2025,7.2,0.0, ,38.0,12.1,77,9,2.63,24.40
HAY AIRPORT,26/02/2025,8.7,0.0, ,39.5,17.8,74,6,3.71,24.34
HAY AIRPORT,27/02/2025,8.5,0.0, ,38.6,16.4,51,11,3.65,24.03
HAY AIRPORT,28/02/2025,6.5,0.0, ,34.9,22.5,49,21,3.16,17.06
Totals:,,250.4,6.4, ,,,,,, 
