'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY AERODROME New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY AERODROME,01/09/2024,4.6,0.0, ,26.5,7.3,75,17,3.13,17.54
HOLSWORTHY AERODROME,02/09/2024,6.6,0.0, ,24.3,13.4,44,19,6.75,17.64
HOLSWORTHY AERODROME,03/09/2024,3.4,0.0, ,18.8,7.9,84,28,3.29,17.84
HOLSWORTHY AERODROME,04/09/2024,3.3,0.0, ,22.9,2.3,94,28,2.22,17.88
HOLSWORTHY AERODROME,05/09/2024,3.5,0.0, ,27.2,5.5,91,27,2.19,13.51
HOLSWORTHY AERODROME,06/09/2024,4.7,0.0, ,29.4,10.7,84,24,3.00,18.29
HOLSWORTHY AERODROME,07/09/2024,3.4,0.0, ,24.7,14.0,91,42,3.01,14.50
HOLSWORTHY AERODROME,08/09/2024,2.2,0.0, ,20.8,14.5,94,38,1.86,7.40
HOLSWORTHY AERODROME,09/09/2024,4.2,0.0, ,24.3,8.1,77,31,3.26,18.60
HOLSWORTHY AERODROME,10/09/2024,2.9,0.0, ,22.1,8.5,94,49,1.92,17.96
HOLSWORTHY AERODROME,11/09/2024,3.3,0.0, ,26.1,6.7,97,34,1.54,18.15
HOLSWORTHY AERODROME,12/09/2024,3.7,0.0, ,20.1,15.2,88,48,5.66,16.05
HOLSWORTHY AERODROME,13/09/2024,3.3,0.0, ,19.3,10.2,88,42,3.44,16.93
HOLSWORTHY AERODROME,14/09/2024,4.5,0.0, ,24.0,4.8,96,22,3.62,19.35
HOLSWORTHY AERODROME,15/09/2024,4.1,0.0, ,17.0,6.4,66,34,5.63,18.81
HOLSWORTHY AERODROME,16/09/2024,3.9,0.0, ,19.9,3.5,78,25,3.36,20.03
HOLSWORTHY AERODROME,17/09/2024,3.8,0.0, ,22.2,5.8,91,32,2.78,20.21
HOLSWORTHY AERODROME,18/09/2024,5.2,0.0, ,26.1,4.2,87,10,3.27,20.41
HOLSWORTHY AERODROME,19/09/2024,5.7,0.0, ,26.7,7.9,58,13,3.78,20.46
HOLSWORTHY AERODROME,20/09/2024,5.6,0.0, ,24.8,11.3,54,18,4.11,20.75
HOLSWORTHY AERODROME,21/09/2024,4.6,0.0, ,24.2,8.3,68,21,2.86,20.91
HOLSWORTHY AERODROME,22/09/2024,4.4,0.0, ,25.7,8.2,71,23,2.67,17.73
HOLSWORTHY AERODROME,23/09/2024,4.8,0.0, ,28.7,6.6,85,20,2.38,21.33
HOLSWORTHY AERODROME,24/09/2024,4.2,0.0, ,26.7,11.6,88,33,2.69,18.19
HOLSWORTHY AERODROME,25/09/2024,2.9,0.0, ,26.8,13.9,92,31,1.71,9.24
HOLSWORTHY AERODROME,26/09/2024,1.2,8.6, ,13.5,10.5,96,84,4.82,5.25
HOLSWORTHY AERODROME,27/09/2024,2.5,12.2, ,17.2,10.2,94,61,4.15,13.46
HOLSWORTHY AERODROME,28/09/2024,3.0,7.8, ,19.1,9.8,97,57,3.26,18.09
HOLSWORTHY AERODROME,29/09/2024,2.4,0.6, ,21.4,10.0,97,67,2.03,13.44
HOLSWORTHY AERODROME,30/09/2024,3.1,7.4, ,20.3,14.1,98,59,3.16,17.43
Totals:,,115,36.6, ,,,,,, 
