'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY AERODROME New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY AERODROME,01/10/2024,3.9,0.2, ,23.0,7.6,96,47,2.66,22.85
HOLSWORTHY AERODROME,02/10/2024,2.4,5.2, ,19.2,12.9,95,61,2.86,11.59
HOLSWORTHY AERODROME,03/10/2024,3.3,0.4, ,20.9,11.6,97,52,2.17,19.55
HOLSWORTHY AERODROME,04/10/2024,3.6,0.2, ,24.7,6.3,96,41,1.73,20.04
HOLSWORTHY AERODROME,05/10/2024,4.2,2.0, ,25.9,13.3,97,29,2.43,19.31
HOLSWORTHY AERODROME,06/10/2024,5.1,0.0, ,27.4,10.3,84,25,3.03,21.74
HOLSWORTHY AERODROME,07/10/2024,5.4,0.0, ,29.1,10.2,88,26,2.95,23.32
HOLSWORTHY AERODROME,08/10/2024,2.3,0.0, ,15.4,13.9,84,56,4.26,6.93
HOLSWORTHY AERODROME,09/10/2024,2.6,0.0, ,16.8,11.9,82,51,2.97,10.24
HOLSWORTHY AERODROME,10/10/2024,4.5,0.0, ,24.9,10.4,96,42,2.80,24.50
HOLSWORTHY AERODROME,11/10/2024,4.1,0.0, ,24.9,12.5,95,51,3.30,20.91
HOLSWORTHY AERODROME,12/10/2024,3.4,5.0, ,18.8,14.4,88,49,5.18,13.58
HOLSWORTHY AERODROME,13/10/2024,3.6,0.0, ,21.4,8.7,89,48,2.86,19.27
HOLSWORTHY AERODROME,14/10/2024,3.2,0.0, ,25.6,9.0,96,48,1.92,14.40
HOLSWORTHY AERODROME,15/10/2024,2.1,7.8, ,17.1,11.9,96,59,3.41,8.49
HOLSWORTHY AERODROME,16/10/2024,3.1,0.2, ,20.6,12.0,88,51,2.03,16.26
HOLSWORTHY AERODROME,17/10/2024, ,0.0, , ,7.8,95,43,2.20,25.67
HOLSWORTHY AERODROME,18/10/2024, , , ,26.5, ,96,53,2.65,10.95
HOLSWORTHY AERODROME,19/10/2024,3.3,3.2, ,25.1,15.1,97,54,2.32,14.69
HOLSWORTHY AERODROME,20/10/2024,4.5,0.8, ,22.0,14.6,93,55,4.83,24.84
HOLSWORTHY AERODROME,21/10/2024,4.3,0.0, ,21.7,14.2,81,52,4.73,20.12
HOLSWORTHY AERODROME,22/10/2024,5.1,0.0, ,26.0,8.4,93,24,2.61,25.01
HOLSWORTHY AERODROME,23/10/2024,4.0,0.0, ,29.4,9.3,95,35,1.55,17.85
HOLSWORTHY AERODROME,24/10/2024,3.6,0.0, ,22.2,15.6,95,55,4.48,16.22
HOLSWORTHY AERODROME,25/10/2024,4.7,8.4, ,21.5,9.5,96,35,4.10,24.25
HOLSWORTHY AERODROME,26/10/2024,4.6,0.0, ,20.1,9.4,86,33,2.88,26.26
HOLSWORTHY AERODROME,27/10/2024,4.9,0.0, ,27.1,7.3,91,27,1.92,25.08
HOLSWORTHY AERODROME,28/10/2024,5.1,0.0, ,26.7,9.2,93,34,3.64,21.26
HOLSWORTHY AERODROME,29/10/2024,4.8,0.0, ,24.1,14.5,85,43,2.86,24.69
HOLSWORTHY AERODROME,30/10/2024,5.5,0.0, ,28.2,16.4,94,41,2.84,26.68
HOLSWORTHY AERODROME,31/10/2024,5.4,0.0, ,30.3,11.4,97,23,2.18,23.74
Totals:,,116.6,33.4, ,,,,,, 
