'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY AERODROME New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY AERODROME,01/11/2024,4.6,1.4, ,23.2,13.4,91,50,4.39,22.88
HOLSWORTHY AERODROME,02/11/2024,2.0,0.2, ,19.1,14.6,97,64,1.87,8.19
HOLSWORTHY AERODROME,03/11/2024,4.7,3.0, ,31.3,13.5,97,25,1.78,18.67
HOLSWORTHY AERODROME,04/11/2024,2.3,0.0, ,21.6,17.0,91,70,2.90,8.94
HOLSWORTHY AERODROME,05/11/2024,3.2,0.8, ,23.1,16.8,89,60,3.27,13.43
HOLSWORTHY AERODROME,06/11/2024,5.7,0.0, ,31.9,16.4,92,43,2.51,25.28
HOLSWORTHY AERODROME,07/11/2024,3.2,0.0, ,30.7,19.3,96,48,2.23,9.53
HOLSWORTHY AERODROME,08/11/2024,6.7,8.2, ,29.4,13.1,96,23,3.61,28.96
HOLSWORTHY AERODROME,09/11/2024,4.7,0.0, ,25.0,13.4,91,53,3.39,24.08
HOLSWORTHY AERODROME,10/11/2024,6.1,0.0, ,27.4,17.2,94,43,4.95,28.02
HOLSWORTHY AERODROME,11/11/2024,2.0,0.0, ,21.7,13.7,91,70,1.81,8.28
HOLSWORTHY AERODROME,12/11/2024,4.1,0.0, ,26.0,16.1,93,58,2.83,19.47
HOLSWORTHY AERODROME,13/11/2024,3.2,0.0, ,25.9,15.5,96,55,1.82,13.63
HOLSWORTHY AERODROME,14/11/2024,3.3,0.8, ,22.6,15.5,97,64,3.97,15.37
HOLSWORTHY AERODROME,15/11/2024,2.1,0.2, ,21.9,16.7,93,73,2.31,8.11
HOLSWORTHY AERODROME,16/11/2024,3.8,0.4, ,24.9,17.2,91,64,3.77,17.57
HOLSWORTHY AERODROME,17/11/2024,5.7,0.0, ,31.4,19.8,95,50,4.09,23.07
HOLSWORTHY AERODROME,18/11/2024,6.5,22.4, ,29.6,17.7,97,16,3.62,23.84
HOLSWORTHY AERODROME,19/11/2024,4.0,1.8, ,22.0,15.9,89,63,3.98,21.02
HOLSWORTHY AERODROME,20/11/2024,4.9,0.0, ,24.7,14.4,93,55,2.67,26.95
HOLSWORTHY AERODROME,21/11/2024, ,0.0, , ,15.8,90,46,2.55,23.34
HOLSWORTHY AERODROME,22/11/2024, , , ,28.1, ,95,46,3.03,30.30
HOLSWORTHY AERODROME,23/11/2024,6.8,0.0, ,31.6,14.9,95,31,2.89,30.54
HOLSWORTHY AERODROME,24/11/2024,6.6,0.0, ,32.1,15.7,92,35,2.74,29.15
HOLSWORTHY AERODROME,25/11/2024,6.3,0.0, ,30.2,18.1,90,47,3.04,29.46
HOLSWORTHY AERODROME,26/11/2024,7.5,0.0, ,35.9,17.0,94,31,3.19,29.20
HOLSWORTHY AERODROME,27/11/2024,7.6,0.0, ,38.0,17.5,95,21,3.34,24.09
HOLSWORTHY AERODROME,28/11/2024,4.4,0.0, ,31.2,20.0,92,45,2.75,14.79
HOLSWORTHY AERODROME,29/11/2024,1.6,2.2, ,22.5,20.3,97,83,3.58,5.76
HOLSWORTHY AERODROME,30/11/2024, ,27.0, ,24.4,20.3,97,86,3.14, 
Totals:,,123.6,68.4, ,,,,,, 
