'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY DEFENCE New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY DEFENCE,01/09/2024,4.1,0.0, ,26.6,5.4,84,16,2.56,17.52
HOLSWORTHY DEFENCE,02/09/2024,6.1,0.0, ,24.2,10.8,51,19,6.22,17.62
HOLSWORTHY DEFENCE,03/09/2024,3.4,0.0, ,19.1,7.8,86,26,3.14,17.83
HOLSWORTHY DEFENCE,04/09/2024,3.2,0.0, ,22.8,3.6,91,27,1.99,17.79
HOLSWORTHY DEFENCE,05/09/2024,2.6,0.0, ,26.8,6.9,88,28,1.22,11.00
HOLSWORTHY DEFENCE,06/09/2024,4.5,0.0, ,29.7,8.8,92,22,2.59,18.27
HOLSWORTHY DEFENCE,07/09/2024,3.0,0.0, ,24.5,14.7,89,46,2.05,14.32
HOLSWORTHY DEFENCE,08/09/2024,2.1,0.0, ,20.9,13.5,94,35,1.48,8.33
HOLSWORTHY DEFENCE,09/09/2024,4.0,0.0, ,24.2,8.2,72,30,2.79,18.65
HOLSWORTHY DEFENCE,10/09/2024,2.7,0.0, ,21.6,9.2,95,50,1.77,15.93
HOLSWORTHY DEFENCE,11/09/2024,3.3,0.0, ,26.7,7.9,97,32,1.48,18.11
HOLSWORTHY DEFENCE,12/09/2024,3.1,0.0, ,19.1,14.4,87,52,3.64,16.75
HOLSWORTHY DEFENCE,13/09/2024,2.8,0.0, ,19.3,8.6,92,44,2.17,16.70
HOLSWORTHY DEFENCE,14/09/2024,4.2,0.0, ,24.3,5.7,96,17,2.71,19.58
HOLSWORTHY DEFENCE,15/09/2024,3.4,0.0, ,16.1,4.4,72,33,3.71,18.77
HOLSWORTHY DEFENCE,16/09/2024,3.3,0.0, ,18.7,2.6,80,26,2.13,20.05
HOLSWORTHY DEFENCE,17/09/2024,3.4,0.0, ,23.1,5.8,89,28,1.75,19.95
HOLSWORTHY DEFENCE,18/09/2024,4.6,0.0, ,26.4,4.6,75,9,2.34,20.38
HOLSWORTHY DEFENCE,19/09/2024,5.7,0.0, ,26.5,5.7,69,10,3.74,20.52
HOLSWORTHY DEFENCE,20/09/2024,5.2,0.0, ,24.9,10.6,56,17,3.46,20.77
HOLSWORTHY DEFENCE,21/09/2024,4.6,0.0, ,24.1,8.2,65,21,2.86,20.91
HOLSWORTHY DEFENCE,22/09/2024,4.2,0.0, ,25.5,7.5,75,22,2.41,18.00
HOLSWORTHY DEFENCE,23/09/2024,4.6,0.0, ,28.6,7.5,81,19,2.10,21.31
HOLSWORTHY DEFENCE,24/09/2024,3.7,0.0, ,26.6,11.8,83,32,1.78,17.24
HOLSWORTHY DEFENCE,25/09/2024,2.6,0.0, ,26.1,13.8,95,33,1.45,9.26
HOLSWORTHY DEFENCE,26/09/2024,1.2,10.4, ,12.9,9.7,94,82,3.50,5.50
HOLSWORTHY DEFENCE,27/09/2024,2.3,12.2, ,15.9,9.9,94,60,2.31,13.78
HOLSWORTHY DEFENCE,28/09/2024,2.4,6.6, ,17.9,9.4,97,62,1.60,15.69
HOLSWORTHY DEFENCE,29/09/2024,2.3,1.0, ,21.7,9.6,96,61,1.43,12.49
HOLSWORTHY DEFENCE,30/09/2024,3.1,11.0, ,19.0,13.8,96,58,2.69,18.59
Totals:,,105.7,41.2, ,,,,,, 
