'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOLSWORTHY DEFENCE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOLSWORTHY DEFENCE,01/10/2024,3.7,0.2, ,23.3,7.6,96,44,1.75,22.39
HOLSWORTHY DEFENCE,02/10/2024,2.5,10.0, ,18.3,12.9,95,63,1.80,14.24
HOLSWORTHY DEFENCE,03/10/2024,2.8,0.4, ,20.5,10.8,97,53,1.51,15.90
HOLSWORTHY DEFENCE,04/10/2024,3.6,0.0, ,25.9,6.7,96,38,1.50,19.34
HOLSWORTHY DEFENCE,05/10/2024,4.2,2.2, ,25.4,12.8,96,30,2.40,19.38
HOLSWORTHY DEFENCE,06/10/2024,4.7,0.2, ,26.3,9.2,88,27,2.60,21.95
HOLSWORTHY DEFENCE,07/10/2024,5.2,0.0, ,29.2,9.3,88,24,2.56,22.63
HOLSWORTHY DEFENCE,08/10/2024,2.1,0.0, ,13.9,12.7,85,57,3.03,8.53
HOLSWORTHY DEFENCE,09/10/2024,2.4,0.0, ,16.4,11.4,84,50,1.84,11.55
HOLSWORTHY DEFENCE,10/10/2024,4.3,0.0, ,25.5,9.8,95,39,1.86,24.42
HOLSWORTHY DEFENCE,11/10/2024,3.9,0.0, ,25.6,12.6,95,46,2.01,19.71
HOLSWORTHY DEFENCE,12/10/2024,3.5,0.0, ,18.0,13.2,87,47,3.80,17.93
HOLSWORTHY DEFENCE,13/10/2024,3.3,0.0, ,22.1,8.6,88,43,1.53,18.26
HOLSWORTHY DEFENCE,14/10/2024,3.2,0.0, ,26.0,8.6,95,44,1.35,15.39
HOLSWORTHY DEFENCE,15/10/2024,2.0,11.4, ,16.3,10.8,96,59,2.20,9.00
HOLSWORTHY DEFENCE,16/10/2024,2.9,0.0, ,21.4,11.2,92,48,1.18,16.04
HOLSWORTHY DEFENCE,17/10/2024,4.6,0.0, ,26.1,7.0,96,36,1.88,25.56
HOLSWORTHY DEFENCE,18/10/2024,2.9,1.6, ,26.0,14.9,96,55,1.88,12.20
HOLSWORTHY DEFENCE,19/10/2024,2.9,5.4, ,23.8,15.2,96,58,1.97,13.81
HOLSWORTHY DEFENCE,20/10/2024,4.3,0.6, ,20.8,14.8,92,55,3.43,25.13
HOLSWORTHY DEFENCE,21/10/2024,4.0,0.0, ,20.7,12.8,79,52,3.16,21.38
HOLSWORTHY DEFENCE,22/10/2024,4.6,0.0, ,27.1,7.9,93,20,1.44,24.73
HOLSWORTHY DEFENCE,23/10/2024,4.0,0.0, ,29.6,10.0,96,32,1.47,17.49
HOLSWORTHY DEFENCE,24/10/2024,3.6,0.0, ,20.7,14.4,95,56,2.81,19.92
HOLSWORTHY DEFENCE,25/10/2024,4.3,5.6, ,21.3,8.5,96,34,2.63,23.99
HOLSWORTHY DEFENCE,26/10/2024,4.2,0.0, ,19.0,8.5,89,31,2.12,26.14
HOLSWORTHY DEFENCE,27/10/2024,5.1,0.0, ,28.1,7.0,92,24,1.86,26.40
HOLSWORTHY DEFENCE,28/10/2024,4.9,0.0, ,26.3,10.0,90,33,2.69,22.42
HOLSWORTHY DEFENCE,29/10/2024,4.5,0.0, ,25.1,13.8,90,41,1.66,24.26
HOLSWORTHY DEFENCE,30/10/2024,5.3,0.0, ,30.0,15.2,93,37,1.73,26.38
HOLSWORTHY DEFENCE,31/10/2024,5.5,0.0, ,30.8,11.1,95,17,2.22,22.20
Totals:,,119,37.6, ,,,,,, 
