'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/12/2024,4.5,10.4, ,30.8,20.4,100,49,1.61,19.61
HORSLEY PARK EQUESTRIAN CENTRE,02/12/2024,6.4,10.0, ,35.8,17.0,100,19,1.32,29.38
HORSLEY PARK EQUESTRIAN CENTRE,03/12/2024,4.4,0.2, ,33.1,19.5,83,41,2.01,14.89
HORSLEY PARK EQUESTRIAN CENTRE,04/12/2024,5.9,0.0, ,27.9,20.3,85,53,2.89,28.54
HORSLEY PARK EQUESTRIAN CENTRE,05/12/2024,4.8,0.0, ,29.9,19.1,88,55,1.86,21.78
HORSLEY PARK EQUESTRIAN CENTRE,06/12/2024,5.9,0.0, ,34.6,19.6,99,45,1.38,26.65
HORSLEY PARK EQUESTRIAN CENTRE,07/12/2024,2.0,16.0, ,29.3,21.6,100,71,1.18,6.88
HORSLEY PARK EQUESTRIAN CENTRE,08/12/2024,5.4,12.2, ,31.4,20.2,95,51,2.73,23.33
HORSLEY PARK EQUESTRIAN CENTRE,09/12/2024,2.4,0.6, ,23.7,17.3,97,72,1.84,10.82
HORSLEY PARK EQUESTRIAN CENTRE,10/12/2024,6.0,0.0, ,26.9,17.2,97,46,2.77,31.14
HORSLEY PARK EQUESTRIAN CENTRE,11/12/2024,5.1,0.6, ,27.7,17.7,93,50,1.82,25.57
HORSLEY PARK EQUESTRIAN CENTRE,12/12/2024,6.4,0.2, ,32.1,14.6,96,24,1.43,31.94
HORSLEY PARK EQUESTRIAN CENTRE,13/12/2024,6.9,0.0, ,35.9,16.2,89,23,1.50,31.57
HORSLEY PARK EQUESTRIAN CENTRE,14/12/2024,6.3,0.0, ,30.9,20.6,91,50,2.20,29.81
HORSLEY PARK EQUESTRIAN CENTRE,15/12/2024,6.0, , ,30.7,19.5,98,52,2.12,29.27
HORSLEY PARK EQUESTRIAN CENTRE,16/12/2024,7.0,0.0, ,34.3,20.1,91,39,2.20,31.26
HORSLEY PARK EQUESTRIAN CENTRE,17/12/2024,8.2,0.0, ,39.9,18.5,99,24,2.63,30.77
HORSLEY PARK EQUESTRIAN CENTRE,18/12/2024,4.6,6.0, ,23.9,15.9,96,40,3.60,19.93
HORSLEY PARK EQUESTRIAN CENTRE,19/12/2024,5.3,2.4, ,25.1,15.0,89,38,2.86,25.65
HORSLEY PARK EQUESTRIAN CENTRE,20/12/2024,6.3,0.0, ,28.7,14.7,86,35,2.19,31.77
HORSLEY PARK EQUESTRIAN CENTRE,21/12/2024,7.5,0.0, ,34.9,14.4,93,26,2.57,31.78
HORSLEY PARK EQUESTRIAN CENTRE,22/12/2024,5.5,0.0, ,29.2,18.6,92,45,2.04,25.96
HORSLEY PARK EQUESTRIAN CENTRE,23/12/2024,7.4,0.0, ,28.7,19.0,95,8,3.28,31.63
HORSLEY PARK EQUESTRIAN CENTRE,24/12/2024,6.4,0.0, ,26.5,11.5,82,21,2.54,32.11
HORSLEY PARK EQUESTRIAN CENTRE,25/12/2024,6.8,0.0, ,32.1,13.9,85,27,2.07,32.06
HORSLEY PARK EQUESTRIAN CENTRE,26/12/2024,7.3,0.0, ,34.7,15.5,95,24,2.25,32.02
HORSLEY PARK EQUESTRIAN CENTRE,27/12/2024,8.2,3.2, ,37.7,18.5,87,24,3.61,27.06
HORSLEY PARK EQUESTRIAN CENTRE,28/12/2024,5.9,3.8, ,27.8,15.9,87,35,2.24,28.76
HORSLEY PARK EQUESTRIAN CENTRE,29/12/2024,6.9,0.0, ,30.9,13.9,96,21,2.45,31.90
HORSLEY PARK EQUESTRIAN CENTRE,30/12/2024,5.0,0.0, ,28.5,15.9,93,46,2.56,22.58
HORSLEY PARK EQUESTRIAN CENTRE,31/12/2024,5.3,0.0, ,29.9,17.4,95,45,2.57,23.25
Totals:,,182,65.6, ,,,,,, 
