'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HORSLEY PARK EQUESTRIAN CENTRE New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HORSLEY PARK EQUESTRIAN CENTRE,01/08/2025,1.6,0.4, ,15.1,7.9,95,56,3.04,8.21
HORSLEY PARK EQUESTRIAN CENTRE,02/08/2025,1.0,18.6, ,15.7,10.3,100,83,3.50,5.81
HORSLEY PARK EQUESTRIAN CENTRE,03/08/2025,1.5,22.6, ,17.3,11.4,96,75,3.59,9.64
HORSLEY PARK EQUESTRIAN CENTRE,04/08/2025,1.4,5.4, ,18.2,11.1,100,71,1.69,9.93
HORSLEY PARK EQUESTRIAN CENTRE,05/08/2025,1.6,0.6, ,21.2,8.4,100,50,0.94,13.01
HORSLEY PARK EQUESTRIAN CENTRE,06/08/2025,2.2,0.0, ,18.4,6.4,88,36,2.21,13.90
HORSLEY PARK EQUESTRIAN CENTRE,07/08/2025,1.9,0.0, ,16.2,8.9,82,53,2.67,9.48
HORSLEY PARK EQUESTRIAN CENTRE,08/08/2025,1.9,0.0, ,17.3,9.5,88,52,2.53,10.62
HORSLEY PARK EQUESTRIAN CENTRE,09/08/2025,1.5,6.2, ,17.2,10.2,97,71,2.57,10.57
HORSLEY PARK EQUESTRIAN CENTRE,10/08/2025,1.6,4.8, ,16.1,9.7,95,65,2.82,10.55
HORSLEY PARK EQUESTRIAN CENTRE,11/08/2025,1.7,2.4, ,17.3,8.4,92,59,2.04,10.22
HORSLEY PARK EQUESTRIAN CENTRE,12/08/2025,2.1,1.6, ,18.7,7.0,94,43,1.89,14.68
HORSLEY PARK EQUESTRIAN CENTRE,13/08/2025,1.8,0.2, ,19.0,4.6,100,42,1.21,13.20
HORSLEY PARK EQUESTRIAN CENTRE,14/08/2025,1.6,0.2, ,15.8,9.8,99,58,2.28,8.78
HORSLEY PARK EQUESTRIAN CENTRE,15/08/2025,1.9,7.0, ,19.0,9.1,94,56,1.50,14.35
HORSLEY PARK EQUESTRIAN CENTRE,16/08/2025,2.2,0.0, ,18.6,8.4,97,33,1.89,13.19
HORSLEY PARK EQUESTRIAN CENTRE,17/08/2025,2.3,0.0, ,16.5,4.6,74,32,1.94,15.29
HORSLEY PARK EQUESTRIAN CENTRE,18/08/2025,1.8,0.0, ,14.7,5.1,92,51,2.60,10.63
HORSLEY PARK EQUESTRIAN CENTRE,19/08/2025,1.7,12.4, ,15.9,8.6,98,65,2.31,12.57
HORSLEY PARK EQUESTRIAN CENTRE,20/08/2025,1.0,11.2, ,13.3,9.5,100,90,2.09,8.19
HORSLEY PARK EQUESTRIAN CENTRE,21/08/2025,0.9,34.8, ,14.7,10.7,100,91,1.77,5.70
HORSLEY PARK EQUESTRIAN CENTRE,22/08/2025,1.3,15.0, ,16.7,9.2,100,84,1.60,10.06
HORSLEY PARK EQUESTRIAN CENTRE,23/08/2025,2.3,2.0, ,20.4,9.9,100,47,2.13,13.89
HORSLEY PARK EQUESTRIAN CENTRE,24/08/2025,2.5,0.2, ,18.8,10.1,74,46,2.25,14.69
HORSLEY PARK EQUESTRIAN CENTRE,25/08/2025,2.3,0.0, ,23.1,9.1,93,52,1.34,14.12
HORSLEY PARK EQUESTRIAN CENTRE,26/08/2025,2.6,0.0, ,24.2,9.8,100,46,1.49,16.46
HORSLEY PARK EQUESTRIAN CENTRE,27/08/2025,2.9,0.0, ,20.8,14.7,72,39,3.30,7.32
HORSLEY PARK EQUESTRIAN CENTRE,28/08/2025,3.5,0.0, ,18.9,5.5,73,30,3.72,16.86
HORSLEY PARK EQUESTRIAN CENTRE,29/08/2025,3.5,0.0, ,20.1,7.4,75,29,3.56,15.25
HORSLEY PARK EQUESTRIAN CENTRE,30/08/2025,3.3,0.0, ,17.3,8.4,73,35,3.82,17.16
HORSLEY PARK EQUESTRIAN CENTRE,31/08/2025,2.4,0.0, ,21.2,3.0,91,32,1.11,17.41
Totals:,,61.8,145.6, ,,,,,, 
