'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/10/2024,4.5,0.0, ,22.3,9.0,84,30,2.71,24.14
INVERELL RESEARCH CENTRE,02/10/2024,4.7,0.0, ,22.3,9.6,84,32,3.74,22.91
INVERELL RESEARCH CENTRE,03/10/2024,4.5,0.0, ,21.2,8.7,82,33,3.21,24.45
INVERELL RESEARCH CENTRE,04/10/2024,4.0,0.0, ,22.3,5.5,92,37,1.96,24.04
INVERELL RESEARCH CENTRE,05/10/2024,4.1,0.2, ,25.6,10.7,83,45,2.55,19.01
INVERELL RESEARCH CENTRE,06/10/2024,4.9,0.4, ,26.2,9.7,92,29,2.44,24.94
INVERELL RESEARCH CENTRE,07/10/2024,5.4,0.0, ,28.2,9.5,73,19,2.36,25.10
INVERELL RESEARCH CENTRE,08/10/2024,5.2,0.0, ,28.7,10.6,77,21,2.01,24.82
INVERELL RESEARCH CENTRE,09/10/2024,3.5,0.0, ,23.6,14.6,94,55,4.33,14.12
INVERELL RESEARCH CENTRE,10/10/2024,4.6,15.2, ,23.7,11.3,86,44,2.97,24.05
INVERELL RESEARCH CENTRE,11/10/2024,4.4,0.2, ,25.2,9.8,96,34,1.65,24.35
INVERELL RESEARCH CENTRE,12/10/2024,4.7,0.0, ,25.9,10.0,93,38,2.40,24.50
INVERELL RESEARCH CENTRE,13/10/2024,4.0,2.2, ,21.6,11.9,80,53,4.25,19.22
INVERELL RESEARCH CENTRE,14/10/2024,2.1,0.4, ,16.8,9.9,95,70,2.08,11.16
INVERELL RESEARCH CENTRE,15/10/2024,2.5,2.4, ,20.3,11.4,98,66,1.70,13.08
INVERELL RESEARCH CENTRE,16/10/2024,2.0,13.2, ,18.1,11.5,95,71,2.36,9.26
INVERELL RESEARCH CENTRE,17/10/2024,4.6,2.6, ,25.5,12.6,96,44,1.84,25.18
INVERELL RESEARCH CENTRE,18/10/2024,4.1,0.2, ,27.0,14.2,96,54,3.30,18.41
INVERELL RESEARCH CENTRE,19/10/2024,4.7,20.8, ,24.9,15.9,98,43,2.57,24.31
INVERELL RESEARCH CENTRE,20/10/2024,5.4,0.0, ,26.4,12.4,89,34,2.77,26.82
INVERELL RESEARCH CENTRE,21/10/2024,5.5,0.0, ,24.8,10.7,78,29,3.15,27.22
INVERELL RESEARCH CENTRE,22/10/2024,5.4,0.0, ,25.6,8.3,81,24,2.83,25.78
INVERELL RESEARCH CENTRE,23/10/2024,5.5,0.0, ,28.4,9.8,84,22,1.90,27.53
INVERELL RESEARCH CENTRE,24/10/2024,5.6,0.0, ,28.7,12.9,88,26,2.71,24.14
INVERELL RESEARCH CENTRE,25/10/2024,4.9,3.8, ,20.9,8.8,88,24,2.75,27.73
INVERELL RESEARCH CENTRE,26/10/2024,5.2,0.0, ,23.9,6.6,80,28,2.63,27.60
INVERELL RESEARCH CENTRE,27/10/2024,3.8,0.0, ,24.0,11.4,90,41,2.50,16.83
INVERELL RESEARCH CENTRE,28/10/2024,4.9,0.0, ,25.8,12.2,88,24,2.14,23.13
INVERELL RESEARCH CENTRE,29/10/2024,5.5,0.0, ,27.9,10.9,86,27,2.08,27.72
INVERELL RESEARCH CENTRE,30/10/2024,5.5,0.0, ,27.9,11.5,91,31,2.11,27.49
INVERELL RESEARCH CENTRE,31/10/2024,5.8,0.0, ,28.8,11.6,82,26,2.16,27.70
Totals:,,141.5,61.6, ,,,,,, 
