'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/11/2024,6.3,0.0, ,27.6,14.0,72,22,2.84,28.52
INVERELL RESEARCH CENTRE,02/11/2024,6.5,0.0, ,27.3,13.9,75,32,4.63,26.96
INVERELL RESEARCH CENTRE,03/11/2024,5.9,0.0, ,28.8,13.2,89,35,3.15,26.56
INVERELL RESEARCH CENTRE,04/11/2024,6.4,0.0, ,31.8,15.8,84,34,3.11,26.43
INVERELL RESEARCH CENTRE,05/11/2024,7.0,0.0, ,32.4,17.5,82,28,3.28,27.72
INVERELL RESEARCH CENTRE,06/11/2024,6.1,0.0, ,33.9,15.3,90,27,2.03,26.18
INVERELL RESEARCH CENTRE,07/11/2024,6.9,0.0, ,35.7,19.0,69,28,2.67,25.13
INVERELL RESEARCH CENTRE,08/11/2024,6.7,0.2, ,31.3,18.0,81,23,2.90,27.74
INVERELL RESEARCH CENTRE,09/11/2024,7.6,0.0, ,33.6,14.3,72,11,3.02,29.19
INVERELL RESEARCH CENTRE,10/11/2024,4.4,0.0, ,28.8,16.4,84,42,2.17,18.02
INVERELL RESEARCH CENTRE,11/11/2024,4.7,0.0, ,30.6,18.0,97,47,2.94,17.88
INVERELL RESEARCH CENTRE,12/11/2024,5.2,34.4, ,28.4,17.4,96,38,2.03,24.51
INVERELL RESEARCH CENTRE,13/11/2024,5.1,0.0, ,28.7,15.5,94,35,2.61,21.07
INVERELL RESEARCH CENTRE,14/11/2024,6.2,0.2, ,30.5,14.6,96,27,2.23,28.91
INVERELL RESEARCH CENTRE,15/11/2024,5.0,0.4, ,28.7,16.4,92,46,3.38,20.65
INVERELL RESEARCH CENTRE,16/11/2024,5.3,12.0, ,28.2,15.6,88,42,3.20,22.25
INVERELL RESEARCH CENTRE,17/11/2024,6.2,0.0, ,28.9,14.5,82,43,4.04,26.99
INVERELL RESEARCH CENTRE,18/11/2024,2.3,6.4, ,22.1,17.5,96,71,2.73,9.54
INVERELL RESEARCH CENTRE,19/11/2024,3.4,0.2, ,23.0,17.5,96,61,3.66,15.21
INVERELL RESEARCH CENTRE,20/11/2024,4.2,0.0, ,23.5,15.1,79,55,3.98,17.20
INVERELL RESEARCH CENTRE,21/11/2024,5.4,0.2, ,25.0,11.4,88,42,4.15,25.55
INVERELL RESEARCH CENTRE,22/11/2024,5.3,0.0, ,27.5,12.9,84,45,3.27,23.95
INVERELL RESEARCH CENTRE,23/11/2024,6.0,8.0, ,28.6,12.4,93,31,2.13,29.82
INVERELL RESEARCH CENTRE,24/11/2024,6.2,0.0, ,30.6,13.5,95,31,1.98,30.44
INVERELL RESEARCH CENTRE,25/11/2024,6.5,0.0, ,30.8,14.9,91,34,2.45,30.09
INVERELL RESEARCH CENTRE,26/11/2024,7.1,0.0, ,32.1,15.1,84,27,2.88,30.81
INVERELL RESEARCH CENTRE,27/11/2024,6.4,0.0, ,31.5,16.0,81,34,2.69,27.56
INVERELL RESEARCH CENTRE,28/11/2024,3.7,0.0, ,27.9,18.6,80,52,1.95,14.06
INVERELL RESEARCH CENTRE,29/11/2024,3.9,0.4, ,28.8,19.7,97,44,2.35,14.24
INVERELL RESEARCH CENTRE,30/11/2024, ,53.8, ,23.4,18.4,97,77,2.81, 
Totals:,,161.9,116.2, ,,,,,, 
