'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for INVERELL RESEARCH CENTRE New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
INVERELL RESEARCH CENTRE,01/08/2025,2.0,1.0, ,16.6,6.0,96,46,2.52,11.76
INVERELL RESEARCH CENTRE,02/08/2025,0.8,33.8, ,9.1,6.2,98,88,1.74,5.28
INVERELL RESEARCH CENTRE,03/08/2025,2.4,18.4, ,18.1,0.4,96,56,4.32,14.64
INVERELL RESEARCH CENTRE,04/08/2025,2.6,0.0, ,20.1,7.1,89,45,2.91,15.39
INVERELL RESEARCH CENTRE,05/08/2025,2.4,0.0, ,19.8,4.1,96,36,1.91,15.44
INVERELL RESEARCH CENTRE,06/08/2025,2.2,0.0, ,18.6,4.1,96,45,2.10,15.28
INVERELL RESEARCH CENTRE,07/08/2025,3.0,0.0, ,19.0,4.8,82,29,3.11,15.75
INVERELL RESEARCH CENTRE,08/08/2025,1.8,0.0, ,14.1,9.7,91,54,3.26,8.14
INVERELL RESEARCH CENTRE,09/08/2025,2.9,0.0, ,18.3,6.9,79,45,3.92,15.36
INVERELL RESEARCH CENTRE,10/08/2025,3.0,0.0, ,19.1,7.0,80,39,3.49,15.63
INVERELL RESEARCH CENTRE,11/08/2025,2.6,0.0, ,18.4,6.0,85,34,2.49,15.36
INVERELL RESEARCH CENTRE,12/08/2025,2.3,0.0, ,17.1,4.7,90,39,2.07,15.68
INVERELL RESEARCH CENTRE,13/08/2025,2.4,0.0, ,17.5,4.0,91,38,2.14,15.70
INVERELL RESEARCH CENTRE,14/08/2025,2.6,0.0, ,17.5,4.1,89,36,2.80,13.61
INVERELL RESEARCH CENTRE,15/08/2025,2.8,0.0, ,18.7,5.0,88,36,2.78,16.71
INVERELL RESEARCH CENTRE,16/08/2025,2.3,0.0, ,17.5,2.6,96,41,2.11,14.84
INVERELL RESEARCH CENTRE,17/08/2025,2.4,0.0, ,13.7,2.5,86,34,2.42,17.02
INVERELL RESEARCH CENTRE,18/08/2025,2.5,0.0, ,16.0,-1.3,92,21,2.05,17.14
INVERELL RESEARCH CENTRE,19/08/2025,2.1,0.0, ,15.2,4.1,89,49,3.13,10.06
INVERELL RESEARCH CENTRE,20/08/2025,1.2,11.4, ,11.8,6.8,97,72,2.42,5.75
INVERELL RESEARCH CENTRE,21/08/2025,1.9,30.4, ,17.8,8.5,97,68,2.48,11.62
INVERELL RESEARCH CENTRE,22/08/2025,2.5,6.8, ,17.4,5.1,98,45,2.16,17.03
INVERELL RESEARCH CENTRE,23/08/2025,2.7,0.0, ,18.5,2.3,96,43,2.48,17.72
INVERELL RESEARCH CENTRE,24/08/2025,2.9,0.0, ,19.2,4.5,94,33,2.38,17.97
INVERELL RESEARCH CENTRE,25/08/2025,2.9,0.0, ,20.6,1.2,94,39,2.20,18.14
INVERELL RESEARCH CENTRE,26/08/2025,3.0,0.0, ,22.1,6.5,97,44,2.25,18.22
INVERELL RESEARCH CENTRE,27/08/2025,3.8,0.0, ,22.8,8.9,94,34,3.83,17.05
INVERELL RESEARCH CENTRE,28/08/2025,2.8,0.0, ,16.9,5.4,80,35,2.21,18.41
INVERELL RESEARCH CENTRE,29/08/2025, ,0.0, , ,2.4,89,33,2.55,18.39
INVERELL RESEARCH CENTRE,30/08/2025,2.7, , ,13.2,6.4,74,40,3.14,17.11
INVERELL RESEARCH CENTRE,31/08/2025,3.1,0.0, ,18.9,-1.4,93,25,2.31,18.92
Totals:,,74.6,101.8, ,,,,,, 
