'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/12/2024,8.2,0.8, ,33.7,17.9,99,17,4.15,30.31
IVANHOE AERODROME,02/12/2024,9.4,0.0, ,39.7,16.8,99,19,5.40,22.20
IVANHOE AERODROME,03/12/2024,8.0,8.4, ,36.5,21.0,100,30,4.73,26.10
IVANHOE AERODROME,04/12/2024,8.3,0.2, ,35.3,19.0,68,29,3.48,31.51
IVANHOE AERODROME,05/12/2024,8.8,0.0, ,40.1,21.7,72,18,3.02,29.83
IVANHOE AERODROME,06/12/2024,9.0,0.0, ,40.9,25.4,91,22,4.45,24.44
IVANHOE AERODROME,07/12/2024,8.5,6.6, ,40.5,24.8,93,30,3.93,26.51
IVANHOE AERODROME,08/12/2024,8.0,1.6, ,30.7,17.3,72,17,4.37,28.80
IVANHOE AERODROME,09/12/2024,8.0,0.0, ,32.9,17.7,64,13,3.48,28.24
IVANHOE AERODROME,10/12/2024,8.2,0.0, ,34.4,15.4,57,19,3.46,29.56
IVANHOE AERODROME,11/12/2024,8.5,0.0, ,32.4,14.9,54,14,3.72,31.85
IVANHOE AERODROME,12/12/2024,8.4,0.0, ,35.5,15.7,49,17,2.95,31.87
IVANHOE AERODROME,13/12/2024,9.2,0.0, ,37.4,17.6,55,13,3.37,31.78
IVANHOE AERODROME,14/12/2024,9.4,0.0, ,40.2,18.9,48,9,3.22,29.18
IVANHOE AERODROME,15/12/2024,10.4,0.0, ,42.4,22.0,37,9,3.43,31.88
IVANHOE AERODROME,16/12/2024,13.6,0.0, ,45.4,25.4,37,12,5.65,31.36
IVANHOE AERODROME,17/12/2024,11.3,0.0, ,34.3,24.3,44,10,6.68,27.69
IVANHOE AERODROME,18/12/2024,10.9,0.0, ,33.2,16.9,48,8,6.26,31.84
IVANHOE AERODROME,19/12/2024,10.5,0.0, ,34.5,19.6,47,12,5.39,31.85
IVANHOE AERODROME,20/12/2024,9.4,0.0, ,37.8,16.1,42,9,3.37,31.73
IVANHOE AERODROME,21/12/2024,10.5,0.0, ,35.7,21.8,40,11,4.88,31.49
IVANHOE AERODROME,22/12/2024,9.5,0.0, ,34.1,14.6,45,12,4.38,31.68
IVANHOE AERODROME,23/12/2024,8.5,0.0, ,26.6,12.6,60,17,6.37,31.64
IVANHOE AERODROME,24/12/2024,8.4,0.0, ,31.1,12.7,49,18,4.18,31.78
IVANHOE AERODROME,25/12/2024,9.1,0.0, ,37.9,16.6,53,11,3.16,31.79
IVANHOE AERODROME,26/12/2024,14.4,0.0, ,42.8,22.4,29,5,6.61,31.67
IVANHOE AERODROME,27/12/2024,9.3,0.0, ,29.5,18.6,48,17,5.76,31.64
IVANHOE AERODROME,28/12/2024,8.0,0.0, ,30.4,14.3,43,16,3.68,30.55
IVANHOE AERODROME,29/12/2024,8.3,0.0, ,32.4,16.9,53,15,3.39,31.61
IVANHOE AERODROME,30/12/2024,9.2,0.0, ,36.3,16.7,41,11,3.49,31.23
IVANHOE AERODROME,31/12/2024,9.9,0.0, ,36.6,19.7,41,10,4.08,31.49
Totals:,,291.1,17.6, ,,,,,, 
