'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/02/2025,11.2,0.0, ,43.6,19.5,53,18,4.93,27.21
IVANHOE AERODROME,02/02/2025,10.0,0.0, ,41.8,29.0,76,21,4.89,26.57
IVANHOE AERODROME,03/02/2025,9.5,6.0, ,40.6,24.3,59,15,3.79,28.22
IVANHOE AERODROME,04/02/2025,10.1,0.0, ,41.5,24.0,41,12,3.97,27.45
IVANHOE AERODROME,05/02/2025,10.3,0.0, ,40.8,26.5,55,21,5.03,26.15
IVANHOE AERODROME,06/02/2025,9.6,0.0, ,41.0,24.0,68,18,4.40,25.36
IVANHOE AERODROME,07/02/2025,9.1,0.0, ,41.1,28.0,47,16,4.75,14.54
IVANHOE AERODROME,08/02/2025,8.5,0.0, ,37.6,24.5,57,19,3.48,27.03
IVANHOE AERODROME,09/02/2025,7.9,0.0, ,38.4,21.0,49,15,2.88,25.85
IVANHOE AERODROME,10/02/2025,8.7,0.8, ,38.5,19.5,67,10,3.52,26.68
IVANHOE AERODROME,11/02/2025,8.4,0.0, ,38.5,21.2,88,18,3.74,27.11
IVANHOE AERODROME,12/02/2025,9.3,0.0, ,39.6,21.4,49,17,3.88,27.45
IVANHOE AERODROME,13/02/2025,9.7,0.0, ,41.6,26.4,84,17,5.21,23.09
IVANHOE AERODROME,14/02/2025,8.0,0.8, ,32.4,21.1,70,19,5.03,23.77
IVANHOE AERODROME,15/02/2025,7.7,0.0, ,26.3,15.8,54,22,6.05,26.63
IVANHOE AERODROME,16/02/2025,7.1,0.0, ,25.1,10.8,50,17,5.12,26.88
IVANHOE AERODROME,17/02/2025,6.7,0.0, ,28.8,9.5,55,14,3.27,26.74
IVANHOE AERODROME,18/02/2025,8.4,0.0, ,33.2,12.5,35,10,4.04,26.55
IVANHOE AERODROME,19/02/2025,7.4,0.0, ,29.0,14.9,57,17,4.46,26.34
IVANHOE AERODROME,20/02/2025,7.8,0.0, ,31.2,13.5,63,15,4.45,26.20
IVANHOE AERODROME,21/02/2025,8.5,0.0, ,38.2,16.6,50,14,3.54,25.95
IVANHOE AERODROME,22/02/2025,11.8,0.0, ,41.1,24.7,43,13,6.24,24.60
IVANHOE AERODROME,23/02/2025,12.1,0.0, ,41.5,28.6,34,13,6.31,23.22
IVANHOE AERODROME,24/02/2025,9.1,0.0, ,35.4,20.0,46,14,4.76,25.41
IVANHOE AERODROME,25/02/2025,8.8,0.0, ,39.4,18.5,44,13,3.65,25.08
IVANHOE AERODROME,26/02/2025,9.4,0.0, ,42.2,22.2,42,7,3.63,24.97
IVANHOE AERODROME,27/02/2025,8.3,0.0, ,41.3,18.9,23,8,2.93,24.75
IVANHOE AERODROME,28/02/2025,7.1,0.0, ,38.0,24.2,34,19,3.18,17.05
Totals:,,250.5,7.6, ,,,,,, 
