'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for IVANHOE AERODROME New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
IVANHOE AERODROME,01/07/2025,1.8,0.0, ,14.8,1.6,99,48,4.36,11.54
IVANHOE AERODROME,02/07/2025,2.4,0.0, ,16.0,4.5,93,43,5.60,11.57
IVANHOE AERODROME,03/07/2025,2.0,0.0, ,16.3,4.1,98,40,3.46,11.60
IVANHOE AERODROME,04/07/2025,2.3,0.0, ,18.0,0.2,97,32,3.25,11.63
IVANHOE AERODROME,05/07/2025,2.3,0.0, ,17.5,2.4,90,43,4.34,8.56
IVANHOE AERODROME,06/07/2025,2.0,0.0, ,17.7,6.7,99,45,3.74,10.43
IVANHOE AERODROME,07/07/2025,2.0,0.0, ,18.5,3.9,99,42,3.08,11.72
IVANHOE AERODROME,08/07/2025,3.4,0.0, ,19.7,7.0,80,34,5.76,8.09
IVANHOE AERODROME,09/07/2025,2.2,0.0, ,15.9,8.9,73,43,3.54,7.51
IVANHOE AERODROME,10/07/2025,2.9,0.0, ,15.8,7.5,73,43,6.56,11.03
IVANHOE AERODROME,11/07/2025,2.3,0.0, ,19.1,4.0,87,45,3.68,11.75
IVANHOE AERODROME,12/07/2025,1.9,0.0, ,19.5,4.9,93,43,2.39,11.94
IVANHOE AERODROME,13/07/2025,3.2,0.0, ,20.5,3.6,99,29,4.72,11.96
IVANHOE AERODROME,14/07/2025,1.8,0.0, ,16.6,4.2,98,36,2.50,12.03
IVANHOE AERODROME,15/07/2025, ,1.6, ,11.3,8.2,99,84,2.63, 
IVANHOE AERODROME,16/07/2025,1.4,1.8, ,16.2,-0.5,99,48,1.76,12.31
IVANHOE AERODROME,17/07/2025,1.5,0.2, ,16.9,0.4,99,46,1.89,12.23
IVANHOE AERODROME,18/07/2025,1.6,0.0, ,16.0,2.4,99,43,1.99,11.64
IVANHOE AERODROME,19/07/2025,2.1,0.0, ,17.1,1.7,98,32,2.68,12.49
IVANHOE AERODROME,20/07/2025,2.1,0.0, ,18.9,1.9,87,33,2.38,12.51
IVANHOE AERODROME,21/07/2025,3.1,0.0, ,19.3,1.3,89,29,4.39,12.53
IVANHOE AERODROME,22/07/2025,2.3,1.0, ,16.9,7.5,99,42,4.91,7.59
IVANHOE AERODROME,23/07/2025,1.9,2.2, ,15.5,3.2,92,48,3.36,12.11
IVANHOE AERODROME,24/07/2025,2.0,0.0, ,16.3,-0.2,99,34,2.62,12.56
IVANHOE AERODROME,25/07/2025,1.6,0.0, ,11.5,7.0,99,57,6.59,3.79
IVANHOE AERODROME,26/07/2025,1.3,11.0, ,14.2,7.6,99,74,5.61,9.33
IVANHOE AERODROME,27/07/2025,1.8,3.6, ,15.0,9.0,99,60,5.62,8.67
IVANHOE AERODROME,28/07/2025,2.0,0.0, ,16.0,5.7,96,52,4.08,12.96
IVANHOE AERODROME,29/07/2025,1.3,0.0, ,13.8,4.9,99,60,2.66,6.33
IVANHOE AERODROME,30/07/2025,1.3,11.6, ,13.0,7.5,99,67,3.14,8.36
IVANHOE AERODROME,31/07/2025,1.9,0.4, ,16.6,6.3,99,47,2.69,12.05
Totals:,,61.7,33.4, ,,,,,, 
