'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/03/2025,5.0,0.0, ,28.2,19.6,94,60,4.45,24.54
JERVIS BAY (POINT PERPENDICULAR),02/03/2025,2.2,0.0, ,21.6,20.1,95,73,5.44,7.72
JERVIS BAY (POINT PERPENDICULAR),03/03/2025,2.4,1.2, ,21.9,17.5,94,74,5.25,9.71
JERVIS BAY (POINT PERPENDICULAR),04/03/2025,4.0,8.0, ,23.5,17.8,93,62,4.58,20.73
JERVIS BAY (POINT PERPENDICULAR),05/03/2025,4.1,0.0, ,25.0,19.8,88,59,2.75,20.41
JERVIS BAY (POINT PERPENDICULAR),06/03/2025,3.3,0.0, ,23.9,19.8,92,61,3.30,14.56
JERVIS BAY (POINT PERPENDICULAR),07/03/2025,3.4,6.2, ,22.6,18.0,92,60,3.42,16.29
JERVIS BAY (POINT PERPENDICULAR),08/03/2025,3.5,6.8, ,24.6,18.4,91,61,2.96,16.48
JERVIS BAY (POINT PERPENDICULAR),09/03/2025,4.2,6.2, ,25.9,19.6,94,69,4.20,22.40
JERVIS BAY (POINT PERPENDICULAR),10/03/2025,4.6,0.0, ,27.3,19.4,91,63,5.51,21.98
JERVIS BAY (POINT PERPENDICULAR),11/03/2025,2.8,3.0, ,24.5,18.6,96,74,2.59,14.36
JERVIS BAY (POINT PERPENDICULAR),12/03/2025,3.3,0.6, ,24.4,19.6,94,79,2.30,18.92
JERVIS BAY (POINT PERPENDICULAR),13/03/2025,4.6,0.0, ,28.7,18.5,95,61,4.35,22.18
JERVIS BAY (POINT PERPENDICULAR),14/03/2025,4.6,0.0, ,29.9,20.4,95,63,4.53,20.89
JERVIS BAY (POINT PERPENDICULAR),15/03/2025,4.0,0.0, ,27.8,19.6,95,66,2.45,20.95
JERVIS BAY (POINT PERPENDICULAR),16/03/2025,5.7,0.0, ,34.4,21.9,97,28,4.65,13.06
JERVIS BAY (POINT PERPENDICULAR),17/03/2025,4.3,1.6, ,18.9,14.4,89,44,7.73,21.17
JERVIS BAY (POINT PERPENDICULAR),18/03/2025,4.1,0.0, ,23.0,15.4,79,50,3.73,19.57
JERVIS BAY (POINT PERPENDICULAR),19/03/2025,4.5,0.0, ,25.3,17.2,87,60,7.20,19.86
JERVIS BAY (POINT PERPENDICULAR),20/03/2025,4.2,0.0, ,26.2,20.3,89,67,7.74,17.75
JERVIS BAY (POINT PERPENDICULAR),21/03/2025,2.8,0.0, ,26.1,20.9,96,67,4.23,10.96
JERVIS BAY (POINT PERPENDICULAR),22/03/2025,2.4,3.0, ,22.5,17.9,96,79,3.69,12.67
JERVIS BAY (POINT PERPENDICULAR),23/03/2025,2.1,0.0, ,22.7,18.8,84,67,2.30,7.62
JERVIS BAY (POINT PERPENDICULAR),24/03/2025,3.6,0.0, ,26.2,18.7,91,62,3.05,18.02
JERVIS BAY (POINT PERPENDICULAR),25/03/2025,2.8,0.0, ,23.6,19.6,94,82,2.70,16.39
JERVIS BAY (POINT PERPENDICULAR),26/03/2025,4.3,0.0, ,27.2,19.2,95,47,3.49,19.68
JERVIS BAY (POINT PERPENDICULAR),27/03/2025,2.8,0.0, ,23.7,19.4,95,76,3.83,15.09
JERVIS BAY (POINT PERPENDICULAR),28/03/2025,3.1,7.2, ,23.7,19.6,89,66,4.16,13.72
JERVIS BAY (POINT PERPENDICULAR),29/03/2025,1.6,11.6, ,20.6,16.2,98,79,8.17,4.33
JERVIS BAY (POINT PERPENDICULAR),30/03/2025,2.5,93.0, ,22.9,17.7,97,72,8.97,7.94
JERVIS BAY (POINT PERPENDICULAR),31/03/2025,1.9,29.6, ,18.7,17.1,94,81,10.05,8.07
Totals:,,108.7,178, ,,,,,, 
