'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/05/2025,2.8,42.8, ,17.9,12.8,92,52,6.89,11.19
JERVIS BAY (POINT PERPENDICULAR),02/05/2025,2.1,18.0, ,18.4,12.7,93,55,3.38,11.55
JERVIS BAY (POINT PERPENDICULAR),03/05/2025,1.9,2.8, ,20.2,12.3,90,61,1.68,13.16
JERVIS BAY (POINT PERPENDICULAR),04/05/2025,2.2,0.0, ,21.2,12.9,88,62,3.26,12.96
JERVIS BAY (POINT PERPENDICULAR),05/05/2025,2.5,0.0, ,22.9,14.2,92,61,4.02,12.78
JERVIS BAY (POINT PERPENDICULAR),06/05/2025,2.7,0.0, ,24.6,15.7,87,55,3.40,12.19
JERVIS BAY (POINT PERPENDICULAR),07/05/2025,3.6,0.0, ,26.2,16.6,69,39,3.64,12.51
JERVIS BAY (POINT PERPENDICULAR),08/05/2025,2.7,3.4, ,17.1,15.0,90,42,5.26,11.16
JERVIS BAY (POINT PERPENDICULAR),09/05/2025,1.9,0.0, ,18.8,13.9,87,56,2.29,12.57
JERVIS BAY (POINT PERPENDICULAR),10/05/2025,2.0,0.0, ,20.7,12.1,91,58,2.71,12.59
JERVIS BAY (POINT PERPENDICULAR),11/05/2025,1.6,0.0, ,21.0,14.2,92,68,1.81,11.08
JERVIS BAY (POINT PERPENDICULAR),12/05/2025,1.7,0.0, ,22.2,15.6,94,69,2.08,10.90
JERVIS BAY (POINT PERPENDICULAR),13/05/2025,1.4,8.4, ,20.6,16.9,95,76,2.17,8.96
JERVIS BAY (POINT PERPENDICULAR),14/05/2025,1.9,0.2, ,22.9,15.2,94,57,2.12,10.91
JERVIS BAY (POINT PERPENDICULAR),15/05/2025,1.5,0.0, ,19.2,16.2,94,72,2.76,7.94
JERVIS BAY (POINT PERPENDICULAR),16/05/2025,1.2,35.6, ,18.6,15.5,94,79,1.65,8.04
JERVIS BAY (POINT PERPENDICULAR),17/05/2025,1.9,4.0, ,19.0,14.1,93,60,3.81,10.40
JERVIS BAY (POINT PERPENDICULAR),18/05/2025,2.5,3.6, ,16.2,14.5,94,53,8.69,8.07
JERVIS BAY (POINT PERPENDICULAR),19/05/2025,3.5,46.0, ,16.8,11.8,60,43,7.08,7.59
JERVIS BAY (POINT PERPENDICULAR),20/05/2025,2.2,0.0, ,18.6,14.9,86,53,4.44,7.99
JERVIS BAY (POINT PERPENDICULAR),21/05/2025,1.4,2.2, ,19.0,14.5,93,63,2.66,4.82
JERVIS BAY (POINT PERPENDICULAR),22/05/2025,1.3,15.4, ,19.3,15.2,92,80,5.12,3.43
JERVIS BAY (POINT PERPENDICULAR),23/05/2025,1.7,16.4, ,19.5,15.6,96,69,5.91,3.16
JERVIS BAY (POINT PERPENDICULAR),24/05/2025,2.2,56.2, ,19.6,12.4,82,46,3.23,11.30
JERVIS BAY (POINT PERPENDICULAR),25/05/2025,2.1,0.0, ,18.9,13.7,69,41,2.52,6.77
JERVIS BAY (POINT PERPENDICULAR),26/05/2025,2.9,0.0, ,20.0,12.2,82,40,5.00,8.51
JERVIS BAY (POINT PERPENDICULAR),27/05/2025,2.3,0.0, ,16.9,14.7,83,39,3.78,10.64
JERVIS BAY (POINT PERPENDICULAR),28/05/2025,2.3,0.0, ,17.1,12.7,66,46,3.42,11.02
JERVIS BAY (POINT PERPENDICULAR),29/05/2025,2.1,0.0, ,17.0,14.2,87,59,5.32,8.03
JERVIS BAY (POINT PERPENDICULAR),30/05/2025,1.4,0.0, ,17.8,10.2,92,63,2.20,10.82
JERVIS BAY (POINT PERPENDICULAR),31/05/2025,1.2,0.0, ,18.8,12.9,90,66,1.48,10.50
Totals:,,64.7,255, ,,,,,, 
