'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY (POINT PERPENDICULAR) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY (POINT PERPENDICULAR),01/08/2025,1.3,27.8, ,14.4,9.4,95,75,4.75,8.61
JERVIS BAY (POINT PERPENDICULAR),02/08/2025,1.9,16.8, ,16.1,11.4,92,63,6.94,4.94
JERVIS BAY (POINT PERPENDICULAR),03/08/2025,1.9,18.4, ,17.4,11.7,94,64,4.99,10.61
JERVIS BAY (POINT PERPENDICULAR),04/08/2025,1.2,14.4, ,16.6,13.1,96,82,1.89,10.10
JERVIS BAY (POINT PERPENDICULAR),05/08/2025,2.0,0.4, ,20.2,10.6,96,48,2.39,12.22
JERVIS BAY (POINT PERPENDICULAR),06/08/2025,1.9,0.0, ,16.7,10.3,88,43,2.10,13.04
JERVIS BAY (POINT PERPENDICULAR),07/08/2025,2.1,1.4, ,13.8,11.2,78,56,4.19,11.30
JERVIS BAY (POINT PERPENDICULAR),08/08/2025,2.0,0.0, ,15.3,11.2,80,61,3.63,12.79
JERVIS BAY (POINT PERPENDICULAR),09/08/2025,2.2,1.0, ,16.1,11.8,91,59,5.50,12.72
JERVIS BAY (POINT PERPENDICULAR),10/08/2025,1.5,8.8, ,14.5,11.6,91,65,2.62,8.44
JERVIS BAY (POINT PERPENDICULAR),11/08/2025,1.6,19.8, ,14.6,10.7,91,68,3.39,11.08
JERVIS BAY (POINT PERPENDICULAR),12/08/2025,1.6,6.0, ,15.1,10.8,93,69,2.51,12.90
JERVIS BAY (POINT PERPENDICULAR),13/08/2025,1.8,0.2, ,15.6,8.8,94,58,3.11,12.35
JERVIS BAY (POINT PERPENDICULAR),14/08/2025,1.9,0.0, ,14.8,11.6,94,63,5.48,8.71
JERVIS BAY (POINT PERPENDICULAR),15/08/2025,2.0,26.8, ,18.8,9.6,94,63,3.19,13.30
JERVIS BAY (POINT PERPENDICULAR),16/08/2025,2.5,0.0, ,16.1,11.9,75,39,3.06,12.63
JERVIS BAY (POINT PERPENDICULAR),17/08/2025,2.2,1.2, ,13.2,7.8,79,41,2.89,14.81
JERVIS BAY (POINT PERPENDICULAR),18/08/2025,2.2,6.0, ,13.6,8.6,91,60,6.11,14.12
JERVIS BAY (POINT PERPENDICULAR),19/08/2025,1.1,82.4, ,13.2,9.5,95,81,3.83,5.65
JERVIS BAY (POINT PERPENDICULAR),20/08/2025,1.7,72.8, ,16.2,9.4,94,64,2.92,9.81
JERVIS BAY (POINT PERPENDICULAR),21/08/2025,1.5,36.6, ,15.5,11.8,95,65,4.30,4.22
JERVIS BAY (POINT PERPENDICULAR),22/08/2025,1.4,88.8, ,15.7,12.4,96,84,2.46,9.90
JERVIS BAY (POINT PERPENDICULAR),23/08/2025,2.8,14.2, ,16.9,13.8,96,52,6.69,14.46
JERVIS BAY (POINT PERPENDICULAR),24/08/2025,2.8,0.0, ,16.0,11.9,81,54,7.56,8.39
JERVIS BAY (POINT PERPENDICULAR),25/08/2025,1.7,0.6, ,16.9,13.1,96,74,5.80,8.80
JERVIS BAY (POINT PERPENDICULAR),26/08/2025,2.5,2.4, ,20.2,13.8,94,70,6.27,13.94
JERVIS BAY (POINT PERPENDICULAR),27/08/2025,3.1,0.0, ,18.1,16.0,82,49,5.74,11.42
JERVIS BAY (POINT PERPENDICULAR),28/08/2025,3.2,0.0, ,16.3,12.0,60,40,3.66,16.33
JERVIS BAY (POINT PERPENDICULAR),29/08/2025,3.8,0.0, ,18.2,12.6,67,37,5.13,15.48
JERVIS BAY (POINT PERPENDICULAR),30/08/2025,3.3,0.0, ,15.2,9.0,69,42,6.11,12.33
JERVIS BAY (POINT PERPENDICULAR),31/08/2025,2.8,0.0, ,17.7,8.0,77,42,2.85,16.91
Totals:,,65.5,446.8, ,,,,,, 
