'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY NSW (JERVIS BAY AIRFIELD) New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY NSW (JERVIS BAY AIRFIELD),01/10/2024,3.5,1.6, ,20.1,8.8,95,52,3.09,22.41
JERVIS BAY NSW (JERVIS BAY AIRFIELD),02/10/2024,3.4,0.2, ,17.7,14.0,93,54,4.80,19.67
JERVIS BAY NSW (JERVIS BAY AIRFIELD),03/10/2024,3.5,0.2, ,19.8,10.7,94,55,4.11,21.04
JERVIS BAY NSW (JERVIS BAY AIRFIELD),04/10/2024,2.9,0.0, ,22.0,8.4,94,62,3.61,14.83
JERVIS BAY NSW (JERVIS BAY AIRFIELD),05/10/2024,4.7,2.4, ,24.7,14.7,94,31,4.22,18.38
JERVIS BAY NSW (JERVIS BAY AIRFIELD),06/10/2024,5.2,0.0, ,23.5,11.5,87,35,5.60,22.47
JERVIS BAY NSW (JERVIS BAY AIRFIELD),07/10/2024,5.2,0.0, ,26.9,11.7,89,30,5.43,13.61
JERVIS BAY NSW (JERVIS BAY AIRFIELD),08/10/2024,3.1,0.2, ,15.9,11.6,88,46,6.12,11.55
JERVIS BAY NSW (JERVIS BAY AIRFIELD),09/10/2024,3.5,0.0, ,16.9,10.1,85,42,3.93,18.36
JERVIS BAY NSW (JERVIS BAY AIRFIELD),10/10/2024,4.0,0.0, ,21.8,8.0,92,58,4.59,24.21
JERVIS BAY NSW (JERVIS BAY AIRFIELD),11/10/2024,3.8,0.0, ,21.1,12.1,93,59,5.04,21.37
JERVIS BAY NSW (JERVIS BAY AIRFIELD),12/10/2024,4.0,3.6, ,17.8,13.4,86,48,6.18,20.03
JERVIS BAY NSW (JERVIS BAY AIRFIELD),13/10/2024,4.1,0.0, ,20.0,8.6,91,48,4.93,23.74
JERVIS BAY NSW (JERVIS BAY AIRFIELD),14/10/2024,4.1,0.0, ,24.6,13.0,88,47,4.44,14.93
JERVIS BAY NSW (JERVIS BAY AIRFIELD),15/10/2024,3.4,2.6, ,17.7,14.9,90,51,5.50,15.00
JERVIS BAY NSW (JERVIS BAY AIRFIELD),16/10/2024,4.3,0.0, ,20.1,9.2,84,42,3.68,24.43
JERVIS BAY NSW (JERVIS BAY AIRFIELD),17/10/2024, ,0.0, , ,9.4,93,60,5.15,24.91
JERVIS BAY NSW (JERVIS BAY AIRFIELD),18/10/2024, , , ,21.7, ,95,74,5.08,10.62
JERVIS BAY NSW (JERVIS BAY AIRFIELD),19/10/2024,3.3,1.2, ,21.7,17.2,93,64,3.93,15.86
JERVIS BAY NSW (JERVIS BAY AIRFIELD),20/10/2024,4.5,0.2, ,20.5,13.5,94,52,7.55,24.17
JERVIS BAY NSW (JERVIS BAY AIRFIELD),21/10/2024,4.4,0.0, ,20.2,15.2,81,54,7.48,19.24
JERVIS BAY NSW (JERVIS BAY AIRFIELD),22/10/2024,4.4,0.0, ,20.9,10.2,86,45,4.05,23.43
JERVIS BAY NSW (JERVIS BAY AIRFIELD),23/10/2024,3.7,0.0, ,24.4,14.0,93,55,4.17,15.32
JERVIS BAY NSW (JERVIS BAY AIRFIELD),24/10/2024,3.3,0.0, ,19.1,15.3,92,52,5.31,12.87
JERVIS BAY NSW (JERVIS BAY AIRFIELD),25/10/2024,4.9,1.4, ,18.9,10.3,94,34,6.55,25.82
JERVIS BAY NSW (JERVIS BAY AIRFIELD),26/10/2024,4.7,0.0, ,18.0,8.9,83,37,4.93,26.91
JERVIS BAY NSW (JERVIS BAY AIRFIELD),27/10/2024,4.7,0.0, ,24.3,8.2,95,44,3.67,24.79
JERVIS BAY NSW (JERVIS BAY AIRFIELD),28/10/2024,3.6,0.0, ,21.1,13.8,95,47,5.29,13.17
JERVIS BAY NSW (JERVIS BAY AIRFIELD),29/10/2024,4.5,0.0, ,21.7,12.3,95,49,2.96,26.23
JERVIS BAY NSW (JERVIS BAY AIRFIELD),30/10/2024,4.7,0.0, ,23.4,15.1,92,62,4.52,27.06
JERVIS BAY NSW (JERVIS BAY AIRFIELD),31/10/2024,3.3,0.0, ,21.5,16.5,93,68,4.94,16.12
Totals:,,116.7,13.6, ,,,,,, 
