'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY NSW (JERVIS BAY AIRFIELD) New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY NSW (JERVIS BAY AIRFIELD),01/02/2025,4.9,1.6, ,25.7,17.4,96,64,4.13,26.98
JERVIS BAY NSW (JERVIS BAY AIRFIELD),02/02/2025,5.8,0.0, ,27.0,18.1,92,54,4.67,28.91
JERVIS BAY NSW (JERVIS BAY AIRFIELD),03/02/2025,5.7,0.0, ,27.7,17.3,91,61,5.08,28.93
JERVIS BAY NSW (JERVIS BAY AIRFIELD),04/02/2025,5.7,0.0, ,27.4,20.5,93,64,6.11,28.79
JERVIS BAY NSW (JERVIS BAY AIRFIELD),05/02/2025, ,0.0, , ,20.3,95,72,5.08,14.96
JERVIS BAY NSW (JERVIS BAY AIRFIELD),06/02/2025, , , , , ,92,67,4.19,28.23
JERVIS BAY NSW (JERVIS BAY AIRFIELD),07/02/2025, , , ,28.1, ,91,60,6.05,28.31
JERVIS BAY NSW (JERVIS BAY AIRFIELD),08/02/2025,3.1,0.0, ,25.7,21.2,94,70,3.73,13.10
JERVIS BAY NSW (JERVIS BAY AIRFIELD),09/02/2025,3.9,15.8, ,26.0,18.8,97,67,3.27,19.48
JERVIS BAY NSW (JERVIS BAY AIRFIELD),10/02/2025,2.5,10.8, ,23.3,18.6,94,78,5.57,10.39
JERVIS BAY NSW (JERVIS BAY AIRFIELD),11/02/2025,4.8,1.0, ,25.2,19.1,94,66,4.14,26.13
JERVIS BAY NSW (JERVIS BAY AIRFIELD),12/02/2025,4.4,7.0, ,25.2,18.3,95,68,3.40,24.40
JERVIS BAY NSW (JERVIS BAY AIRFIELD),13/02/2025,4.6,5.6, ,26.7,20.3,95,71,6.97,23.62
JERVIS BAY NSW (JERVIS BAY AIRFIELD),14/02/2025,2.8,0.2, ,25.9,21.8,96,67,5.15,8.29
JERVIS BAY NSW (JERVIS BAY AIRFIELD),15/02/2025,4.2,13.8, ,24.1,17.7,94,62,5.12,21.19
JERVIS BAY NSW (JERVIS BAY AIRFIELD),16/02/2025,5.2,5.0, ,20.9,10.8,94,37,6.39,26.89
JERVIS BAY NSW (JERVIS BAY AIRFIELD),17/02/2025,5.1,0.0, ,21.2,14.4,84,45,5.46,26.70
JERVIS BAY NSW (JERVIS BAY AIRFIELD),18/02/2025,4.0,0.0, ,24.2,13.4,92,52,3.40,19.02
JERVIS BAY NSW (JERVIS BAY AIRFIELD),19/02/2025,2.4,0.0, ,21.0,16.2,94,66,3.15,10.09
JERVIS BAY NSW (JERVIS BAY AIRFIELD),20/02/2025,3.2,2.2, ,21.8,16.3,92,58,4.59,12.18
JERVIS BAY NSW (JERVIS BAY AIRFIELD),21/02/2025,4.5,0.0, ,24.9,15.0,90,60,4.60,23.62
JERVIS BAY NSW (JERVIS BAY AIRFIELD),22/02/2025,4.7,0.0, ,25.9,17.7,94,63,5.57,24.44
JERVIS BAY NSW (JERVIS BAY AIRFIELD),23/02/2025,4.8,0.0, ,26.6,17.7,83,57,6.09,17.98
JERVIS BAY NSW (JERVIS BAY AIRFIELD),24/02/2025,3.9,0.2, ,23.6,19.5,90,69,6.03,18.97
JERVIS BAY NSW (JERVIS BAY AIRFIELD),25/02/2025,2.6,0.4, ,22.0,19.7,85,65,3.73,7.63
JERVIS BAY NSW (JERVIS BAY AIRFIELD),26/02/2025,4.8,0.0, ,26.0,16.8,90,64,5.45,24.71
JERVIS BAY NSW (JERVIS BAY AIRFIELD),27/02/2025,4.2,0.0, ,27.5,18.9,96,69,4.53,21.09
JERVIS BAY NSW (JERVIS BAY AIRFIELD),28/02/2025,7.4,0.0, ,33.9,20.8,93,25,5.28,22.39
Totals:,,109.2,63.6, ,,,,,, 
