'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JERVIS BAY NSW (JERVIS BAY AIRFIELD) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JERVIS BAY NSW (JERVIS BAY AIRFIELD),01/08/2025,1.3,21.0, ,13.4,8.9,95,77,6.10,9.37
JERVIS BAY NSW (JERVIS BAY AIRFIELD),02/08/2025,1.8,30.2, ,15.8,10.3,94,66,7.04,4.88
JERVIS BAY NSW (JERVIS BAY AIRFIELD),03/08/2025,1.8,37.2, ,17.3,11.9,96,69,6.10,10.97
JERVIS BAY NSW (JERVIS BAY AIRFIELD),04/08/2025, ,12.8, , ,12.4,97,78,2.94,10.33
JERVIS BAY NSW (JERVIS BAY AIRFIELD),05/08/2025, , , ,20.2, ,97,48,3.22,11.01
JERVIS BAY NSW (JERVIS BAY AIRFIELD),06/08/2025,2.4,0.0, ,16.8,9.3,84,37,3.42,13.18
JERVIS BAY NSW (JERVIS BAY AIRFIELD),07/08/2025,2.0,0.2, ,14.5,8.2,90,54,4.65,11.55
JERVIS BAY NSW (JERVIS BAY AIRFIELD),08/08/2025,2.0,0.0, ,14.8,6.6,90,58,4.35,12.96
JERVIS BAY NSW (JERVIS BAY AIRFIELD),09/08/2025,2.4,0.4, ,17.2,11.3,94,53,5.74,11.96
JERVIS BAY NSW (JERVIS BAY AIRFIELD),10/08/2025,1.6,24.4, ,14.9,10.7,95,71,4.45,10.21
JERVIS BAY NSW (JERVIS BAY AIRFIELD),11/08/2025,1.6,13.2, ,14.7,9.7,93,75,4.62,12.19
JERVIS BAY NSW (JERVIS BAY AIRFIELD),12/08/2025,1.8,1.0, ,15.2,8.9,95,68,3.86,14.01
JERVIS BAY NSW (JERVIS BAY AIRFIELD),13/08/2025, ,0.2, , ,6.7,95,62,3.42,12.35
JERVIS BAY NSW (JERVIS BAY AIRFIELD),14/08/2025, , , ,14.3, ,95,64,5.27,8.79
JERVIS BAY NSW (JERVIS BAY AIRFIELD),15/08/2025,1.8,13.2, ,18.1,7.4,97,65,3.00,12.69
JERVIS BAY NSW (JERVIS BAY AIRFIELD),16/08/2025,3.0,0.0, ,17.1,9.9,75,39,4.67,12.32
JERVIS BAY NSW (JERVIS BAY AIRFIELD),17/08/2025,2.4,0.0, ,14.1,5.1,90,39,4.04,14.74
JERVIS BAY NSW (JERVIS BAY AIRFIELD),18/08/2025,2.4,4.0, ,14.6,6.8,91,58,7.06,14.46
JERVIS BAY NSW (JERVIS BAY AIRFIELD),19/08/2025,0.9,41.2, ,12.2,8.7,95,83,4.80,2.08
JERVIS BAY NSW (JERVIS BAY AIRFIELD),20/08/2025,1.7,56.2, ,15.8,9.4,96,67,3.85,8.92
JERVIS BAY NSW (JERVIS BAY AIRFIELD),21/08/2025,1.3,34.0, ,15.4,11.0,96,70,3.30,4.29
JERVIS BAY NSW (JERVIS BAY AIRFIELD),22/08/2025,1.4,60.6, ,16.5,11.6,97,83,2.68,9.61
JERVIS BAY NSW (JERVIS BAY AIRFIELD),23/08/2025,2.9,6.4, ,18.2,13.4,97,53,6.76,14.35
JERVIS BAY NSW (JERVIS BAY AIRFIELD),24/08/2025,3.1,0.0, ,16.3,11.2,81,49,7.90,9.49
JERVIS BAY NSW (JERVIS BAY AIRFIELD),25/08/2025,1.7,0.4, ,16.3,13.2,97,72,6.17,7.33
JERVIS BAY NSW (JERVIS BAY AIRFIELD),26/08/2025,2.0,1.2, ,19.6,11.0,97,73,4.35,13.04
JERVIS BAY NSW (JERVIS BAY AIRFIELD),27/08/2025,3.4,0.0, ,18.3,13.4,93,43,7.65,12.78
JERVIS BAY NSW (JERVIS BAY AIRFIELD),28/08/2025,4.4,0.0, ,17.0,10.9,59,38,7.71,16.28
JERVIS BAY NSW (JERVIS BAY AIRFIELD),29/08/2025,4.6,0.0, ,19.1,10.5,66,34,7.89,14.40
JERVIS BAY NSW (JERVIS BAY AIRFIELD),30/08/2025,3.6,0.0, ,16.7,8.7,73,40,7.26,10.83
JERVIS BAY NSW (JERVIS BAY AIRFIELD),31/08/2025,3.1,0.0, ,18.2,6.6,74,41,3.49,16.84
Totals:,,62.4,357.8, ,,,,,, 
