'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KAPOOKA (DEFENCE) New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KAPOOKA (DEFENCE),01/09/2024,3.0,0.0, ,21.2,3.5,97,35,2.56,17.20
KAPOOKA (DEFENCE),02/09/2024,3.6,0.0, ,16.0,9.5,75,33,5.20,16.73
KAPOOKA (DEFENCE),03/09/2024,2.0,0.0, ,15.6,0.4,99,48,1.15,17.39
KAPOOKA (DEFENCE),04/09/2024,3.0,0.0, ,20.3,-0.2,100,35,2.57,17.69
KAPOOKA (DEFENCE),05/09/2024,4.1,0.0, ,24.7,10.5,72,42,4.41,15.17
KAPOOKA (DEFENCE),06/09/2024, ,0.0, , ,13.2,90,31,4.50,17.97
KAPOOKA (DEFENCE),07/09/2024,2.7, , ,19.7,12.2,98,39,1.85,16.70
KAPOOKA (DEFENCE),08/09/2024,2.4,1.0, ,19.4,2.8,100,40,1.27,17.04
KAPOOKA (DEFENCE),09/09/2024,2.0,0.0, ,18.0,2.5,99,53,1.55,13.61
KAPOOKA (DEFENCE),10/09/2024,2.3,0.0, ,19.9,2.1,100,44,0.71,18.75
KAPOOKA (DEFENCE),11/09/2024,2.3,0.0, ,21.2,2.3,100,48,1.16,15.09
KAPOOKA (DEFENCE),12/09/2024,2.8,0.2, ,20.4,10.4,97,47,2.60,14.83
KAPOOKA (DEFENCE),13/09/2024,2.5,0.0, ,18.7,2.1,100,42,1.25,19.02
KAPOOKA (DEFENCE),14/09/2024,2.5,0.2, ,17.7,-0.5,100,49,2.37,16.39
KAPOOKA (DEFENCE),15/09/2024,2.9,0.0, ,15.1,-3.5,96,33,3.05,19.71
KAPOOKA (DEFENCE),16/09/2024,2.6,0.0, ,16.8,-4.8,100,42,2.21,19.08
KAPOOKA (DEFENCE),17/09/2024,2.8,0.0, ,18.6,-0.1,100,36,1.60,20.00
KAPOOKA (DEFENCE),18/09/2024,3.4,0.0, ,22.0,-2.7,99,20,1.87,20.26
KAPOOKA (DEFENCE),19/09/2024,2.8,0.0, ,20.0,-0.2,84,38,1.95,16.13
KAPOOKA (DEFENCE),20/09/2024,2.4,0.2, ,17.6,0.9,97,44,1.54,16.72
KAPOOKA (DEFENCE),21/09/2024,2.9,0.0, ,19.2,4.1,96,38,2.17,17.31
KAPOOKA (DEFENCE),22/09/2024,2.8,0.0, ,20.4,6.7,94,42,1.42,17.96
KAPOOKA (DEFENCE),23/09/2024,3.2,0.0, ,23.9,1.0,100,33,1.19,21.18
KAPOOKA (DEFENCE),24/09/2024,4.2,0.0, ,27.7,7.6,89,20,2.17,17.84
KAPOOKA (DEFENCE),25/09/2024,1.4,0.0, ,17.0,13.4,100,76,2.18,6.13
KAPOOKA (DEFENCE),26/09/2024,1.3,32.0, ,12.8,8.6,100,72,1.60,7.52
KAPOOKA (DEFENCE),27/09/2024,3.3,0.0, ,18.4,2.7,100,31,2.01,21.89
KAPOOKA (DEFENCE),28/09/2024,3.6,0.0, ,20.4,5.2,90,49,3.64,21.72
KAPOOKA (DEFENCE),29/09/2024,3.1,0.0, ,21.2,6.9,98,50,1.92,18.66
KAPOOKA (DEFENCE),30/09/2024,3.3,0.0, ,19.7,10.7,100,39,2.05,19.65
Totals:,,81.2,33.6, ,,,,,, 
