'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KAPOOKA (DEFENCE) New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KAPOOKA (DEFENCE),01/12/2024,5.8,11.4, ,30.4,17.7,96,32,2.54,24.41
KAPOOKA (DEFENCE),02/12/2024,6.9,0.0, ,34.8,12.2,96,20,2.05,29.93
KAPOOKA (DEFENCE),03/12/2024,4.5,10.8, ,31.0,20.2,98,49,2.86,17.16
KAPOOKA (DEFENCE),04/12/2024,6.3,13.0, ,33.7,17.9,98,33,1.67,28.74
KAPOOKA (DEFENCE),05/12/2024,5.2,0.0, ,32.7,21.2,91,53,3.03,20.22
KAPOOKA (DEFENCE),06/12/2024,7.2,3.0, ,37.2,21.9,90,30,2.23,28.73
KAPOOKA (DEFENCE),07/12/2024,6.3,0.0, ,34.7,22.7,93,43,3.28,23.11
KAPOOKA (DEFENCE),08/12/2024,6.8,4.0, ,27.3,18.2,87,23,3.06,31.52
KAPOOKA (DEFENCE),09/12/2024,4.0,0.0, ,25.7,10.4,96,30,1.19,19.59
KAPOOKA (DEFENCE),10/12/2024,6.6,0.0, ,30.0,10.0,96,21,2.37,31.50
KAPOOKA (DEFENCE),11/12/2024,6.4,0.0, ,28.1,9.1,93,20,2.40,31.61
KAPOOKA (DEFENCE),12/12/2024,6.4,0.0, ,32.2,9.5,92,21,1.61,31.54
KAPOOKA (DEFENCE),13/12/2024,7.1,0.0, ,34.5,11.8,93,19,2.08,31.10
KAPOOKA (DEFENCE),14/12/2024,6.3,0.0, ,34.6,12.7,82,19,1.67,27.33
KAPOOKA (DEFENCE),15/12/2024,7.4,0.0, ,37.4,12.6,86,16,1.83,31.52
KAPOOKA (DEFENCE),16/12/2024,10.9,0.0, ,40.0,22.4,60,18,5.00,31.20
KAPOOKA (DEFENCE),17/12/2024,8.6,0.0, ,32.8,27.9,50,9,4.17,22.96
KAPOOKA (DEFENCE),18/12/2024,7.9,0.0, ,30.5,10.2,71,13,3.66,31.29
KAPOOKA (DEFENCE),19/12/2024,7.2,0.0, ,30.1,13.2,68,15,2.74,31.22
KAPOOKA (DEFENCE),20/12/2024,7.4,0.0, ,33.3,15.1,73,19,2.49,31.00
KAPOOKA (DEFENCE),21/12/2024,7.6,0.0, ,35.5,12.8,83,8,2.29,30.62
KAPOOKA (DEFENCE),22/12/2024,6.8,0.0, ,31.5,9.3,82,8,2.13,30.35
KAPOOKA (DEFENCE),23/12/2024,7.4,0.0, ,24.2,10.8,62,21,5.89,30.32
KAPOOKA (DEFENCE),24/12/2024,6.6,0.0, ,28.2,8.5,75,24,2.87,30.97
KAPOOKA (DEFENCE),25/12/2024,6.3,0.0, ,34.5,10.9,84,15,1.25,30.91
KAPOOKA (DEFENCE),26/12/2024,11.4,0.0, ,38.7,15.8,60,11,5.63,30.73
KAPOOKA (DEFENCE),27/12/2024,8.1,0.0, ,28.3,18.4,48,14,4.10,30.44
KAPOOKA (DEFENCE),28/12/2024,6.6,0.0, ,27.9,10.2,67,11,2.49,30.52
KAPOOKA (DEFENCE),29/12/2024,6.6,0.0, ,30.9,10.6,76,17,2.01,30.68
KAPOOKA (DEFENCE),30/12/2024,7.5,0.0, ,34.0,12.1,71,16,2.56,30.26
KAPOOKA (DEFENCE),31/12/2024,7.5,0.0, ,34.7,14.1,66,9,2.25,30.43
Totals:,,217.6,42.2, ,,,,,, 
