'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KAPOOKA (DEFENCE) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KAPOOKA (DEFENCE),01/04/2025,3.6,0.2, ,26.8,9.3,81,26,1.80,17.36
KAPOOKA (DEFENCE),02/04/2025,3.4,0.0, ,26.8,8.8,81,21,1.63,16.68
KAPOOKA (DEFENCE),03/04/2025,3.7,0.0, ,28.1,5.9,90,21,1.89,15.86
KAPOOKA (DEFENCE),04/04/2025,3.0,0.0, ,25.0,6.4,90,25,1.38,17.40
KAPOOKA (DEFENCE),05/04/2025,3.5,0.0, ,21.7,5.8,84,20,2.51,17.58
KAPOOKA (DEFENCE),06/04/2025, ,0.0, , ,0.4,87,29,1.35,14.73
KAPOOKA (DEFENCE),07/04/2025, ,0.0, , , ,100,34,2.31,16.53
KAPOOKA (DEFENCE),08/04/2025,2.6,0.0, ,25.1,2.6,93,24,0.99,16.97
KAPOOKA (DEFENCE),09/04/2025,3.3,0.0, ,27.4,6.6,86,22,1.64,16.74
KAPOOKA (DEFENCE),10/04/2025,3.2,0.0, ,29.1,11.3,66,19,1.39,14.61
KAPOOKA (DEFENCE),11/04/2025,3.4,0.0, ,30.3,7.3,76,21,1.44,16.23
KAPOOKA (DEFENCE),12/04/2025,3.7,0.0, ,30.1,13.2,62,23,1.84,16.24
KAPOOKA (DEFENCE),13/04/2025,3.1,0.0, ,29.7,12.1,85,23,1.23,15.80
KAPOOKA (DEFENCE),14/04/2025,3.1,0.0, ,30.3,8.7,83,21,1.30,15.63
KAPOOKA (DEFENCE),15/04/2025,4.5,0.0, ,27.7,15.1,76,30,3.91,15.36
KAPOOKA (DEFENCE),16/04/2025,3.5,0.0, ,25.9,11.9,77,31,2.51,15.58
KAPOOKA (DEFENCE),17/04/2025,2.4,0.0, ,26.7,6.8,87,30,0.92,15.51
KAPOOKA (DEFENCE),18/04/2025,2.3,0.0, ,28.6,8.5,83,25,0.67,15.36
KAPOOKA (DEFENCE),19/04/2025,3.7,0.0, ,29.9,8.8,83,15,2.06,14.59
KAPOOKA (DEFENCE),20/04/2025,4.3,0.0, ,30.0,16.1,93,24,3.51,11.84
KAPOOKA (DEFENCE),21/04/2025,2.0,2.6, ,20.9,9.9,99,47,1.43,12.30
KAPOOKA (DEFENCE),22/04/2025,3.5,0.0, ,25.9,9.5,93,38,3.56,14.01
KAPOOKA (DEFENCE),23/04/2025,3.4,0.0, ,26.2,9.9,94,40,3.46,12.89
KAPOOKA (DEFENCE),24/04/2025,4.6,0.0, ,27.4,16.3,74,27,4.31,14.43
KAPOOKA (DEFENCE),25/04/2025,3.6,0.0, ,27.5,13.9,79,32,2.85,13.43
KAPOOKA (DEFENCE),26/04/2025,2.7,0.0, ,25.2,13.1,84,44,2.31,11.22
KAPOOKA (DEFENCE),27/04/2025,2.1,0.0, ,26.2,11.6,89,37,0.95,12.21
KAPOOKA (DEFENCE),28/04/2025,2.0,0.0, ,25.0,8.5,99,42,1.07,12.94
KAPOOKA (DEFENCE),29/04/2025,1.9,0.0, ,23.1,9.8,85,35,0.86,13.71
KAPOOKA (DEFENCE),30/04/2025,1.9,0.0, ,20.9,9.6,88,41,1.70,7.50
Totals:,,88,2.8, ,,,,,, 
