'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KAPOOKA (DEFENCE) New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KAPOOKA (DEFENCE),01/07/2025,0.8,0.0, ,11.5,-2.1,100,66,1.66,8.60
KAPOOKA (DEFENCE),02/07/2025,1.8,0.0, ,16.6,-0.1,84,57,4.06,10.36
KAPOOKA (DEFENCE),03/07/2025,1.1,0.8, ,16.5,6.0,100,59,1.82,10.21
KAPOOKA (DEFENCE),04/07/2025,0.6,0.0, ,10.7,1.8,100,88,0.93,7.25
KAPOOKA (DEFENCE),05/07/2025,1.2,0.4, ,13.2,3.5,100,59,2.99,7.37
KAPOOKA (DEFENCE),06/07/2025,1.5,0.0, ,16.4,7.9,99,58,3.88,6.49
KAPOOKA (DEFENCE),07/07/2025,0.6,1.6, ,10.4,5.7,100,83,1.16,5.73
KAPOOKA (DEFENCE),08/07/2025,1.4,0.0, ,13.8,6.3,97,59,3.72,7.31
KAPOOKA (DEFENCE),09/07/2025,0.7,0.2, ,12.5,3.0,100,59,0.64,7.74
KAPOOKA (DEFENCE),10/07/2025,0.9,1.2, ,10.6,5.7,100,73,4.05,7.25
KAPOOKA (DEFENCE),11/07/2025,0.6,3.4, ,11.5,4.9,100,83,1.12,5.73
KAPOOKA (DEFENCE),12/07/2025,1.0,2.8, ,14.3,6.3,100,56,1.25,9.64
KAPOOKA (DEFENCE),13/07/2025,1.0,0.2, ,14.1,-0.3,100,60,1.63,9.55
KAPOOKA (DEFENCE),14/07/2025,0.9,0.0, ,12.6,2.2,100,55,1.21,10.73
KAPOOKA (DEFENCE),15/07/2025, ,0.0, ,13.2,4.8,99,53,0.98, 
KAPOOKA (DEFENCE),16/07/2025,0.9,0.0, ,13.1,-1.0,100,59,0.91,10.62
KAPOOKA (DEFENCE),17/07/2025,0.9,0.0, ,14.0,1.0,100,54,0.73,11.33
KAPOOKA (DEFENCE),18/07/2025, ,0.0, , ,-0.7,100,60,0.84,11.37
KAPOOKA (DEFENCE),19/07/2025,0.8,0.4, ,13.7,-2.5,100,47,0.41,11.58
KAPOOKA (DEFENCE),20/07/2025,1.0,0.0, ,15.4,1.0,100,42,0.76,11.31
KAPOOKA (DEFENCE),21/07/2025,2.2,0.0, ,18.1,1.8,95,49,4.48,11.59
KAPOOKA (DEFENCE),22/07/2025,1.8,0.0, ,16.1,10.4,96,61,6.00,4.81
KAPOOKA (DEFENCE),23/07/2025,0.9,9.4, ,12.3,2.3,100,60,0.90,9.90
KAPOOKA (DEFENCE),24/07/2025,0.8,0.2, ,12.9,-1.5,100,60,0.49,11.63
KAPOOKA (DEFENCE),25/07/2025,1.6,0.2, ,12.6,-0.6,100,46,3.77,6.77
KAPOOKA (DEFENCE),26/07/2025,1.1,8.8, ,13.1,5.6,100,73,5.30,5.71
KAPOOKA (DEFENCE),27/07/2025,0.9,6.8, ,13.0,9.5,100,81,3.31,7.38
KAPOOKA (DEFENCE),28/07/2025,0.7,8.6, ,11.6,8.6,100,94,2.87,6.29
KAPOOKA (DEFENCE),29/07/2025,0.9,7.0, ,12.5,7.4,100,74,0.66,8.49
KAPOOKA (DEFENCE),30/07/2025,1.1,0.0, ,13.2,3.8,100,55,1.16,9.05
KAPOOKA (DEFENCE),31/07/2025,1.6,0.0, ,15.6,0.6,98,48,2.17,12.67
Totals:,,31.3,52, ,,,,,, 
