'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KEMPSEY AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KEMPSEY AIRPORT,01/09/2024,3.7,0.0, ,29.0,8.7,100,44,2.16,18.73
KEMPSEY AIRPORT,02/09/2024,6.1,0.0, ,30.3,10.8,100,11,4.36,18.86
KEMPSEY AIRPORT,03/09/2024,3.8,0.0, ,20.3,5.9,94,26,3.78,19.04
KEMPSEY AIRPORT,04/09/2024,3.1,0.0, ,22.2,5.4,99,46,2.43,18.69
KEMPSEY AIRPORT,05/09/2024,3.4,0.0, ,25.8,4.9,99,30,1.67,19.26
KEMPSEY AIRPORT,06/09/2024,4.0,0.0, ,28.2,4.8,100,30,2.14,19.42
KEMPSEY AIRPORT,07/09/2024,4.8,0.0, ,31.1,8.4,99,25,2.60,19.55
KEMPSEY AIRPORT,08/09/2024,3.5,0.0, ,28.1,10.2,100,45,1.88,18.11
KEMPSEY AIRPORT,09/09/2024,2.7,0.0, ,23.4,15.4,100,37,1.71,12.04
KEMPSEY AIRPORT,10/09/2024,3.5,0.0, ,23.7,5.8,99,39,2.22,19.99
KEMPSEY AIRPORT,11/09/2024,3.7,0.0, ,25.5,9.4,100,48,2.62,20.13
KEMPSEY AIRPORT,12/09/2024,1.7,14.2, ,19.8,11.9,100,71,2.52,7.26
KEMPSEY AIRPORT,13/09/2024,3.7,5.0, ,20.4,13.5,93,50,5.81,17.70
KEMPSEY AIRPORT,14/09/2024,3.1,0.0, ,22.3,8.2,99,48,2.15,18.20
KEMPSEY AIRPORT,15/09/2024,3.9,0.0, ,18.8,7.1,99,35,6.60,16.16
KEMPSEY AIRPORT,16/09/2024,4.0,0.0, ,22.4,7.7,97,33,3.26,21.08
KEMPSEY AIRPORT,17/09/2024,3.5,0.0, ,21.7,4.4,99,41,2.96,19.48
KEMPSEY AIRPORT,18/09/2024,4.2,0.0, ,25.9,5.5,100,30,2.48,21.39
KEMPSEY AIRPORT,19/09/2024,4.7,0.0, ,28.4,5.3,99,23,2.45,21.57
KEMPSEY AIRPORT,20/09/2024,4.8,0.0, ,27.5,6.7,99,18,2.54,21.75
KEMPSEY AIRPORT,21/09/2024,4.3,0.0, ,25.5,5.6,98,22,2.30,21.89
KEMPSEY AIRPORT,22/09/2024,4.3,0.0, ,25.4,5.2,97,27,2.51,22.10
KEMPSEY AIRPORT,23/09/2024,4.9,0.0, ,28.0,6.8,99,23,2.75,22.27
KEMPSEY AIRPORT,24/09/2024, ,0.0, , ,6.6,100,29,2.44,19.88
KEMPSEY AIRPORT,25/09/2024,3.4,0.0, ,28.4,10.0,100,34,1.63,14.85
KEMPSEY AIRPORT,26/09/2024,1.6,0.0, ,20.0,14.9,100,81,3.59,7.77
KEMPSEY AIRPORT,27/09/2024,1.4,27.8, ,15.5,13.6,100,84,5.72,7.61
KEMPSEY AIRPORT,28/09/2024,1.8,18.2, ,20.5,12.5,100,88,4.98,11.52
KEMPSEY AIRPORT,29/09/2024,2.9,23.8, ,23.1,14.4,100,75,2.66,17.21
KEMPSEY AIRPORT,30/09/2024,3.4,2.4, ,23.0,16.3,100,57,3.35,17.42
Totals:,,103.9,91.4, ,,,,,, 
