'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KEMPSEY AIRPORT New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KEMPSEY AIRPORT,01/04/2025,2.7,0.0, ,25.4,16.0,96,61,2.41,12.51
KEMPSEY AIRPORT,02/04/2025,1.0,0.4, ,18.4,17.6,100,90,1.75,4.28
KEMPSEY AIRPORT,03/04/2025,2.0,19.2, ,21.9,16.6,100,74,1.80,10.35
KEMPSEY AIRPORT,04/04/2025,3.5,0.8, ,28.1,12.2,100,33,1.34,19.62
KEMPSEY AIRPORT,05/04/2025,4.0,0.2, ,29.0,13.1,99,31,2.01,19.34
KEMPSEY AIRPORT,06/04/2025,3.7,0.0, ,27.6,12.9,100,46,2.27,19.27
KEMPSEY AIRPORT,07/04/2025,3.5,0.0, ,27.7,8.6,99,32,1.57,19.11
KEMPSEY AIRPORT,08/04/2025,2.8,0.0, ,24.4,12.6,99,64,2.97,15.48
KEMPSEY AIRPORT,09/04/2025,2.9,0.0, ,24.2,12.5,100,60,2.04,17.94
KEMPSEY AIRPORT,10/04/2025,3.1,0.2, ,26.8,13.0,100,56,1.66,17.75
KEMPSEY AIRPORT,11/04/2025,3.1,0.0, ,27.6,14.3,100,60,1.64,17.38
KEMPSEY AIRPORT,12/04/2025,2.7,0.6, ,25.9,16.6,100,69,1.83,15.82
KEMPSEY AIRPORT,13/04/2025,2.9,7.8, ,26.0,17.0,100,52,1.91,15.31
KEMPSEY AIRPORT,14/04/2025,2.8,2.8, ,25.8,15.6,100,60,2.26,14.92
KEMPSEY AIRPORT,15/04/2025,2.4,1.0, ,24.4,15.3,100,72,4.29,11.49
KEMPSEY AIRPORT,16/04/2025,3.7,0.4, ,24.1,13.4,92,50,4.99,16.04
KEMPSEY AIRPORT,17/04/2025,3.1,0.0, ,24.9,17.1,93,62,4.42,13.52
KEMPSEY AIRPORT,18/04/2025,3.3,0.0, ,25.3,13.3,99,49,2.98,17.02
KEMPSEY AIRPORT,19/04/2025,3.0,0.2, ,27.8,10.8,100,34,1.43,16.26
KEMPSEY AIRPORT,20/04/2025,3.1,0.0, ,29.9,10.9,100,35,1.23,16.99
KEMPSEY AIRPORT,21/04/2025,1.7,0.0, ,23.8,14.1,100,64,1.75,6.59
KEMPSEY AIRPORT,22/04/2025,2.9,0.6, ,24.7,9.6,100,48,2.33,16.14
KEMPSEY AIRPORT,23/04/2025,2.3,4.8, ,24.7,13.9,100,68,2.96,11.52
KEMPSEY AIRPORT,24/04/2025,1.5,23.4, ,23.9,14.8,100,80,2.05,7.59
KEMPSEY AIRPORT,25/04/2025,2.0,14.4, ,24.3,15.2,100,71,1.55,11.90
KEMPSEY AIRPORT,26/04/2025,1.5,17.6, ,22.4,15.2,100,83,1.74,9.19
KEMPSEY AIRPORT,27/04/2025,2.6,96.2, ,24.4,16.6,100,61,3.84,11.55
KEMPSEY AIRPORT,28/04/2025,2.8,1.0, ,24.7,16.6,93,65,4.88,12.26
KEMPSEY AIRPORT,29/04/2025,2.7,0.0, ,24.8,13.3,100,57,2.73,15.43
KEMPSEY AIRPORT,30/04/2025,2.9,0.0, ,23.9,12.5,100,55,4.38,14.16
Totals:,,82.2,191.6, ,,,,,, 
