'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KHANCOBAN New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KHANCOBAN,01/11/2024,4.4,0.0, ,23.8,6.9,95,32,1.24,26.57
KHANCOBAN,02/11/2024,4.9,0.0, ,25.2,5.5,90,35,1.95,27.88
KHANCOBAN,03/11/2024,5.8,0.0, ,29.9,9.6,93,18,3.49,18.36
KHANCOBAN,04/11/2024,4.6,0.0, ,26.1,11.4,85,26,2.11,20.16
KHANCOBAN,05/11/2024,4.9,0.0, ,27.0,6.5,93,29,1.31,27.92
KHANCOBAN,06/11/2024,5.1,0.0, ,30.8,8.7,91,32,2.37,20.59
KHANCOBAN,07/11/2024,3.0,4.2, ,23.7,16.3,97,45,2.68,9.72
KHANCOBAN,08/11/2024,4.7,0.0, ,22.4,8.1,92,29,3.15,23.09
KHANCOBAN,09/11/2024,4.3,0.0, ,24.2,6.4,94,33,1.57,23.95
KHANCOBAN,10/11/2024,5.2,0.0, ,26.7,5.4,90,18,1.61,28.69
KHANCOBAN,11/11/2024,5.2,0.0, ,27.7,7.9,93,23,1.43,28.72
KHANCOBAN,12/11/2024,6.3,0.0, ,30.1,9.8,90,26,2.98,26.93
KHANCOBAN,13/11/2024,3.0,0.0, ,24.3,11.5,95,54,1.51,14.29
KHANCOBAN,14/11/2024,5.0,0.4, ,27.4,11.0,97,30,1.23,27.20
KHANCOBAN,15/11/2024,5.4,0.0, ,28.4,9.0,92,25,1.45,29.03
KHANCOBAN,16/11/2024,6.1,0.0, ,32.2,9.0,93,25,1.84,28.70
KHANCOBAN,17/11/2024,3.3,0.0, ,27.0,15.6,96,45,4.37,5.12
KHANCOBAN,18/11/2024,4.9,22.0, ,22.7,6.6,98,35,2.25,28.63
KHANCOBAN,19/11/2024,5.1,0.0, ,26.1,6.7,94,27,1.21,30.11
KHANCOBAN,20/11/2024,5.3,0.0, ,28.0,9.2,94,28,1.06,29.95
KHANCOBAN,21/11/2024, ,0.0, , ,11.2,92,35,1.50,28.98
KHANCOBAN,22/11/2024, , , ,31.8, ,92,28,1.29,29.76
KHANCOBAN,23/11/2024,5.8,0.0, ,33.5,12.9,92,27,1.11,28.94
KHANCOBAN,24/11/2024,3.8,0.0, ,29.9,15.1,85,38,1.36,14.99
KHANCOBAN,25/11/2024,4.9,0.0, ,33.7,18.1,87,33,1.29,20.87
KHANCOBAN,26/11/2024,3.7,0.0, ,28.8,19.3,95,48,2.49,12.84
KHANCOBAN,27/11/2024,2.0,5.8, ,23.8,18.0,96,72,2.14,7.51
KHANCOBAN,28/11/2024,6.2,14.8, ,30.8,18.9,96,35,2.09,28.69
KHANCOBAN,29/11/2024,3.5,0.2, ,27.0,15.0,95,56,1.76,15.28
KHANCOBAN,30/11/2024, ,14.0, ,21.6,17.5,98,84,0.66, 
Totals:,,126.4,61.4, ,,,,,, 
