'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KHANCOBAN New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KHANCOBAN,01/12/2024,4.9,17.8, ,28.0,17.1,98,35,2.23,21.52
KHANCOBAN,02/12/2024,6.2,3.8, ,30.4,11.2,97,28,1.79,31.05
KHANCOBAN,03/12/2024,2.4,11.4, ,27.4,16.8,97,65,2.58,7.25
KHANCOBAN,04/12/2024,6.1,6.8, ,31.6,18.1,98,37,1.26,30.26
KHANCOBAN,05/12/2024,4.0,0.4, ,31.6,16.9,95,48,0.83,18.61
KHANCOBAN,06/12/2024,5.2,0.0, ,34.0,17.5,95,53,1.84,22.50
KHANCOBAN,07/12/2024,3.6,24.2, ,30.8,19.5,97,54,1.56,14.18
KHANCOBAN,08/12/2024,6.2,1.2, ,27.0,16.3,99,27,2.28,31.14
KHANCOBAN,09/12/2024,3.6,0.2, ,23.5,9.4,92,38,1.42,17.39
KHANCOBAN,10/12/2024,5.4,0.0, ,27.0,7.8,97,30,1.22,30.66
KHANCOBAN,11/12/2024,5.8,0.0, ,26.7,9.5,96,31,1.76,31.87
KHANCOBAN,12/12/2024,5.8,0.0, ,29.1,9.0,92,33,1.21,31.94
KHANCOBAN,13/12/2024,6.2,0.0, ,31.3,11.2,94,31,1.75,30.47
KHANCOBAN,14/12/2024,5.9,0.0, ,30.8,12.1,94,27,1.30,29.95
KHANCOBAN,15/12/2024,6.2,0.0, ,33.4,11.9,91,22,1.04,32.04
KHANCOBAN,16/12/2024,7.1,0.0, ,36.3,15.2,94,30,1.71,32.01
KHANCOBAN,17/12/2024,5.0,0.0, ,31.4,20.0,87,24,2.91,13.48
KHANCOBAN,18/12/2024,6.8,0.0, ,28.3,10.9,87,24,3.06,32.01
KHANCOBAN,19/12/2024,6.1,0.0, ,29.5,7.7,85,25,1.63,32.02
KHANCOBAN,20/12/2024,6.3,0.0, ,31.7,10.2,87,31,1.52,31.89
KHANCOBAN,21/12/2024,7.2,0.0, ,34.6,13.0,92,16,2.12,31.31
KHANCOBAN,22/12/2024,6.5,0.0, ,30.1,11.2,83,22,2.58,29.02
KHANCOBAN,23/12/2024,5.5,0.0, ,23.2,11.9,75,27,3.97,22.20
KHANCOBAN,24/12/2024,6.0,0.0, ,27.7,4.8,86,28,2.22,31.81
KHANCOBAN,25/12/2024,6.4,0.0, ,32.8,9.9,88,23,1.38,31.94
KHANCOBAN,26/12/2024,9.2,0.0, ,36.4,12.1,91,17,4.26,31.64
KHANCOBAN,27/12/2024,8.6,0.0, ,28.8,21.9,61,19,5.23,30.12
KHANCOBAN,28/12/2024,6.6,0.0, ,27.1,9.9,84,18,2.99,31.38
KHANCOBAN,29/12/2024,6.3,0.0, ,29.8,10.8,80,22,1.84,31.33
KHANCOBAN,30/12/2024,6.6,0.0, ,32.5,10.8,87,22,1.77,31.42
KHANCOBAN,31/12/2024,7.0,0.0, ,33.6,13.8,80,18,2.00,31.16
Totals:,,184.7,65.8, ,,,,,, 
