'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KHANCOBAN New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KHANCOBAN,01/02/2025,7.4,0.0, ,36.5,15.3,85,22,2.63,28.73
KHANCOBAN,02/02/2025,7.1,0.0, ,38.9,16.6,87,17,2.17,26.30
KHANCOBAN,03/02/2025,6.8,0.0, ,37.8,16.6,69,14,1.76,28.38
KHANCOBAN,04/02/2025,6.8,0.0, ,37.2,15.7,77,23,2.22,26.46
KHANCOBAN,05/02/2025,7.6,0.0, ,37.3,18.4,76,24,3.46,24.23
KHANCOBAN,06/02/2025,6.4,0.6, ,35.6,15.7,87,26,1.86,27.92
KHANCOBAN,07/02/2025,6.6,0.0, ,36.2,17.5,85,27,3.26,20.52
KHANCOBAN,08/02/2025,3.1,2.4, ,27.3,16.2,94,49,1.66,11.98
KHANCOBAN,09/02/2025,4.8,3.4, ,31.2,15.5,95,38,2.12,19.78
KHANCOBAN,10/02/2025,4.9,6.2, ,29.9,15.9,94,38,3.69,15.92
KHANCOBAN,11/02/2025,4.4,7.4, ,29.3,12.2,93,33,1.49,20.56
KHANCOBAN,12/02/2025,6.0,1.0, ,34.1,15.0,93,30,2.04,25.90
KHANCOBAN,13/02/2025,6.3,0.0, ,34.3,14.8,91,30,3.01,23.11
KHANCOBAN,14/02/2025,1.1,0.4, ,22.9,19.4,97,71,2.20,0.72
KHANCOBAN,15/02/2025,4.1,7.4, ,21.8,14.9,97,38,3.56,18.81
KHANCOBAN,16/02/2025,4.2,2.8, ,20.5,5.4,89,29,2.37,24.40
KHANCOBAN,17/02/2025,4.5,0.6, ,25.3,5.5,86,23,1.37,26.42
KHANCOBAN,18/02/2025, ,0.4, , ,9.7,90,24,1.66,23.42
KHANCOBAN,19/02/2025,4.8, , ,27.8,10.2,87,23,1.52,25.47
KHANCOBAN,20/02/2025,5.0,0.0, ,28.7,10.0,87,30,1.74,25.71
KHANCOBAN,21/02/2025,4.8,0.2, ,30.7,10.5,86,20,1.13,25.39
KHANCOBAN,22/02/2025,4.3,0.0, ,32.2,12.4,85,33,1.01,21.41
KHANCOBAN,23/02/2025,3.6,0.0, ,30.7,15.7,96,41,1.84,13.03
KHANCOBAN,24/02/2025,5.2,0.0, ,32.2,15.0,98,18,1.47,25.10
KHANCOBAN,25/02/2025,4.8,0.0, ,33.0,13.3,87,25,1.03,24.67
KHANCOBAN,26/02/2025,5.0,0.0, ,33.7,13.5,91,31,1.39,23.87
KHANCOBAN,27/02/2025,5.5,0.0, ,35.9,15.2,86,19,1.50,24.43
KHANCOBAN,28/02/2025,5.4,0.0, ,32.8,15.5,74,28,2.17,21.89
Totals:,,140.5,32.8, ,,,,,, 
