'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KHANCOBAN New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KHANCOBAN,01/04/2025,3.7,0.0, ,24.8,7.2,93,31,2.59,17.87
KHANCOBAN,02/04/2025,3.0,0.0, ,25.1,6.0,88,30,1.28,17.68
KHANCOBAN,03/04/2025,2.5,0.0, ,24.9,5.7,91,29,1.10,13.37
KHANCOBAN,04/04/2025,3.0,0.0, ,24.7,6.8,91,33,1.62,16.80
KHANCOBAN,05/04/2025,2.8,0.0, ,22.1,6.0,89,30,1.52,17.05
KHANCOBAN,06/04/2025,2.7,0.2, ,21.1,2.1,94,33,2.06,14.21
KHANCOBAN,07/04/2025,2.6,0.0, ,22.0,7.1,90,33,1.45,15.55
KHANCOBAN,08/04/2025,2.5,0.0, ,24.7,4.4,93,25,0.90,16.59
KHANCOBAN,09/04/2025,2.5,0.0, ,26.0,5.4,92,34,0.93,16.21
KHANCOBAN,10/04/2025,2.3,0.0, ,27.0,9.9,87,30,0.90,12.21
KHANCOBAN,11/04/2025,2.4,0.0, ,28.3,6.4,89,28,0.91,13.01
KHANCOBAN,12/04/2025,2.6,0.0, ,29.2,8.7,94,25,0.83,15.82
KHANCOBAN,13/04/2025,2.5,0.0, ,27.9,8.9,88,25,0.84,15.13
KHANCOBAN,14/04/2025,2.1,0.0, ,27.7,8.7,91,31,0.83,10.72
KHANCOBAN,15/04/2025,2.7,0.0, ,27.6,9.7,91,31,1.22,15.22
KHANCOBAN,16/04/2025,2.4,0.0, ,26.8,7.3,96,32,0.92,14.90
KHANCOBAN,17/04/2025,2.5,0.0, ,26.3,6.4,93,28,1.12,15.05
KHANCOBAN,18/04/2025,2.3,0.0, ,27.7,7.1,84,27,0.78,14.75
KHANCOBAN,19/04/2025,2.3,0.0, ,28.0,8.7,92,23,0.93,12.84
KHANCOBAN,20/04/2025,3.5,0.0, ,29.4,9.7,95,26,2.44,11.65
KHANCOBAN,21/04/2025,1.2,3.6, ,16.8,13.9,97,77,1.27,6.29
KHANCOBAN,22/04/2025,1.4,5.2, ,20.7,10.6,99,57,1.40,5.54
KHANCOBAN,23/04/2025,2.0,0.2, ,25.9,9.8,97,43,1.02,11.29
KHANCOBAN,24/04/2025,1.8,0.0, ,25.9,9.6,96,34,0.60,12.71
KHANCOBAN,25/04/2025,1.9,0.0, ,25.7,8.3,96,36,0.75,13.38
KHANCOBAN,26/04/2025,2.1,0.0, ,26.2,10.9,92,38,1.12,12.45
KHANCOBAN,27/04/2025,2.1,0.0, ,25.4,8.6,97,36,1.15,12.31
KHANCOBAN,28/04/2025,1.7,0.0, ,23.2,7.4,97,44,0.96,10.79
KHANCOBAN,29/04/2025,1.9,1.0, ,22.5,10.1,99,45,1.65,9.95
KHANCOBAN,30/04/2025,2.4,0.0, ,20.8,8.5,87,34,2.24,11.71
Totals:,,71.4,10.2, ,,,,,, 
