'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/09/2024,5.3,0.0, ,25.9,14.3,43,19,3.92,17.32
KIAMA (BOMBO HEADLAND),02/09/2024,6.9,0.0, ,22.8,16.2,52,17,8.21,17.41
KIAMA (BOMBO HEADLAND),03/09/2024,3.9,0.0, ,16.9,10.4,61,30,4.55,17.64
KIAMA (BOMBO HEADLAND),04/09/2024,4.0,0.0, ,20.1,10.1,74,33,4.53,17.48
KIAMA (BOMBO HEADLAND),05/09/2024,4.1,0.0, ,26.5,12.4,68,35,3.51,12.41
KIAMA (BOMBO HEADLAND),06/09/2024,5.6,0.0, ,30.0,15.2,61,16,3.52,18.11
KIAMA (BOMBO HEADLAND),07/09/2024,3.0,0.0, ,19.4,17.7,88,33,3.64,9.51
KIAMA (BOMBO HEADLAND),08/09/2024,3.1,2.0, ,22.0,13.2,87,27,2.75,10.26
KIAMA (BOMBO HEADLAND),09/09/2024,4.9,0.0, ,23.9,13.3,56,27,4.03,18.62
KIAMA (BOMBO HEADLAND),10/09/2024,3.0,0.0, ,21.1,12.8,75,43,1.65,17.62
KIAMA (BOMBO HEADLAND),11/09/2024,3.0,0.0, ,22.1,11.5,83,49,2.39,15.86
KIAMA (BOMBO HEADLAND),12/09/2024,3.3,0.0, ,17.4,14.9,84,58,9.34,11.44
KIAMA (BOMBO HEADLAND),13/09/2024,3.5,1.6, ,16.8,11.8,72,50,4.95,18.45
KIAMA (BOMBO HEADLAND),14/09/2024,4.5,0.0, ,20.6,9.2,82,27,4.98,19.34
KIAMA (BOMBO HEADLAND),15/09/2024,4.1,0.8, ,15.3,8.4,72,46,11.45,17.68
KIAMA (BOMBO HEADLAND),16/09/2024,3.7,0.0, ,16.8,6.8,59,39,4.15,19.46
KIAMA (BOMBO HEADLAND),17/09/2024,4.0,0.0, ,19.1,10.0,41,41,3.34,19.93
KIAMA (BOMBO HEADLAND),18/09/2024,5.2,0.0, ,24.7,11.8,41,41,4.45,20.14
KIAMA (BOMBO HEADLAND),19/09/2024,5.4,0.0, ,25.2,12.2,41,41,4.86,20.28
KIAMA (BOMBO HEADLAND),20/09/2024,5.4,0.0, ,23.7,13.5,41,31,4.20,20.59
KIAMA (BOMBO HEADLAND),21/09/2024,5.4,0.0, ,22.9,14.4,46,22,4.06,20.22
KIAMA (BOMBO HEADLAND),22/09/2024,4.2,0.0, ,24.8,14.7,53,25,2.63,14.81
KIAMA (BOMBO HEADLAND),23/09/2024,5.1,0.0, ,27.5,12.5,73,22,3.00,21.11
KIAMA (BOMBO HEADLAND),24/09/2024,3.2,0.0, ,21.1,15.3,78,66,2.97,17.46
KIAMA (BOMBO HEADLAND),25/09/2024,3.6,0.0, ,24.1,17.3,80,38,3.34,11.01
KIAMA (BOMBO HEADLAND),26/09/2024,2.6,12.6, ,15.0,10.1,88,59,10.55,5.16
KIAMA (BOMBO HEADLAND),27/09/2024,3.5,14.2, ,16.0,10.0,83,55,7.15,19.57
KIAMA (BOMBO HEADLAND),28/09/2024,3.1,3.4, ,19.5,11.2,88,57,2.17,19.41
KIAMA (BOMBO HEADLAND),29/09/2024,3.0,0.6, ,20.2,11.9,89,65,4.10,16.33
KIAMA (BOMBO HEADLAND),30/09/2024,2.8,9.8, ,17.7,15.3,89,62,5.12,12.52
Totals:,,122.4,45, ,,,,,, 
