'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/12/2024, , , , , , , , ,15.71
KIAMA (BOMBO HEADLAND),02/12/2024, , , , , , , , ,30.76
KIAMA (BOMBO HEADLAND),03/12/2024, , , , , , , , ,15.26
KIAMA (BOMBO HEADLAND),04/12/2024, , , ,24.8, , , , ,28.58
KIAMA (BOMBO HEADLAND),05/12/2024,4.5, , ,24.6,18.8,95,76,3.05,25.24
KIAMA (BOMBO HEADLAND),06/12/2024,4.0,0.0, ,24.6,19.6,98,85,2.77,23.42
KIAMA (BOMBO HEADLAND),07/12/2024,4.3,5.8, ,30.1,20.1,98,55,3.60,15.65
KIAMA (BOMBO HEADLAND),08/12/2024,3.9,2.8, ,22.8,20.5,91,28,4.08,9.61
KIAMA (BOMBO HEADLAND),09/12/2024,5.4,0.0, ,23.0,17.6,30,23,3.06,16.58
KIAMA (BOMBO HEADLAND),10/12/2024,7.3,0.0, ,22.1,17.1,31,23,4.78,28.29
KIAMA (BOMBO HEADLAND),11/12/2024,5.8,0.4, ,23.9,17.5,89,24,3.01,27.57
KIAMA (BOMBO HEADLAND),12/12/2024,5.4,0.0, ,24.6,16.3,93,66,1.56,31.88
KIAMA (BOMBO HEADLAND),13/12/2024,5.5,0.0, ,26.6,17.1,89,73,4.33,31.01
KIAMA (BOMBO HEADLAND),14/12/2024,5.4,0.0, ,25.5,20.4,90,71,2.63,29.55
KIAMA (BOMBO HEADLAND),15/12/2024,4.8,0.0, ,24.8,20.0,93,76,4.67,27.21
KIAMA (BOMBO HEADLAND),16/12/2024,5.6,0.0, ,26.5,20.4,91,74,4.18,31.40
KIAMA (BOMBO HEADLAND),17/12/2024,5.9,0.0, ,28.1,21.5,95,65,8.28,29.18
KIAMA (BOMBO HEADLAND),18/12/2024,4.9,1.8, ,20.9,16.4,93,56,10.01,26.85
KIAMA (BOMBO HEADLAND),19/12/2024,5.6,0.0, ,21.4,17.4,74,56,6.19,28.91
KIAMA (BOMBO HEADLAND),20/12/2024,5.8,0.0, ,23.2,17.0,79,55,3.41,31.95
KIAMA (BOMBO HEADLAND),21/12/2024,5.0,0.0, ,24.4,15.4,88,68,4.45,28.53
KIAMA (BOMBO HEADLAND),22/12/2024,4.8,0.0, ,24.8,19.2,83,61,2.99,23.92
KIAMA (BOMBO HEADLAND),23/12/2024,6.5,0.0, ,23.5,19.4,87,29,5.40,28.79
KIAMA (BOMBO HEADLAND),24/12/2024,6.4,0.0, ,23.1,14.3,75,40,5.15,32.06
KIAMA (BOMBO HEADLAND),25/12/2024,5.8,0.0, ,25.6,16.2,82,56,2.31,32.04
KIAMA (BOMBO HEADLAND),26/12/2024,5.8,0.0, ,27.6,17.1,90,70,5.78,32.03
KIAMA (BOMBO HEADLAND),27/12/2024,8.8,0.0, ,35.6,19.7,92,35,7.25,25.95
KIAMA (BOMBO HEADLAND),28/12/2024,5.2,1.0, ,24.9,17.9,87,58,3.94,26.54
KIAMA (BOMBO HEADLAND),29/12/2024,6.4,0.0, ,25.6,16.4,86,35,3.88,30.96
KIAMA (BOMBO HEADLAND),30/12/2024,5.8,0.0, ,25.0,16.9,80,61,3.83,31.27
KIAMA (BOMBO HEADLAND),31/12/2024,4.4,0.0, ,26.3,18.8,86,67,2.96,21.26
Totals:,,149,11.8, ,,,,,, 
