'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/01/2025,5.9,0.0, ,27.0,19.6,89,66,4.27,30.96
KIAMA (BOMBO HEADLAND),02/01/2025,3.3,0.0, ,21.1,18.9,81,62,7.25,7.08
KIAMA (BOMBO HEADLAND),03/01/2025,3.9,0.0, ,24.0,17.1,79,63,4.03,15.51
KIAMA (BOMBO HEADLAND),04/01/2025,5.5,0.0, ,25.4,19.3,80,64,5.88,26.66
KIAMA (BOMBO HEADLAND),05/01/2025,5.3,0.0, ,27.6,19.3,85,44,4.76,18.18
KIAMA (BOMBO HEADLAND),06/01/2025,4.5,1.0, ,27.2,20.7,91,63,4.57,19.19
KIAMA (BOMBO HEADLAND),07/01/2025,2.7,8.6, ,20.7,17.8,94,71,8.89,8.96
KIAMA (BOMBO HEADLAND),08/01/2025,3.2,7.4, ,20.5,17.3,94,67,9.71,12.62
KIAMA (BOMBO HEADLAND),09/01/2025,4.3,5.0, ,23.1,16.7,93,75,5.93,26.07
KIAMA (BOMBO HEADLAND),10/01/2025,3.7,8.6, ,24.9,19.1,95,78,2.41,19.46
KIAMA (BOMBO HEADLAND),11/01/2025,2.6,7.6, ,24.3,19.4,95,85,1.48,12.79
KIAMA (BOMBO HEADLAND),12/01/2025,5.0,11.8, ,25.7,19.8,95,75,4.04,28.15
KIAMA (BOMBO HEADLAND),13/01/2025,4.9,0.0, ,26.5,20.5,93,75,2.98,26.28
KIAMA (BOMBO HEADLAND),14/01/2025,4.6,0.4, ,27.1,20.9,94,78,2.76,24.08
KIAMA (BOMBO HEADLAND),15/01/2025,4.9,0.0, ,27.5,22.4,96,77,3.58,25.99
KIAMA (BOMBO HEADLAND),16/01/2025,3.8,60.6, ,21.8,17.4,98,56,10.56,13.02
KIAMA (BOMBO HEADLAND),17/01/2025,4.4,1.8, ,21.5,17.4,83,58,14.48,10.77
KIAMA (BOMBO HEADLAND),18/01/2025,3.2,9.6, ,22.5,17.4,96,78,10.55,18.20
KIAMA (BOMBO HEADLAND),19/01/2025,5.4,6.2, ,21.5,18.4,75,56,7.75,24.60
KIAMA (BOMBO HEADLAND),20/01/2025,5.3,0.0, ,23.8,15.0,80,51,2.22,30.24
KIAMA (BOMBO HEADLAND),21/01/2025,4.8,0.0, ,24.4,15.4,90,58,3.16,26.02
KIAMA (BOMBO HEADLAND),22/01/2025,5.4,0.6, ,27.5,18.4,88,58,8.22,21.01
KIAMA (BOMBO HEADLAND),23/01/2025, , , ,23.1, ,86,60,5.01,21.55
KIAMA (BOMBO HEADLAND),24/01/2025,4.6,10.6, ,22.5,17.3,92,60,6.84,23.54
KIAMA (BOMBO HEADLAND),25/01/2025,5.0,0.0, ,24.0,16.6,85,63,3.57,27.66
KIAMA (BOMBO HEADLAND),26/01/2025,3.3,0.0, ,24.7,18.2,91,70,2.28,16.17
KIAMA (BOMBO HEADLAND),27/01/2025,5.0,0.0, ,28.3,21.0,92,68,5.58,23.53
KIAMA (BOMBO HEADLAND),28/01/2025,10.5,1.0, ,39.6,22.4,87,28,7.69,24.76
KIAMA (BOMBO HEADLAND),29/01/2025,4.4,0.0, ,22.9,19.5,87,57,4.85,20.02
KIAMA (BOMBO HEADLAND),30/01/2025,2.8,0.0, ,23.1,18.5,86,76,4.24,11.12
KIAMA (BOMBO HEADLAND),31/01/2025,2.7,0.0, ,23.2,20.5,92,75,5.01,10.59
Totals:,,134.9,140.8, ,,,,,, 
