'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KIAMA (BOMBO HEADLAND) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KIAMA (BOMBO HEADLAND),01/04/2025,3.5,1.0, ,20.8,17.1,87,67,9.11,16.69
KIAMA (BOMBO HEADLAND),02/04/2025,3.6,0.0, ,21.7,16.5,85,54,4.53,18.08
KIAMA (BOMBO HEADLAND),03/04/2025,3.7,0.0, ,26.0,14.8,89,43,2.74,17.35
KIAMA (BOMBO HEADLAND),04/04/2025,3.4,0.0, ,23.9,17.0,82,60,3.83,15.48
KIAMA (BOMBO HEADLAND),05/04/2025,4.8,0.0, ,23.9,17.9,77,29,4.77,17.37
KIAMA (BOMBO HEADLAND),06/04/2025,3.4,0.0, ,24.1,14.0,79,28,2.42,12.81
KIAMA (BOMBO HEADLAND),07/04/2025,5.1,0.0, ,25.0,17.2,68,35,5.21,17.57
KIAMA (BOMBO HEADLAND),08/04/2025,2.9,0.0, ,21.0,16.9,79,60,3.90,12.38
KIAMA (BOMBO HEADLAND),09/04/2025,2.7,0.0, ,23.0,16.0,90,65,3.43,13.48
KIAMA (BOMBO HEADLAND),10/04/2025,3.0,0.0, ,24.9,16.9,83,58,3.05,13.05
KIAMA (BOMBO HEADLAND),11/04/2025,4.1,0.0, ,27.4,17.4,85,51,4.28,16.89
KIAMA (BOMBO HEADLAND),12/04/2025,3.3,0.0, ,23.8,19.4,89,68,5.65,15.93
KIAMA (BOMBO HEADLAND),13/04/2025,3.1,0.0, ,25.6,17.4,91,61,3.01,16.50
KIAMA (BOMBO HEADLAND),14/04/2025,4.2,0.0, ,25.7,17.1,87,52,6.41,15.68
KIAMA (BOMBO HEADLAND),15/04/2025,3.5,3.6, ,21.2,17.3,88,52,6.83,12.51
KIAMA (BOMBO HEADLAND),16/04/2025,3.4,0.2, ,20.8,16.7,87,58,6.61,15.62
KIAMA (BOMBO HEADLAND),17/04/2025,3.2,0.6, ,21.7,17.2,88,64,6.66,15.67
KIAMA (BOMBO HEADLAND),18/04/2025,3.0,0.0, ,24.0,15.3,82,57,2.87,15.70
KIAMA (BOMBO HEADLAND),19/04/2025,3.1,0.0, ,27.6,15.0,84,40,1.97,15.47
KIAMA (BOMBO HEADLAND),20/04/2025,3.0,0.0, ,27.0,16.8,72,46,1.84,15.31
KIAMA (BOMBO HEADLAND),21/04/2025,3.6,0.2, ,24.6,17.9,77,50,4.48,12.18
KIAMA (BOMBO HEADLAND),22/04/2025,3.3,11.0, ,22.9,16.4,91,62,10.06,8.84
KIAMA (BOMBO HEADLAND),23/04/2025,2.6,26.0, ,24.1,18.2,90,68,5.49,8.96
KIAMA (BOMBO HEADLAND),24/04/2025,2.5,2.8, ,24.5,16.8,92,62,2.58,13.44
KIAMA (BOMBO HEADLAND),25/04/2025,2.5,0.4, ,23.7,16.4,94,65,3.44,13.73
KIAMA (BOMBO HEADLAND),26/04/2025,2.1,0.2, ,24.6,17.0,96,67,3.32,9.24
KIAMA (BOMBO HEADLAND),27/04/2025,2.3,8.2, ,21.8,17.6,95,65,6.32,5.81
KIAMA (BOMBO HEADLAND),28/04/2025,2.5,22.2, ,21.9,17.6,91,73,7.07,12.13
KIAMA (BOMBO HEADLAND),29/04/2025,2.0,2.8, ,21.3,16.1,91,73,4.09,9.66
KIAMA (BOMBO HEADLAND),30/04/2025,1.9,23.4, ,17.7,14.7,92,72,8.49,5.44
Totals:,,95.3,102.6, ,,,,,, 
