'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for LISMORE AIRPORT New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
LISMORE AIRPORT,01/05/2025,2.8,1.8, ,21.9,11.8,97,54,3.59,14.94
LISMORE AIRPORT,02/05/2025,2.2,0.8, ,20.8,12.3,94,67,3.91,11.62
LISMORE AIRPORT,03/05/2025,2.2,10.0, ,22.4,13.2,96,72,3.10,13.90
LISMORE AIRPORT,04/05/2025,2.1,7.8, ,23.0,11.7,98,73,2.11,13.59
LISMORE AIRPORT,05/05/2025,1.8,13.2, ,23.0,15.1,98,79,1.70,11.64
LISMORE AIRPORT,06/05/2025,2.3,11.0, ,24.6,15.2,98,66,1.94,13.78
LISMORE AIRPORT,07/05/2025,2.6,0.4, ,24.5,13.3,99,58,2.34,15.34
LISMORE AIRPORT,08/05/2025,3.2,0.2, ,25.5,10.9,98,46,3.19,15.55
LISMORE AIRPORT,09/05/2025,2.2,13.4, ,21.2,16.3,97,68,4.31,11.16
LISMORE AIRPORT,10/05/2025,2.0,10.8, ,21.4,13.6,97,70,2.74,12.15
LISMORE AIRPORT,11/05/2025,2.3,14.8, ,23.4,12.6,98,57,1.96,14.71
LISMORE AIRPORT,12/05/2025,2.0,10.2, ,23.1,15.8,98,68,2.19,11.35
LISMORE AIRPORT,13/05/2025,1.9,10.4, ,23.4,16.3,98,75,2.64,11.47
LISMORE AIRPORT,14/05/2025,1.7,2.6, ,22.7,16.8,98,74,1.96,9.51
LISMORE AIRPORT,15/05/2025,1.4,11.4, ,20.1,16.4,97,85,4.34,8.14
LISMORE AIRPORT,16/05/2025,2.4,3.8, ,25.9,15.4,98,61,2.52,12.80
LISMORE AIRPORT,17/05/2025,1.8,35.0, ,23.8,16.5,98,67,1.58,10.63
LISMORE AIRPORT,18/05/2025,1.5,0.4, ,21.6,14.8,98,72,2.05,8.11
LISMORE AIRPORT,19/05/2025,1.7,7.8, ,19.8,14.6,97,68,2.57,9.02
LISMORE AIRPORT,20/05/2025,2.2,0.0, ,23.5,11.3,98,64,2.18,14.39
LISMORE AIRPORT,21/05/2025,1.9,0.2, ,23.8,13.3,98,70,2.04,11.58
LISMORE AIRPORT,22/05/2025,2.5,0.4, ,24.7,12.5,99,49,2.38,14.28
LISMORE AIRPORT,23/05/2025,2.7,0.0, ,25.5,12.8,97,51,2.95,14.20
LISMORE AIRPORT,24/05/2025,2.9,0.0, ,26.4,12.5,96,47,3.03,13.63
LISMORE AIRPORT,25/05/2025,2.0,0.0, ,25.6,10.6,98,60,1.99,10.86
LISMORE AIRPORT,26/05/2025,2.1,0.0, ,25.9,12.8,98,69,2.29,12.32
LISMORE AIRPORT,27/05/2025, ,0.0, , ,13.3,99,46,4.48,11.46
LISMORE AIRPORT,28/05/2025, , , , , ,85,32,3.14,13.90
LISMORE AIRPORT,29/05/2025, , , ,20.0, ,95,48,2.02,11.31
LISMORE AIRPORT,30/05/2025,1.3,0.0, ,18.7,11.3,97,75,2.66,7.31
LISMORE AIRPORT,31/05/2025,1.3,18.8, ,19.9,15.3,97,82,1.79,8.19
Totals:,,59,185.2, ,,,,,, 
