'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MAITLAND AIRPORT New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MAITLAND AIRPORT,01/09/2024,5.2,0.0, ,26.8,11.9,73,28,4.69,18.17
MAITLAND AIRPORT,02/09/2024,6.2,0.0, ,25.7,11.9,75,20,6.69,18.30
MAITLAND AIRPORT,03/09/2024,3.4,0.0, ,19.3,7.4,96,27,3.11,18.47
MAITLAND AIRPORT,04/09/2024,2.8,0.0, ,22.9,1.9,100,31,1.24,18.56
MAITLAND AIRPORT,05/09/2024,4.1,0.0, ,25.8,4.4,100,33,3.36,18.73
MAITLAND AIRPORT,06/09/2024,4.6,0.0, ,26.8,8.3,98,34,4.13,18.88
MAITLAND AIRPORT,07/09/2024,4.9,0.0, ,30.0,15.1,100,31,3.72,18.66
MAITLAND AIRPORT,08/09/2024,2.4,0.0, ,21.8,13.3,100,49,2.34,9.82
MAITLAND AIRPORT,09/09/2024,4.0,0.0, ,22.4,10.1,85,35,4.14,16.89
MAITLAND AIRPORT,10/09/2024,3.2,0.0, ,23.1,6.8,100,43,2.00,19.41
MAITLAND AIRPORT,11/09/2024,3.6,0.0, ,27.1,6.1,100,43,2.08,19.09
MAITLAND AIRPORT,12/09/2024,2.7,0.8, ,22.2,13.5,100,61,4.45,11.79
MAITLAND AIRPORT,13/09/2024,2.4,13.8, ,18.6,10.9,100,62,2.61,14.51
MAITLAND AIRPORT,14/09/2024,3.3,0.0, ,22.4,5.9,100,41,2.16,20.24
MAITLAND AIRPORT,15/09/2024,3.5,0.0, ,18.2,9.6,92,36,4.59,16.43
MAITLAND AIRPORT,16/09/2024,4.3,0.0, ,22.0,5.9,95,26,3.97,20.67
MAITLAND AIRPORT,17/09/2024,3.4,0.0, ,21.4,6.3,100,35,2.15,20.80
MAITLAND AIRPORT,18/09/2024,5.8,0.0, ,24.9,7.1,88,18,5.33,21.00
MAITLAND AIRPORT,19/09/2024,6.3,0.0, ,27.0,9.5,76,13,4.80,21.14
MAITLAND AIRPORT,20/09/2024,5.8,0.0, ,24.7,9.2,51,23,4.71,21.36
MAITLAND AIRPORT,21/09/2024,5.4,0.0, ,24.3,8.9,70,26,4.58,21.52
MAITLAND AIRPORT,22/09/2024,5.3,0.0, ,25.1,9.6,69,26,4.08,21.65
MAITLAND AIRPORT,23/09/2024,5.9,0.0, ,27.4,11.0,70,24,4.29,21.88
MAITLAND AIRPORT,24/09/2024,3.1,0.0, ,25.5,7.6,100,46,1.30,17.64
MAITLAND AIRPORT,25/09/2024,3.5,0.0, ,29.1,12.7,100,31,1.68,14.44
MAITLAND AIRPORT,26/09/2024,1.3,15.2, ,16.9,13.9,100,79,3.78,5.49
MAITLAND AIRPORT,27/09/2024,3.0,22.4, ,18.7,11.9,100,53,5.44,14.30
MAITLAND AIRPORT,28/09/2024,3.0,1.6, ,20.5,8.8,100,59,3.90,17.31
MAITLAND AIRPORT,29/09/2024,2.1,1.8, ,21.8,13.2,100,84,2.80,13.15
MAITLAND AIRPORT,30/09/2024,3.0,8.6, ,22.7,14.5,100,66,2.71,17.26
Totals:,,117.5,64.2, ,,,,,, 
