'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MAITLAND AIRPORT New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MAITLAND AIRPORT,01/10/2024,3.6,0.0, ,23.0,7.9,100,45,1.46,23.24
MAITLAND AIRPORT,02/10/2024, ,0.0, , ,12.3,100,50,2.37,12.67
MAITLAND AIRPORT,03/10/2024, , , ,22.6, ,99,46,2.26,21.30
MAITLAND AIRPORT,04/10/2024,3.7,0.0, ,25.7,6.5,99,39,1.39,21.89
MAITLAND AIRPORT,05/10/2024,6.0,0.0, ,27.5,14.0,90,30,5.07,23.45
MAITLAND AIRPORT,06/10/2024,6.6,0.0, ,28.5,11.5,82,26,5.15,24.22
MAITLAND AIRPORT,07/10/2024,5.7,0.0, ,29.6,8.8,94,22,3.06,24.28
MAITLAND AIRPORT,08/10/2024,2.2,0.0, ,20.6,12.0,93,71,3.89,9.18
MAITLAND AIRPORT,09/10/2024,2.3,4.6, ,18.6,12.5,97,59,3.04,9.71
MAITLAND AIRPORT,10/10/2024,4.2,0.6, ,24.8,10.9,97,42,1.92,24.02
MAITLAND AIRPORT,11/10/2024,4.4,0.0, ,26.8,10.4,99,45,1.97,24.20
MAITLAND AIRPORT,12/10/2024,2.5,0.0, ,19.2,13.7,98,57,4.97,8.18
MAITLAND AIRPORT,13/10/2024,4.0,0.2, ,22.7,12.5,97,47,2.82,21.79
MAITLAND AIRPORT,14/10/2024,2.7,0.0, ,21.5,8.7,98,65,3.23,13.44
MAITLAND AIRPORT,15/10/2024,2.2,16.8, ,19.4,13.8,97,63,2.97,9.53
MAITLAND AIRPORT,16/10/2024,2.1,1.6, ,19.0,11.1,99,58,1.08,10.69
MAITLAND AIRPORT,17/10/2024, ,2.0, , ,8.5,100,55,1.79,24.59
MAITLAND AIRPORT,18/10/2024, , , ,26.0, ,97,66,2.29,12.33
MAITLAND AIRPORT,19/10/2024,4.1,8.4, ,26.5,17.9,99,55,3.80,18.45
MAITLAND AIRPORT,20/10/2024,3.8,0.4, ,23.2,15.0,99,58,2.79,20.73
MAITLAND AIRPORT,21/10/2024,3.7,0.0, ,22.7,15.6,89,50,3.86,15.52
MAITLAND AIRPORT,22/10/2024,4.6,0.0, ,24.8,11.4,98,39,2.58,24.46
MAITLAND AIRPORT,23/10/2024,4.8,0.0, ,30.4,9.4,100,32,1.56,24.13
MAITLAND AIRPORT,24/10/2024,4.6,0.0, ,25.3,15.6,95,46,3.43,21.36
MAITLAND AIRPORT,25/10/2024,5.4,2.8, ,24.0,12.5,96,27,3.65,26.50
MAITLAND AIRPORT,26/10/2024,4.4,0.0, ,21.1,11.8,91,43,2.76,25.62
MAITLAND AIRPORT,27/10/2024,4.8,0.0, ,26.8,7.8,98,29,2.14,24.44
MAITLAND AIRPORT,28/10/2024,6.6,0.0, ,31.0,10.5,98,21,3.86,24.23
MAITLAND AIRPORT,29/10/2024,4.6,0.4, ,24.8,15.7,86,51,3.03,22.38
MAITLAND AIRPORT,30/10/2024,5.5,0.0, ,29.3,10.8,99,36,2.17,27.93
MAITLAND AIRPORT,31/10/2024,6.0,0.0, ,30.9,12.8,99,22,2.67,25.66
Totals:,,115.1,37.8, ,,,,,, 
