'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MAITLAND AIRPORT New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MAITLAND AIRPORT,01/02/2025,4.0,0.2, ,27.4,21.1,96,56,3.71,15.26
MAITLAND AIRPORT,02/02/2025,5.6,0.0, ,29.2,16.9,98,48,2.88,27.34
MAITLAND AIRPORT,03/02/2025,5.6,0.0, ,30.6,17.3,99,53,3.79,25.12
MAITLAND AIRPORT,04/02/2025, ,0.0, , ,19.5,96,51,2.25,23.38
MAITLAND AIRPORT,05/02/2025,5.0, , ,34.0,19.6,99,41,2.89,17.04
MAITLAND AIRPORT,06/02/2025, ,3.0, , ,20.8,94,61,3.20,22.31
MAITLAND AIRPORT,07/02/2025, , , ,31.8, ,99,41,2.87,28.70
MAITLAND AIRPORT,08/02/2025,5.8,0.0, ,32.1,16.3,99,40,2.48,25.92
MAITLAND AIRPORT,09/02/2025,4.6,0.4, ,30.4,19.6,98,55,2.42,20.12
MAITLAND AIRPORT,10/02/2025,2.7,0.4, ,27.8,19.9,98,62,2.21,9.59
MAITLAND AIRPORT,11/02/2025, ,5.2, , ,15.7,98,68,2.15,7.61
MAITLAND AIRPORT,12/02/2025, , , , , ,99,58,2.81,18.10
MAITLAND AIRPORT,13/02/2025, , , , , ,97,50,4.26,26.70
MAITLAND AIRPORT,14/02/2025, , , ,31.6, ,98,50,1.80,19.83
MAITLAND AIRPORT,15/02/2025,4.6,3.4, ,28.2,21.4,97,57,2.88,20.95
MAITLAND AIRPORT,16/02/2025,5.9,0.2, ,24.9,14.8,82,22,3.75,26.37
MAITLAND AIRPORT,17/02/2025,4.9,0.0, ,25.1,11.0,92,37,2.45,25.98
MAITLAND AIRPORT,18/02/2025,5.2,0.0, ,28.5,9.5,99,28,1.90,27.06
MAITLAND AIRPORT,19/02/2025,5.0,0.0, ,28.2,14.1,99,54,3.39,24.98
MAITLAND AIRPORT,20/02/2025,2.6,0.0, ,24.6,15.8,97,66,3.64,9.20
MAITLAND AIRPORT,21/02/2025,3.1,0.0, ,25.3,19.6,94,64,3.02,12.51
MAITLAND AIRPORT,22/02/2025,5.1,0.0, ,29.3,19.2,95,51,3.85,22.17
MAITLAND AIRPORT,23/02/2025,5.5,0.0, ,31.7,13.5,99,40,2.24,26.21
MAITLAND AIRPORT,24/02/2025,6.9,0.0, ,36.2,15.9,99,28,3.46,24.30
MAITLAND AIRPORT,25/02/2025,2.6,0.0, ,26.7,21.7,91,71,4.16,8.06
MAITLAND AIRPORT,26/02/2025,5.0,2.6, ,31.0,20.2,98,51,1.90,23.75
MAITLAND AIRPORT,27/02/2025,5.5,0.2, ,33.2,17.8,99,47,2.83,23.92
MAITLAND AIRPORT,28/02/2025,6.2,0.0, ,37.4,17.2,99,29,2.76,21.41
Totals:,,101.4,15.6, ,,,,,, 
