'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MAITLAND AIRPORT New South Wales for June 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MAITLAND AIRPORT,01/06/2025,1.3,0.0, ,20.1,9.8,99,66,1.41,10.48
MAITLAND AIRPORT,02/06/2025, ,0.2, , ,10.9,99,72,0.86,8.60
MAITLAND AIRPORT,03/06/2025,1.7, , ,19.7,9.6,100,51,2.66,9.35
MAITLAND AIRPORT,04/06/2025,1.6,0.0, ,14.7,9.4,88,56,3.54,5.94
MAITLAND AIRPORT,05/06/2025,1.6,1.6, ,17.9,9.1,98,53,2.47,9.52
MAITLAND AIRPORT,06/06/2025,1.2,0.2, ,15.6,5.0,98,60,1.89,8.91
MAITLAND AIRPORT,07/06/2025,2.4,0.0, ,19.0,7.0,97,46,4.80,11.63
MAITLAND AIRPORT,08/06/2025,3.0,0.0, ,16.1,9.0,74,41,6.42,11.55
MAITLAND AIRPORT,09/06/2025,2.5,0.0, ,13.2,6.5,75,53,7.93,11.23
MAITLAND AIRPORT,10/06/2025,2.7,0.0, ,16.6,10.0,78,54,7.29,11.56
MAITLAND AIRPORT,11/06/2025,2.5,0.0, ,17.6,8.6,84,43,4.55,11.32
MAITLAND AIRPORT,12/06/2025,1.8,0.0, ,16.8,5.4,89,50,3.34,11.47
MAITLAND AIRPORT,13/06/2025,1.6,0.0, ,15.0,7.6,82,60,3.48,6.25
MAITLAND AIRPORT,14/06/2025,1.5,0.0, ,18.5,7.7,99,58,2.40,9.72
MAITLAND AIRPORT,15/06/2025,1.5,0.0, ,18.2,5.4,99,50,1.92,11.46
MAITLAND AIRPORT,16/06/2025,1.4,0.0, ,17.8,3.3,99,44,1.58,11.43
MAITLAND AIRPORT,17/06/2025,1.5,0.0, ,16.9,2.9,99,49,2.38,10.86
MAITLAND AIRPORT,18/06/2025,1.4,0.2, ,16.0,4.6,98,45,2.04,11.35
MAITLAND AIRPORT,19/06/2025,1.1,0.0, ,17.2,0.5,99,53,1.08,11.31
MAITLAND AIRPORT,20/06/2025,1.1,0.0, ,18.3,1.5,99,45,0.88,11.46
MAITLAND AIRPORT,21/06/2025,1.1,0.2, ,19.9,1.9,99,51,0.93,11.46
MAITLAND AIRPORT,22/06/2025,1.1,0.0, ,20.8,2.0,100,53,0.65,11.38
MAITLAND AIRPORT,23/06/2025, ,0.0, , ,4.2,100,50,0.85,11.46
MAITLAND AIRPORT,24/06/2025,1.4, , ,20.7,5.2,99,62,2.19,7.72
MAITLAND AIRPORT,25/06/2025,3.3,2.6, ,17.5,11.5,81,39,7.46,11.38
MAITLAND AIRPORT,26/06/2025,1.9,0.0, ,15.6,5.6,90,44,3.45,11.41
MAITLAND AIRPORT,27/06/2025,1.6,0.0, ,15.4,3.4,88,60,3.64,8.82
MAITLAND AIRPORT,28/06/2025,1.1,1.4, ,16.4,7.8,99,69,1.79,8.05
MAITLAND AIRPORT,29/06/2025,1.2,0.4, ,18.3,5.3,99,63,1.46,9.73
MAITLAND AIRPORT,30/06/2025,1.0,0.2, ,15.8,3.9,100,71,2.04,8.38
Totals:,,47.1,7, ,,,,,, 
