'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MAITLAND AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MAITLAND AIRPORT,01/08/2025,1.3,0.2, ,15.0,8.6,96,67,2.58,7.96
MAITLAND AIRPORT,02/08/2025,1.0,4.2, ,16.1,8.7,99,84,4.58,4.60
MAITLAND AIRPORT,03/08/2025,1.3,80.8, ,18.5,11.8,98,84,5.57,8.43
MAITLAND AIRPORT,04/08/2025,1.4,19.0, ,19.9,8.9,99,68,1.40,9.72
MAITLAND AIRPORT,05/08/2025,2.1,0.8, ,20.4,9.4,99,56,2.67,13.52
MAITLAND AIRPORT,06/08/2025,2.2,0.2, ,19.3,7.8,98,36,1.95,14.40
MAITLAND AIRPORT,07/08/2025,1.0,0.2, ,13.9,5.7,98,84,2.82,6.48
MAITLAND AIRPORT,08/08/2025,1.3,7.0, ,17.1,7.9,99,63,1.17,9.27
MAITLAND AIRPORT,09/08/2025,1.8,3.6, ,18.8,9.0,99,63,2.26,12.04
MAITLAND AIRPORT,10/08/2025,1.5,3.6, ,17.5,7.8,99,70,2.14,11.17
MAITLAND AIRPORT,11/08/2025,1.5,1.8, ,17.4,6.4,99,63,1.48,10.94
MAITLAND AIRPORT,12/08/2025,2.0,0.2, ,18.4,4.9,100,49,1.78,15.15
MAITLAND AIRPORT,13/08/2025,1.9,0.2, ,19.5,3.6,99,41,1.07,15.08
MAITLAND AIRPORT,14/08/2025,1.4,1.2, ,16.3,8.2,98,71,2.70,8.84
MAITLAND AIRPORT,15/08/2025,2.0,0.8, ,19.0,8.0,98,58,2.09,14.03
MAITLAND AIRPORT,16/08/2025,3.0,0.0, ,20.5,6.9,99,40,3.95,14.99
MAITLAND AIRPORT,17/08/2025,2.5,0.0, ,16.5,5.7,90,39,2.91,15.81
MAITLAND AIRPORT,18/08/2025,2.0,0.0, ,16.2,4.1,97,54,3.15,12.11
MAITLAND AIRPORT,19/08/2025,1.6,4.6, ,17.2,5.2,99,63,1.33,11.52
MAITLAND AIRPORT,20/08/2025,1.2,3.4, ,16.1,5.7,99,75,1.76,7.28
MAITLAND AIRPORT,21/08/2025,1.0,14.0, ,14.5,11.0,99,86,2.35,6.17
MAITLAND AIRPORT,22/08/2025,1.5,23.4, ,18.0,9.6,99,77,2.01,10.41
MAITLAND AIRPORT,23/08/2025,2.9,2.6, ,21.4,11.5,97,47,3.52,15.67
MAITLAND AIRPORT,24/08/2025,2.7,0.2, ,20.0,9.7,96,40,2.46,16.38
MAITLAND AIRPORT,25/08/2025,2.6,0.0, ,21.7,11.2,98,55,2.87,15.36
MAITLAND AIRPORT,26/08/2025,2.5,0.0, ,24.5,8.3,99,50,1.13,16.48
MAITLAND AIRPORT,27/08/2025,3.6,0.2, ,24.4,10.0,99,44,5.03,13.18
MAITLAND AIRPORT,28/08/2025,4.4,0.0, ,19.2,11.4,69,35,6.48,17.33
MAITLAND AIRPORT,29/08/2025,4.7,0.0, ,20.1,10.8,58,31,5.91,17.26
MAITLAND AIRPORT,30/08/2025,4.5,0.0, ,19.5,8.8,73,34,6.88,17.60
MAITLAND AIRPORT,31/08/2025,3.2,0.0, ,19.2,5.8,89,33,3.20,17.86
Totals:,,67.6,172.2, ,,,,,, 
