'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/12/2024,5.0,1.8, ,32.0,19.1,97,46,2.06,20.73
MANGROVE MOUNTAIN,02/12/2024,7.0,1.0, ,35.7,15.3,96,27,2.17,29.98
MANGROVE MOUNTAIN,03/12/2024,4.3,0.0, ,32.1,19.5,89,41,2.65,13.22
MANGROVE MOUNTAIN,04/12/2024,4.7,0.0, ,27.1,20.5,96,62,2.38,23.21
MANGROVE MOUNTAIN,05/12/2024,3.6,1.8, ,27.6,18.1,97,67,1.69,17.03
MANGROVE MOUNTAIN,06/12/2024,5.3,0.2, ,34.6,20.0,96,49,1.26,23.54
MANGROVE MOUNTAIN,07/12/2024,3.5,1.8, ,32.8,22.2,94,61,1.13,13.96
MANGROVE MOUNTAIN,08/12/2024,5.6,1.4, ,34.3,19.4,97,43,2.34,22.43
MANGROVE MOUNTAIN,09/12/2024,1.6,0.8, ,21.4,17.1,96,88,1.62,6.90
MANGROVE MOUNTAIN,10/12/2024,5.1,0.4, ,26.9,18.1,96,57,1.99,26.27
MANGROVE MOUNTAIN,11/12/2024,5.3,0.0, ,27.0,15.4,93,51,1.87,28.09
MANGROVE MOUNTAIN,12/12/2024,6.7,0.0, ,33.4,12.8,97,23,1.76,31.80
MANGROVE MOUNTAIN,13/12/2024,6.9,0.0, ,36.5,15.3,95,23,1.86,29.22
MANGROVE MOUNTAIN,14/12/2024,5.9,0.0, ,31.8,19.5,95,50,1.77,27.88
MANGROVE MOUNTAIN,15/12/2024,5.7,0.0, ,31.0,17.7,97,58,1.87,27.89
MANGROVE MOUNTAIN,16/12/2024,6.4,0.0, ,31.5,20.8,95,57,2.26,30.43
MANGROVE MOUNTAIN,17/12/2024,8.4,0.0, ,40.1,16.1,97,19,2.55,31.81
MANGROVE MOUNTAIN,18/12/2024,2.7,8.8, ,20.6,15.5,97,53,3.21,9.57
MANGROVE MOUNTAIN,19/12/2024,5.1,2.8, ,23.8,13.1,94,43,2.34,27.90
MANGROVE MOUNTAIN,20/12/2024,5.6,0.0, ,26.8,10.7,97,40,1.55,31.14
MANGROVE MOUNTAIN,21/12/2024,7.4,0.0, ,36.2,12.8,97,17,2.09,31.62
MANGROVE MOUNTAIN,22/12/2024,4.8,0.0, ,28.7,17.2,93,54,2.01,22.32
MANGROVE MOUNTAIN,23/12/2024,7.6,0.0, ,31.2,18.7,97,8,3.00,31.52
MANGROVE MOUNTAIN,24/12/2024,5.9,0.0, ,26.4,10.1,94,26,1.93,31.97
MANGROVE MOUNTAIN,25/12/2024,6.4,0.0, ,30.5,11.2,96,33,2.05,31.94
MANGROVE MOUNTAIN,26/12/2024,6.7,0.0, ,31.8,14.7,97,42,2.73,31.84
MANGROVE MOUNTAIN,27/12/2024,7.1,0.8, ,37.1,20.1,91,31,3.59,22.72
MANGROVE MOUNTAIN,28/12/2024,5.5,1.0, ,29.3,17.2,88,38,2.17,25.04
MANGROVE MOUNTAIN,29/12/2024,6.7,0.0, ,31.8,12.3,96,22,2.05,31.85
MANGROVE MOUNTAIN,30/12/2024,5.1,0.0, ,27.5,17.9,93,55,2.59,24.34
MANGROVE MOUNTAIN,31/12/2024,4.2,0.0, ,28.0,15.1,97,56,1.88,19.59
Totals:,,171.8,22.6, ,,,,,, 
