'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/01/2025,6.8,0.0, ,33.5,17.1,96,32,2.26,30.42
MANGROVE MOUNTAIN,02/01/2025,2.8,0.0, ,23.8,17.4,95,63,3.06,10.19
MANGROVE MOUNTAIN,03/01/2025,4.2,1.2, ,25.9,14.6,95,60,2.11,21.21
MANGROVE MOUNTAIN,04/01/2025,6.5,0.0, ,30.7,16.1,85,40,2.49,30.66
MANGROVE MOUNTAIN,05/01/2025,6.6,0.0, ,37.2,15.8,92,25,1.56,28.46
MANGROVE MOUNTAIN,06/01/2025,7.3,0.0, ,39.7,17.8,92,22,2.45,25.17
MANGROVE MOUNTAIN,07/01/2025,1.4,5.8, ,20.4,19.1,97,89,2.11,5.51
MANGROVE MOUNTAIN,08/01/2025,1.0,16.2, ,16.7,16.1,97,94,2.34,4.02
MANGROVE MOUNTAIN,09/01/2025,2.3,37.4, ,21.2,14.9,98,90,2.08,13.17
MANGROVE MOUNTAIN,10/01/2025,3.6,5.4, ,24.6,16.4,98,75,2.04,19.50
MANGROVE MOUNTAIN,11/01/2025,4.9,14.6, ,26.9,18.1,96,62,2.38,24.81
MANGROVE MOUNTAIN,12/01/2025,4.6,0.2, ,29.1,16.3,96,54,2.04,21.13
MANGROVE MOUNTAIN,13/01/2025,5.7,1.4, ,31.8,17.7,97,45,1.55,27.34
MANGROVE MOUNTAIN,14/01/2025,5.6,0.2, ,32.9,18.8,96,47,1.36,26.37
MANGROVE MOUNTAIN,15/01/2025,6.6,0.4, ,35.5,20.0,97,41,2.29,27.47
MANGROVE MOUNTAIN,16/01/2025,1.8,25.6, ,19.7,18.2,97,74,2.39,6.69
MANGROVE MOUNTAIN,17/01/2025, ,25.2, ,17.9,14.8, , , ,6.71
MANGROVE MOUNTAIN,18/01/2025, ,65.6, ,21.9,14.1, , , ,11.35
MANGROVE MOUNTAIN,19/01/2025,3.2,35.2, ,22.2,14.6,97,57,2.45,14.89
MANGROVE MOUNTAIN,20/01/2025,5.0,0.2, ,25.4,11.5,97,46,1.30,29.25
MANGROVE MOUNTAIN,21/01/2025,5.6,0.0, ,29.4,12.0,97,45,1.51,29.87
MANGROVE MOUNTAIN,22/01/2025,5.4,0.0, ,36.7,16.5,97,34,2.59,16.76
MANGROVE MOUNTAIN,23/01/2025, , , ,25.2, ,92,60,2.24,17.54
MANGROVE MOUNTAIN,24/01/2025,4.5,0.2, ,25.4,15.5,96,61,2.01,24.20
MANGROVE MOUNTAIN,25/01/2025,4.6,0.0, ,26.7,14.3,96,55,1.60,24.54
MANGROVE MOUNTAIN,26/01/2025,5.7,0.0, ,29.3,15.7,97,48,2.47,28.34
MANGROVE MOUNTAIN,27/01/2025,6.5,0.0, ,36.0,20.1,95,41,2.39,26.84
MANGROVE MOUNTAIN,28/01/2025,7.7,8.2, ,40.7,20.4,100,26,3.07,25.07
MANGROVE MOUNTAIN,29/01/2025, , , ,22.7, ,100,77,1.12,9.73
MANGROVE MOUNTAIN,30/01/2025,1.3,2.4, ,21.4,17.3,98,94,1.49,5.42
MANGROVE MOUNTAIN,31/01/2025,1.8,3.2, ,22.4,18.2,98,80,2.67,7.30
Totals:,,123,248.6, ,,,,,, 
