'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/02/2025,3.3,2.6, ,25.5,18.7,98,66,2.01,15.33
MANGROVE MOUNTAIN,02/02/2025,4.7,0.0, ,27.3,14.9,98,53,1.36,24.97
MANGROVE MOUNTAIN,03/02/2025,5.2,0.0, ,28.8,16.9,97,56,2.41,25.94
MANGROVE MOUNTAIN,04/02/2025,5.5,0.0, ,32.2,17.7,97,48,1.32,27.22
MANGROVE MOUNTAIN,05/02/2025,4.3,0.0, ,32.6,19.4,93,44,1.77,16.83
MANGROVE MOUNTAIN,06/02/2025,5.1,0.4, ,28.7,17.3,96,57,1.92,26.47
MANGROVE MOUNTAIN,07/02/2025,6.0,0.0, ,31.7,17.0,97,42,2.28,28.57
MANGROVE MOUNTAIN,08/02/2025,4.5,0.0, ,30.5,16.2,96,49,1.70,20.86
MANGROVE MOUNTAIN,09/02/2025,4.1,2.2, ,29.3,18.0,96,57,1.19,20.20
MANGROVE MOUNTAIN,10/02/2025,2.4,0.6, ,24.8,19.3,97,75,1.39,10.93
MANGROVE MOUNTAIN,11/02/2025,3.0,5.6, ,25.0,14.9,97,70,1.03,16.00
MANGROVE MOUNTAIN,12/02/2025,4.0,0.2, ,27.3,16.2,98,59,1.49,20.41
MANGROVE MOUNTAIN,13/02/2025,4.9,0.2, ,29.3,17.8,97,62,2.70,24.03
MANGROVE MOUNTAIN,14/02/2025,3.7,0.0, ,31.6,18.4,96,56,1.41,16.07
MANGROVE MOUNTAIN,15/02/2025,5.0,0.6, ,29.8,19.4,97,43,1.61,23.79
MANGROVE MOUNTAIN,16/02/2025,4.8,0.2, ,23.8,11.7,96,25,1.81,26.99
MANGROVE MOUNTAIN,17/02/2025,4.5,0.0, ,24.2,10.5,91,37,1.56,26.40
MANGROVE MOUNTAIN,18/02/2025,4.9,0.0, ,28.5,9.0,97,24,1.44,26.16
MANGROVE MOUNTAIN,19/02/2025,4.3,0.0, ,27.1,13.8,96,53,1.78,22.46
MANGROVE MOUNTAIN,20/02/2025,1.9,0.0, ,20.1,15.4,97,80,2.10,8.95
MANGROVE MOUNTAIN,21/02/2025,2.5,3.8, ,23.0,15.4,97,73,1.75,12.17
MANGROVE MOUNTAIN,22/02/2025,4.0,11.0, ,26.9,18.2,97,64,2.33,20.50
MANGROVE MOUNTAIN,23/02/2025,5.2,0.2, ,30.8,14.0,96,41,1.96,25.47
MANGROVE MOUNTAIN,24/02/2025,5.6,0.0, ,34.1,17.8,94,38,2.13,24.32
MANGROVE MOUNTAIN,25/02/2025,1.4,0.2, ,20.0,19.2,97,87,2.26,5.61
MANGROVE MOUNTAIN,26/02/2025,4.0,1.0, ,28.7,17.7,97,61,1.57,20.06
MANGROVE MOUNTAIN,27/02/2025,4.9,0.0, ,31.7,18.2,97,51,1.76,23.80
MANGROVE MOUNTAIN,28/02/2025,5.1,0.0, ,35.5,17.1,97,40,1.53,22.53
Totals:,,118.8,28.8, ,,,,,, 
