'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MANGROVE MOUNTAIN New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MANGROVE MOUNTAIN,01/03/2025,4.8,0.0, ,33.0,20.7,93,52,1.55,22.15
MANGROVE MOUNTAIN,02/03/2025,3.3,0.0, ,29.3,17.4,97,66,1.75,15.13
MANGROVE MOUNTAIN,03/03/2025,2.1,0.6, ,23.7,18.3,97,71,2.10,8.64
MANGROVE MOUNTAIN,04/03/2025,3.5,12.4, ,25.5,17.1,98,64,2.57,17.39
MANGROVE MOUNTAIN,05/03/2025,3.4,8.0, ,25.6,17.3,98,62,2.09,17.27
MANGROVE MOUNTAIN,06/03/2025,3.0,4.8, ,25.1,18.2,97,64,2.60,14.03
MANGROVE MOUNTAIN,07/03/2025,2.0,2.0, ,22.1,16.6,97,78,2.04,9.74
MANGROVE MOUNTAIN,08/03/2025,1.8,13.6, ,23.3,15.6,98,79,2.06,8.30
MANGROVE MOUNTAIN,09/03/2025,2.9,13.6, ,25.3,16.9,98,68,2.08,14.45
MANGROVE MOUNTAIN,10/03/2025,2.0,0.4, ,21.9,18.3,96,76,1.68,9.02
MANGROVE MOUNTAIN,11/03/2025,2.0,2.6, ,21.6,19.0,97,82,2.00,10.34
MANGROVE MOUNTAIN,12/03/2025,2.1,6.0, ,25.0,17.8,98,75,0.91,10.44
MANGROVE MOUNTAIN,13/03/2025,4.2,0.8, ,30.7,15.6,98,55,0.97,22.64
MANGROVE MOUNTAIN,14/03/2025,4.6,0.2, ,34.2,16.4,98,38,1.13,22.63
MANGROVE MOUNTAIN,15/03/2025,5.1,0.0, ,35.2,19.7,96,36,2.07,20.86
MANGROVE MOUNTAIN,16/03/2025,5.4,0.0, ,35.3,21.5,59,33,2.37,18.57
MANGROVE MOUNTAIN,17/03/2025,4.1,0.0, ,21.2,15.9,89,35,2.93,21.33
MANGROVE MOUNTAIN,18/03/2025,2.7,0.0, ,23.4,9.3,96,55,1.61,13.97
MANGROVE MOUNTAIN,19/03/2025,3.9,0.0, ,28.5,15.7,90,56,1.75,20.20
MANGROVE MOUNTAIN,20/03/2025,4.2,0.0, ,31.4,16.3,96,51,1.61,20.92
MANGROVE MOUNTAIN,21/03/2025,1.8,0.0, ,25.1,17.5,96,75,1.37,7.59
MANGROVE MOUNTAIN,22/03/2025,1.9,4.2, ,24.7,18.2,97,74,1.28,8.79
MANGROVE MOUNTAIN,23/03/2025,1.5,9.8, ,21.9,18.8,97,89,0.93,7.14
MANGROVE MOUNTAIN,24/03/2025,1.6,8.2, ,22.4,18.8,98,86,0.79,8.15
MANGROVE MOUNTAIN,25/03/2025,1.9,6.4, ,24.0,17.6,98,83,0.84,9.65
MANGROVE MOUNTAIN,26/03/2025,2.7,6.8, ,25.6,16.4,98,65,0.97,15.04
MANGROVE MOUNTAIN,27/03/2025,2.4,1.8, ,25.0,15.7,97,66,1.26,12.82
MANGROVE MOUNTAIN,28/03/2025,2.3,0.2, ,23.9,14.0,98,65,1.43,11.96
MANGROVE MOUNTAIN,29/03/2025,1.0,44.6, ,19.3,17.4,98,89,1.27,3.75
MANGROVE MOUNTAIN,30/03/2025,2.7,14.4, ,23.8,16.4,97,72,3.15,14.17
MANGROVE MOUNTAIN,31/03/2025,2.4,4.6, ,22.9,16.2,97,65,2.80,11.46
Totals:,,89.3,166, ,,,,,, 
