'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARRANGAROO (DEFENCE) New South Wales for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARRANGAROO (DEFENCE),01/11/2024,3.7,0.8, ,21.3,4.0,98,37,1.45,21.39
MARRANGAROO (DEFENCE),02/11/2024,3.0,0.2, ,19.0,9.4,92,62,1.97,16.90
MARRANGAROO (DEFENCE),03/11/2024,4.5,0.0, ,27.4,7.9,98,24,2.10,18.76
MARRANGAROO (DEFENCE),04/11/2024,3.8,0.0, ,24.7,11.6,94,38,1.90,17.14
MARRANGAROO (DEFENCE),05/11/2024,3.8,0.0, ,21.8,9.8,95,54,1.86,21.80
MARRANGAROO (DEFENCE),06/11/2024,5.0,0.0, ,30.3,9.7,98,25,1.35,24.56
MARRANGAROO (DEFENCE),07/11/2024,4.2,0.8, ,28.6,13.2,96,31,2.20,15.45
MARRANGAROO (DEFENCE),08/11/2024,4.7,5.0, ,21.2,6.7,98,37,2.10,28.98
MARRANGAROO (DEFENCE),09/11/2024,4.6,0.2, ,24.3,1.7,98,26,1.20,28.24
MARRANGAROO (DEFENCE),10/11/2024,4.9,0.0, ,25.9,8.1,98,23,1.48,26.09
MARRANGAROO (DEFENCE),11/11/2024,2.0,0.0, ,17.2,8.6,93,74,1.10,10.93
MARRANGAROO (DEFENCE),12/11/2024,4.0,0.0, ,22.4,8.3,99,49,1.35,23.36
MARRANGAROO (DEFENCE),13/11/2024,2.0,0.0, ,20.1,7.3,98,61,0.65,10.10
MARRANGAROO (DEFENCE),14/11/2024,3.0,6.8, ,21.2,9.1,99,64,1.36,16.47
MARRANGAROO (DEFENCE),15/11/2024,2.0,0.0, ,16.9,11.7,93,78,1.76,10.27
MARRANGAROO (DEFENCE),16/11/2024,4.1,0.0, ,23.1,13.2,92,58,1.87,22.39
MARRANGAROO (DEFENCE),17/11/2024,5.0,0.0, ,27.6,11.3,98,39,2.72,22.90
MARRANGAROO (DEFENCE),18/11/2024,5.0,24.8, ,21.7,11.4,95,24,2.15,26.87
MARRANGAROO (DEFENCE),19/11/2024,4.2,0.2, ,21.0,8.9,96,48,1.81,24.52
MARRANGAROO (DEFENCE),20/11/2024,4.7,0.0, ,22.4,9.6,93,44,1.62,27.19
MARRANGAROO (DEFENCE),21/11/2024,4.4,0.0, ,21.0,6.3,98,52,1.64,27.62
MARRANGAROO (DEFENCE),22/11/2024,4.8,0.0, ,25.3,6.4,97,36,0.98,28.28
MARRANGAROO (DEFENCE),23/11/2024,4.3,0.0, ,28.1,7.4,98,30,0.80,23.02
MARRANGAROO (DEFENCE),24/11/2024,4.5,0.0, ,29.3,8.8,96,28,1.04,22.41
MARRANGAROO (DEFENCE),25/11/2024,5.4,0.0, ,30.7,8.9,93,29,1.26,27.25
MARRANGAROO (DEFENCE),26/11/2024,5.6,0.0, ,30.5,11.1,98,27,1.29,28.06
MARRANGAROO (DEFENCE),27/11/2024,5.0,0.0, ,29.3,10.2,94,32,2.12,21.27
MARRANGAROO (DEFENCE),28/11/2024,3.1,0.2, ,25.5,14.4,96,55,1.46,13.76
MARRANGAROO (DEFENCE),29/11/2024,1.2,55.2, ,18.7,14.3,98,87,0.93,4.41
MARRANGAROO (DEFENCE),30/11/2024, ,23.8, ,19.4,15.5,95,88,1.84, 
Totals:,,116.5,118, ,,,,,, 
