'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARRANGAROO (DEFENCE) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARRANGAROO (DEFENCE),01/04/2025,2.6,0.2, ,18.2,11.4,96,58,2.30,16.03
MARRANGAROO (DEFENCE),02/04/2025,2.5,0.0, ,20.9,6.5,98,28,0.62,17.41
MARRANGAROO (DEFENCE),03/04/2025,2.8,0.0, ,20.9,2.6,98,27,1.11,18.71
MARRANGAROO (DEFENCE),04/04/2025,2.7,0.0, ,23.1,2.0,98,23,0.83,18.40
MARRANGAROO (DEFENCE),05/04/2025,3.0,0.0, ,20.1,2.3,96,22,1.72,18.53
MARRANGAROO (DEFENCE),06/04/2025,3.1,0.0, ,21.6,-0.6,98,15,1.58,18.35
MARRANGAROO (DEFENCE),07/04/2025,2.8,0.0, ,20.1,1.5,96,31,1.72,18.17
MARRANGAROO (DEFENCE),08/04/2025,2.2,0.0, ,19.5,4.3,98,50,0.98,15.04
MARRANGAROO (DEFENCE),09/04/2025,2.5,0.0, ,21.5,8.9,94,41,0.94,16.77
MARRANGAROO (DEFENCE),10/04/2025,1.7,0.0, ,21.7,6.7,98,44,0.46,10.14
MARRANGAROO (DEFENCE),11/04/2025,2.2,13.8, ,23.8,3.6,98,37,0.68,14.14
MARRANGAROO (DEFENCE),12/04/2025,2.2,0.0, ,21.0,5.3,99,51,1.14,14.27
MARRANGAROO (DEFENCE),13/04/2025,2.4,0.0, ,22.7,7.3,98,44,0.69,17.11
MARRANGAROO (DEFENCE),14/04/2025,2.8,0.2, ,23.9,7.1,98,31,1.42,16.15
MARRANGAROO (DEFENCE),15/04/2025,2.0,0.2, ,17.4,11.6,97,54,1.90,11.01
MARRANGAROO (DEFENCE),16/04/2025,2.3,0.0, ,18.6,4.7,97,43,1.36,16.03
MARRANGAROO (DEFENCE),17/04/2025,2.2,0.0, ,19.6,3.7,98,41,0.97,16.35
MARRANGAROO (DEFENCE),18/04/2025,2.1,0.0, ,23.0,0.3,98,30,0.63,16.31
MARRANGAROO (DEFENCE),19/04/2025,2.3,0.0, ,24.8,1.7,98,25,0.82,15.32
MARRANGAROO (DEFENCE),20/04/2025,2.4,0.0, ,24.8,1.6,98,31,0.99,15.60
MARRANGAROO (DEFENCE),21/04/2025,2.1,0.0, ,19.3,6.4,97,33,1.41,12.12
MARRANGAROO (DEFENCE),22/04/2025,1.0,0.0, ,14.9,2.8,98,77,1.49,4.97
MARRANGAROO (DEFENCE),23/04/2025,1.8,20.4, ,18.1,11.7,93,68,2.60,9.68
MARRANGAROO (DEFENCE),24/04/2025,2.3,2.2, ,20.2,10.8,92,48,1.71,14.13
MARRANGAROO (DEFENCE),25/04/2025,1.7,0.2, ,20.2,6.9,98,54,0.79,12.07
MARRANGAROO (DEFENCE),26/04/2025,1.5,0.0, ,21.1,7.0,98,55,0.62,9.98
MARRANGAROO (DEFENCE),27/04/2025,1.0,16.0, ,13.6,12.1,96,83,1.64,4.80
MARRANGAROO (DEFENCE),28/04/2025,1.7,17.8, ,17.3,11.0,97,64,1.86,10.78
MARRANGAROO (DEFENCE),29/04/2025,1.6,0.0, ,19.8,6.1,98,55,0.69,11.61
MARRANGAROO (DEFENCE),30/04/2025,1.0,0.8, ,11.0,7.3,97,83,2.22,7.55
Totals:,,64.5,71.8, ,,,,,, 
