'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MARRANGAROO (DEFENCE) New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MARRANGAROO (DEFENCE),01/05/2025,1.6,2.0, ,12.5,6.6,92,61,2.96,11.12
MARRANGAROO (DEFENCE),02/05/2025,1.3,1.6, ,14.8,6.8,97,64,1.39,9.19
MARRANGAROO (DEFENCE),03/05/2025,1.3,0.0, ,16.0,2.8,98,56,0.71,11.19
MARRANGAROO (DEFENCE),04/05/2025,1.6,0.0, ,18.7,2.7,98,46,0.83,13.83
MARRANGAROO (DEFENCE),05/05/2025,1.6,0.2, ,20.5,8.6,97,53,0.74,12.20
MARRANGAROO (DEFENCE),06/05/2025,1.4,0.0, ,20.2,5.6,98,38,0.58,9.66
MARRANGAROO (DEFENCE),07/05/2025,1.8,0.0, ,20.6,3.9,98,48,1.50,10.88
MARRANGAROO (DEFENCE),08/05/2025,2.0,0.2, ,18.4,6.3,91,26,1.52,13.54
MARRANGAROO (DEFENCE),09/05/2025,1.3,0.0, ,15.3,0.7,97,56,0.96,11.62
MARRANGAROO (DEFENCE),10/05/2025,1.3,0.0, ,16.6,2.5,97,60,1.16,10.38
MARRANGAROO (DEFENCE),11/05/2025,1.1,1.6, ,15.4,9.9,96,74,0.94,8.18
MARRANGAROO (DEFENCE),12/05/2025,1.4,2.2, ,19.0,9.0,98,59,0.76,11.49
MARRANGAROO (DEFENCE),13/05/2025,1.1,1.0, ,16.2,11.4,96,74,0.63,7.90
MARRANGAROO (DEFENCE),14/05/2025,1.1,0.8, ,18.6,8.1,98,57,0.35,9.14
MARRANGAROO (DEFENCE),15/05/2025,0.9,0.0, ,14.1,3.5,98,75,0.88,6.90
MARRANGAROO (DEFENCE),16/05/2025,1.0,2.8, ,15.6,10.4,97,74,0.63,6.71
MARRANGAROO (DEFENCE),17/05/2025,1.3,0.2, ,16.7,7.9,98,38,0.64,12.34
MARRANGAROO (DEFENCE),18/05/2025,0.9,0.0, ,10.5,1.2,98,70,1.88,6.08
MARRANGAROO (DEFENCE),19/05/2025,1.2,3.2, ,10.0,5.8,94,68,4.01,8.55
MARRANGAROO (DEFENCE),20/05/2025,1.0,1.0, ,11.4,6.1,93,79,2.52,6.61
MARRANGAROO (DEFENCE),21/05/2025,0.9,1.0, ,12.2,8.8,94,86,2.04,6.29
MARRANGAROO (DEFENCE),22/05/2025,0.9,21.8, ,14.3,10.5,95,84,2.11,5.16
MARRANGAROO (DEFENCE),23/05/2025,1.2,29.0, ,16.4,11.6,97,63,1.45,7.67
MARRANGAROO (DEFENCE),24/05/2025,1.2,0.0, ,13.4,7.3,94,66,2.29,6.54
MARRANGAROO (DEFENCE),25/05/2025,1.0,0.0, ,13.8,1.9,97,41,0.74,6.95
MARRANGAROO (DEFENCE),26/05/2025,1.1,0.2, ,15.4,-0.9,97,47,1.12,6.12
MARRANGAROO (DEFENCE),27/05/2025,1.4,12.6, ,11.1,6.8,91,54,2.91,8.52
MARRANGAROO (DEFENCE),28/05/2025,1.2,1.2, ,12.8,4.9,97,57,2.00,10.86
MARRANGAROO (DEFENCE),29/05/2025,0.7,0.0, ,10.5,-0.2,98,75,0.43,7.77
MARRANGAROO (DEFENCE),30/05/2025,0.9,0.0, ,16.9,-2.5,97,42,0.26,11.64
MARRANGAROO (DEFENCE),31/05/2025,0.9,0.0, ,15.8,-1.3,98,50,0.39,11.21
Totals:,,37.6,82.6, ,,,,,, 
