'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/07/2025,1.2,0.0, ,14.9,5.2,98,69,4.53,3.95
MERIMBULA AIRPORT,02/07/2025,0.9,77.8, ,13.2,10.7,96,83,5.58,4.31
MERIMBULA AIRPORT,03/07/2025,1.3,25.0, ,14.6,11.0,94,65,3.87,5.54
MERIMBULA AIRPORT,04/07/2025,1.3,0.0, ,16.8,8.9,98,53,2.48,9.85
MERIMBULA AIRPORT,05/07/2025,0.8,0.0, ,15.7,2.7,99,62,1.34,8.54
MERIMBULA AIRPORT,06/07/2025,1.2,0.2, ,19.2,7.2,98,51,1.56,8.24
MERIMBULA AIRPORT,07/07/2025,1.5,4.4, ,17.8,9.8,98,44,2.42,8.66
MERIMBULA AIRPORT,08/07/2025,1.0,0.0, ,15.0,3.1,99,59,1.71,5.11
MERIMBULA AIRPORT,09/07/2025,1.4,0.0, ,16.4,3.0,99,39,2.26,10.09
MERIMBULA AIRPORT,10/07/2025,1.7,0.2, ,15.5,2.5,97,47,3.58,7.75
MERIMBULA AIRPORT,11/07/2025,2.8,0.0, ,20.5,6.1,75,34,4.05,10.15
MERIMBULA AIRPORT,12/07/2025,1.5,0.0, ,16.8,5.6,96,42,2.54,10.20
MERIMBULA AIRPORT,13/07/2025,1.0,0.0, ,16.4,3.0,98,52,1.38,8.79
MERIMBULA AIRPORT,14/07/2025,1.8,0.0, ,16.1,4.8,98,40,3.56,10.39
MERIMBULA AIRPORT,15/07/2025, ,0.0, ,15.7,2.8,96,40,2.68, 
MERIMBULA AIRPORT,16/07/2025,1.6,0.0, ,18.7,1.5,99,39,2.02,10.10
MERIMBULA AIRPORT,17/07/2025,1.2,0.0, ,16.6,3.0,99,44,1.58,8.83
MERIMBULA AIRPORT,18/07/2025,1.4,0.2, ,15.8,2.1,99,38,2.04,10.68
MERIMBULA AIRPORT,19/07/2025,1.4,0.0, ,16.1,0.6,98,46,2.20,10.48
MERIMBULA AIRPORT,20/07/2025,1.4,0.0, ,16.8,4.1,95,46,2.15,10.58
MERIMBULA AIRPORT,21/07/2025,1.1,0.0, ,16.8,4.1,99,64,1.88,8.71
MERIMBULA AIRPORT,22/07/2025,1.4,0.0, ,18.8,7.0,99,60,2.69,7.76
MERIMBULA AIRPORT,23/07/2025,2.2,0.4, ,17.7,5.8,95,28,3.02,11.10
MERIMBULA AIRPORT,24/07/2025,2.0,0.0, ,16.6,6.8,93,40,3.39,10.74
MERIMBULA AIRPORT,25/07/2025,1.6,0.0, ,16.2,2.0,97,40,2.44,8.98
MERIMBULA AIRPORT,26/07/2025,2.4,0.0, ,19.3,7.3,84,38,3.50,10.40
MERIMBULA AIRPORT,27/07/2025,1.3,0.2, ,18.6,6.4,98,56,1.47,9.26
MERIMBULA AIRPORT,28/07/2025,1.9,0.0, ,19.7,6.8,97,39,2.49,9.16
MERIMBULA AIRPORT,29/07/2025,2.1,0.2, ,17.2,6.2,89,38,3.18,11.46
MERIMBULA AIRPORT,30/07/2025,1.5,0.0, ,15.0,4.0,96,56,2.80,10.34
MERIMBULA AIRPORT,31/07/2025,1.6,2.4, ,14.4,7.0,96,55,3.30,9.96
Totals:,,45.5,111, ,,,,,, 
