'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERIMBULA AIRPORT New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERIMBULA AIRPORT,01/08/2025,1.3,0.4, ,14.9,7.1,97,66,2.53,9.43
MERIMBULA AIRPORT,02/08/2025,1.5,4.2, ,15.9,7.1,99,55,2.69,8.45
MERIMBULA AIRPORT,03/08/2025,1.3,4.0, ,17.6,7.5,99,65,1.37,11.72
MERIMBULA AIRPORT,04/08/2025,1.7, , ,18.9,7.4,99,58,2.50,11.64
MERIMBULA AIRPORT,05/08/2025,1.4,0.2, ,18.0,6.2,99,65,2.01,10.76
MERIMBULA AIRPORT,06/08/2025,2.1,0.0, ,19.3,3.8,99,35,2.50,11.37
MERIMBULA AIRPORT,07/08/2025,1.6,1.0, ,15.2,2.7,99,45,1.96,12.64
MERIMBULA AIRPORT,08/08/2025,1.8,0.0, ,17.1,3.6,97,46,2.48,11.97
MERIMBULA AIRPORT,09/08/2025,1.5,1.4, ,16.4,6.3,97,60,2.11,12.10
MERIMBULA AIRPORT,10/08/2025,1.3,2.0, ,16.5,5.8,99,67,1.85,10.33
MERIMBULA AIRPORT,11/08/2025,1.6,0.0, ,16.5,3.8,99,59,2.32,12.40
MERIMBULA AIRPORT,12/08/2025,1.6,0.0, ,17.1,3.8,99,57,1.88,13.24
MERIMBULA AIRPORT,13/08/2025,1.4,0.2, ,16.0,4.4,99,58,1.99,9.57
MERIMBULA AIRPORT,14/08/2025,1.6,0.2, ,18.0,3.5,99,58,1.95,10.75
MERIMBULA AIRPORT,15/08/2025,1.5,0.0, ,17.8,3.5,99,62,1.71,10.56
MERIMBULA AIRPORT,16/08/2025,1.7,0.0, ,15.9,7.0,96,48,2.26,10.67
MERIMBULA AIRPORT,17/08/2025,2.2,3.0, ,15.9,3.8,89,39,3.03,10.87
MERIMBULA AIRPORT,18/08/2025,2.0,0.0, ,15.5,2.3,94,48,3.20,12.47
MERIMBULA AIRPORT,19/08/2025,1.8,0.0, ,17.3,2.8,98,55,2.27,13.51
MERIMBULA AIRPORT,20/08/2025,1.5,1.4, ,17.0,5.2,99,65,1.70,10.67
MERIMBULA AIRPORT,21/08/2025,1.3,17.4, ,18.1,10.2,99,73,1.58,8.54
MERIMBULA AIRPORT,22/08/2025,1.6,12.0, ,18.6,9.9,99,76,1.38,12.91
MERIMBULA AIRPORT,23/08/2025,2.5,0.2, ,19.3,10.4,99,43,3.19,13.64
MERIMBULA AIRPORT,24/08/2025,2.2,0.0, ,15.4,9.3,84,58,5.20,7.83
MERIMBULA AIRPORT,25/08/2025,1.7,1.0, ,19.5,11.9,98,73,2.59,10.85
MERIMBULA AIRPORT,26/08/2025,1.2,0.0, ,18.7,10.7,98,72,1.26,5.47
MERIMBULA AIRPORT,27/08/2025,4.4,0.0, ,20.9,12.7,84,28,6.52,14.70
MERIMBULA AIRPORT,28/08/2025,3.9,0.2, ,19.7,9.8,86,27,5.33,15.47
MERIMBULA AIRPORT,29/08/2025,3.6,0.0, ,20.8,3.0,96,30,4.38,15.24
MERIMBULA AIRPORT,30/08/2025,2.6,1.4, ,16.0,5.3,90,43,4.93,10.83
MERIMBULA AIRPORT,31/08/2025,2.9,3.2, ,20.7,7.5,92,38,2.86,15.63
Totals:,,60.3,53.4, ,,,,,, 
