'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/01/2025,5.7,2.6, ,34.4,13.4,100,28,1.00,27.49
MERRIWA (ROSCOMMON),02/01/2025,5.3,0.0, ,28.3,17.4,87,50,4.97,19.40
MERRIWA (ROSCOMMON),03/01/2025,5.9,0.0, ,29.0,15.9,84,44,4.50,22.95
MERRIWA (ROSCOMMON),04/01/2025,6.6,0.0, ,34.7,12.7,100,24,2.20,27.23
MERRIWA (ROSCOMMON),05/01/2025,7.6,0.4, ,37.3,12.2,98,20,2.84,27.32
MERRIWA (ROSCOMMON),06/01/2025,7.9,0.2, ,38.8,13.8,92,19,2.53,29.63
MERRIWA (ROSCOMMON),07/01/2025,2.4,5.4, ,24.6,19.0,99,69,3.40,8.08
MERRIWA (ROSCOMMON),08/01/2025,4.4,10.8, ,26.1,14.9,98,52,3.55,19.99
MERRIWA (ROSCOMMON),09/01/2025,5.4,0.2, ,29.3,13.3,99,45,3.07,24.19
MERRIWA (ROSCOMMON),10/01/2025,5.6,0.0, ,30.6,16.7,99,41,4.55,19.32
MERRIWA (ROSCOMMON),11/01/2025,4.8,0.0, ,30.1,16.5,98,45,3.10,18.56
MERRIWA (ROSCOMMON),12/01/2025,5.2,0.0, ,30.8,14.4,100,41,1.91,23.74
MERRIWA (ROSCOMMON),13/01/2025,7.2,19.8, ,33.7,15.7,100,29,2.94,30.23
MERRIWA (ROSCOMMON),14/01/2025,7.1,0.0, ,35.8,15.9,97,26,2.76,27.43
MERRIWA (ROSCOMMON),15/01/2025,8.7,0.0, ,38.8,17.5,98,28,4.64,27.18
MERRIWA (ROSCOMMON),16/01/2025,4.5,12.0, ,27.4,16.7,100,45,3.76,17.65
MERRIWA (ROSCOMMON),17/01/2025, ,1.6, ,21.3,12.0, , , ,14.13
MERRIWA (ROSCOMMON),18/01/2025,5.3,0.8, ,26.1,15.0,90,56,8.25,21.77
MERRIWA (ROSCOMMON),19/01/2025,6.4,0.4, ,25.7,16.7,92,39,5.46,29.92
MERRIWA (ROSCOMMON),20/01/2025,6.2,0.0, ,29.2,9.0,100,28,2.55,30.67
MERRIWA (ROSCOMMON),21/01/2025,6.7,0.0, ,35.0,10.6,99,22,2.12,28.70
MERRIWA (ROSCOMMON),22/01/2025,7.9,0.0, ,37.8,15.6,90,21,3.92,22.38
MERRIWA (ROSCOMMON),23/01/2025,6.5,0.0, ,28.6,18.0,85,47,6.21,26.58
MERRIWA (ROSCOMMON),24/01/2025,8.4,0.0, ,33.9,14.6,99,18,4.54,30.32
MERRIWA (ROSCOMMON),25/01/2025,7.4,0.0, ,32.8,13.8,95,29,3.65,30.27
MERRIWA (ROSCOMMON),26/01/2025,7.1,0.0, ,34.5,15.2,99,33,3.68,26.94
MERRIWA (ROSCOMMON),27/01/2025,8.1,0.0, ,38.6,18.6,96,25,3.30,28.42
MERRIWA (ROSCOMMON),28/01/2025,9.6,0.0, ,40.8,19.4,91,21,4.74,27.15
MERRIWA (ROSCOMMON),29/01/2025,6.0,0.0, ,30.5,18.5,91,48,5.75,21.55
MERRIWA (ROSCOMMON),30/01/2025,6.1,0.0, ,31.9,19.2,93,47,4.89,22.81
MERRIWA (ROSCOMMON),31/01/2025,3.9,0.0, ,27.3,19.7,93,62,5.24,14.00
Totals:,,189.9,54.2, ,,,,,, 
