'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/04/2025,3.0,0.0, ,22.7,12.6,92,57,3.70,14.12
MERRIWA (ROSCOMMON),02/04/2025,2.0,0.0, ,19.2,13.7,94,66,2.67,9.31
MERRIWA (ROSCOMMON),03/04/2025,3.7,0.0, ,26.3,7.6,99,30,2.08,18.64
MERRIWA (ROSCOMMON),04/04/2025,4.2,0.0, ,27.6,6.4,96,24,2.42,19.15
MERRIWA (ROSCOMMON),05/04/2025,4.9,0.0, ,25.1,10.0,74,24,4.15,18.97
MERRIWA (ROSCOMMON),06/04/2025,4.5,0.0, ,25.4,6.0,87,23,3.49,18.80
MERRIWA (ROSCOMMON),07/04/2025,4.5,0.0, ,25.3,6.5,81,27,3.70,18.63
MERRIWA (ROSCOMMON),08/04/2025,3.6,0.0, ,24.9,6.6,95,42,3.03,17.82
MERRIWA (ROSCOMMON),09/04/2025,3.2,0.0, ,24.8,11.6,98,47,2.49,16.38
MERRIWA (ROSCOMMON),10/04/2025,2.6,0.0, ,25.6,10.5,99,43,1.20,14.64
MERRIWA (ROSCOMMON),11/04/2025,3.3,0.0, ,27.9,9.4,98,37,1.59,17.78
MERRIWA (ROSCOMMON),12/04/2025,3.7,0.0, ,26.7,10.6,97,46,4.04,14.30
MERRIWA (ROSCOMMON),13/04/2025,3.3,0.0, ,26.6,15.5,97,47,3.11,14.08
MERRIWA (ROSCOMMON),14/04/2025,3.3,0.0, ,27.5,10.6,99,40,1.97,16.71
MERRIWA (ROSCOMMON),15/04/2025,3.7,0.0, ,24.2,13.4,95,45,4.88,14.16
MERRIWA (ROSCOMMON),16/04/2025,3.1,0.0, ,22.6,8.5,98,41,2.85,16.73
MERRIWA (ROSCOMMON),17/04/2025,2.8,0.0, ,24.2,6.3,98,50,2.50,14.12
MERRIWA (ROSCOMMON),18/04/2025,3.0,0.0, ,25.8,5.4,99,36,1.72,16.84
MERRIWA (ROSCOMMON),19/04/2025,3.1,0.0, ,28.4,6.1,97,27,1.75,13.29
MERRIWA (ROSCOMMON),20/04/2025,4.2,0.0, ,30.1,6.2,97,27,2.89,15.39
MERRIWA (ROSCOMMON),21/04/2025,4.4,0.2, ,25.1,14.8,86,28,4.61,15.87
MERRIWA (ROSCOMMON),22/04/2025,2.8,0.0, ,23.7,8.1,95,46,2.86,12.83
MERRIWA (ROSCOMMON),23/04/2025,3.1,2.4, ,23.9,13.8,98,54,5.35,11.33
MERRIWA (ROSCOMMON),24/04/2025,3.6,0.0, ,24.5,15.2,98,44,4.98,14.68
MERRIWA (ROSCOMMON),25/04/2025,2.5,0.0, ,24.2,12.5,98,55,2.55,11.91
MERRIWA (ROSCOMMON),26/04/2025,1.9,0.0, ,22.1,11.1,99,61,2.48,8.68
MERRIWA (ROSCOMMON),27/04/2025,1.0,20.2, ,16.5,14.5,98,87,2.32,5.27
MERRIWA (ROSCOMMON),28/04/2025,2.5,8.8, ,23.1,10.9,97,57,2.97,12.92
MERRIWA (ROSCOMMON),29/04/2025,2.5,0.0, ,24.8,7.8,99,44,1.65,15.11
MERRIWA (ROSCOMMON),30/04/2025,1.8,0.0, ,19.6,10.2,99,65,3.08,9.73
Totals:,,95.8,31.6, ,,,,,, 
