'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MERRIWA (ROSCOMMON) New South Wales for August 2025,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MERRIWA (ROSCOMMON),01/08/2025,1.4,1.4, ,14.8,1.4,98,64,2.74,9.96
MERRIWA (ROSCOMMON),02/08/2025,1.2,0.0, ,14.0,5.5,97,74,4.40,5.86
MERRIWA (ROSCOMMON),03/08/2025,1.8,18.6, ,17.2,9.0,96,68,5.72,9.16
MERRIWA (ROSCOMMON),04/08/2025,1.8,0.4, ,18.5,6.0,98,60,2.74,11.11
MERRIWA (ROSCOMMON),05/08/2025,2.3,0.0, ,21.2,5.5,98,44,2.24,13.53
MERRIWA (ROSCOMMON),06/08/2025,2.5,0.0, ,17.9,5.1,94,34,3.06,14.55
MERRIWA (ROSCOMMON),07/08/2025,1.3,0.0, ,14.8,-1.5,98,72,3.21,8.87
MERRIWA (ROSCOMMON),08/08/2025,1.8,0.0, ,14.5,6.6,89,62,4.76,7.69
MERRIWA (ROSCOMMON),09/08/2025,2.3,0.0, ,17.6,8.3,96,53,4.48,12.46
MERRIWA (ROSCOMMON),10/08/2025,1.9,0.0, ,16.9,5.6,98,58,3.23,12.35
MERRIWA (ROSCOMMON),11/08/2025,1.6,0.2, ,15.2,3.4,98,58,2.05,11.38
MERRIWA (ROSCOMMON),12/08/2025,1.9,0.2, ,17.1,3.0,99,41,1.47,14.50
MERRIWA (ROSCOMMON),13/08/2025,2.0,0.0, ,18.8,-0.8,98,41,1.65,13.63
MERRIWA (ROSCOMMON),14/08/2025,2.0,0.2, ,16.4,4.6,96,50,2.33,13.16
MERRIWA (ROSCOMMON),15/08/2025,2.3,0.0, ,18.9,1.1,99,41,2.08,15.49
MERRIWA (ROSCOMMON),16/08/2025,2.8,0.0, ,18.6,5.0,91,44,4.29,13.09
MERRIWA (ROSCOMMON),17/08/2025,2.6,0.0, ,15.1,0.3,93,39,3.91,16.06
MERRIWA (ROSCOMMON),18/08/2025,2.3,0.0, ,15.7,-3.6,97,38,2.60,15.62
MERRIWA (ROSCOMMON),19/08/2025,2.3,0.0, ,16.3,2.7,97,53,3.86,14.25
MERRIWA (ROSCOMMON),20/08/2025,0.8,0.2, ,11.1,3.3,98,90,4.05,5.64
MERRIWA (ROSCOMMON),21/08/2025,1.5,33.4, ,14.7,9.2,98,77,3.38,10.61
MERRIWA (ROSCOMMON),22/08/2025,1.8,0.8, ,17.4,5.9,98,62,1.85,11.66
MERRIWA (ROSCOMMON),23/08/2025,3.3,0.0, ,21.2,7.5,91,40,3.98,16.13
MERRIWA (ROSCOMMON),24/08/2025,2.7,0.0, ,19.1,1.1,98,39,2.74,16.70
MERRIWA (ROSCOMMON),25/08/2025,2.5,0.0, ,20.6,3.6,97,50,2.06,17.23
MERRIWA (ROSCOMMON),26/08/2025,2.9,0.0, ,24.6,2.7,99,40,1.78,17.25
MERRIWA (ROSCOMMON),27/08/2025,2.8,0.0, ,20.4,7.2,95,52,5.65,9.00
MERRIWA (ROSCOMMON),28/08/2025,3.5,0.2, ,17.5,5.3,88,37,5.99,16.53
MERRIWA (ROSCOMMON),29/08/2025,3.9,0.0, ,18.2,3.6,78,35,6.53,16.19
MERRIWA (ROSCOMMON),30/08/2025,2.6,1.2, ,12.7,4.9,92,50,7.35,14.04
MERRIWA (ROSCOMMON),31/08/2025,3.0,0.0, ,18.3,-0.2,92,34,2.76,18.15
Totals:,,69.4,56.8, ,,,,,, 
