'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/12/2024,4.7,16.8, ,23.8,18.5,97,52,7.38,20.28
MONTAGUE ISLAND LIGHTHOUSE,02/12/2024,5.6,0.0, ,23.6,17.8,96,51,3.25,31.28
MONTAGUE ISLAND LIGHTHOUSE,03/12/2024,3.4,0.0, ,26.0,18.1,98,65,7.92,10.59
MONTAGUE ISLAND LIGHTHOUSE,04/12/2024,4.1,0.4, ,21.4,18.2,88,63,5.64,20.10
MONTAGUE ISLAND LIGHTHOUSE,05/12/2024, ,0.0, , ,16.8,100,75,4.53,26.33
MONTAGUE ISLAND LIGHTHOUSE,18/12/2024, , , , , , , , ,31.65
MONTAGUE ISLAND LIGHTHOUSE,19/12/2024, , , , , , , , ,30.78
MONTAGUE ISLAND LIGHTHOUSE,20/12/2024, , , ,21.6, ,77,56,4.22,31.58
MONTAGUE ISLAND LIGHTHOUSE,21/12/2024,5.1,0.0, ,23.2,17.4,79,60,7.47,22.75
MONTAGUE ISLAND LIGHTHOUSE,22/12/2024,4.2,0.0, ,22.5,17.5,90,66,4.81,21.68
MONTAGUE ISLAND LIGHTHOUSE,23/12/2024,6.8,0.0, ,23.4,15.1,92,27,12.56,20.10
MONTAGUE ISLAND LIGHTHOUSE,24/12/2024,5.7,4.6, ,20.4,11.1,79,42,9.65,25.96
MONTAGUE ISLAND LIGHTHOUSE,25/12/2024,5.6,0.0, ,24.2,17.3,86,62,3.83,31.25
MONTAGUE ISLAND LIGHTHOUSE,26/12/2024,5.5,0.0, ,24.5,19.8,87,71,11.57,32.08
MONTAGUE ISLAND LIGHTHOUSE,27/12/2024,5.0,0.2, ,22.8,20.3,90,63,11.06,24.38
MONTAGUE ISLAND LIGHTHOUSE,28/12/2024,5.5,0.0, ,21.9,17.4,82,54,6.57,28.02
MONTAGUE ISLAND LIGHTHOUSE,29/12/2024,4.9,0.0, ,22.0,18.0,90,60,6.20,26.37
MONTAGUE ISLAND LIGHTHOUSE,30/12/2024,6.1,0.0, ,23.1,18.6,82,56,6.95,31.89
MONTAGUE ISLAND LIGHTHOUSE,31/12/2024,3.4,0.4, ,22.4,20.0,95,69,6.17,15.72
Totals:,,75.6,22.4, ,,,,,, 
