'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/03/2025,4.1,0.0, ,24.4,19.0,94,71,0.00,24.24
MONTAGUE ISLAND LIGHTHOUSE,02/03/2025,1.6,0.0, ,22.3,18.9,95,68,0.00,7.86
MONTAGUE ISLAND LIGHTHOUSE,03/03/2025,3.6,0.0, ,23.8,17.8,89,58,0.00,22.39
MONTAGUE ISLAND LIGHTHOUSE,04/03/2025,3.3,0.6, ,22.9,19.8,83,53,0.00,20.29
MONTAGUE ISLAND LIGHTHOUSE,05/03/2025,3.7,0.0, ,24.4,17.7,86,60,0.00,22.98
MONTAGUE ISLAND LIGHTHOUSE,06/03/2025,3.5,0.0, ,24.5,19.6,90,65,0.00,21.02
MONTAGUE ISLAND LIGHTHOUSE,07/03/2025,2.8,1.4, ,23.4,18.6,89,64,0.00,16.70
MONTAGUE ISLAND LIGHTHOUSE,08/03/2025,3.0,0.0, ,23.7,19.0,87,71,0.00,17.93
MONTAGUE ISLAND LIGHTHOUSE,09/03/2025,3.3,1.0, ,24.3,19.3,94,76,0.00,19.48
MONTAGUE ISLAND LIGHTHOUSE,10/03/2025,3.5,0.0, ,25.3,20.4,89,73,0.00,19.92
MONTAGUE ISLAND LIGHTHOUSE,11/03/2025,3.7,0.2, ,26.1,20.6,91,72,0.00,21.02
MONTAGUE ISLAND LIGHTHOUSE,12/03/2025,3.6,4.8, ,25.6,20.3,94,71,0.00,21.10
MONTAGUE ISLAND LIGHTHOUSE,13/03/2025,3.7,0.2, ,25.4,19.8,95,75,0.00,21.49
MONTAGUE ISLAND LIGHTHOUSE,14/03/2025,3.2,0.0, ,25.3,20.4,92,77,0.00,18.55
MONTAGUE ISLAND LIGHTHOUSE,15/03/2025,3.2,0.0, ,25.2,20.7,96,67,0.00,18.73
MONTAGUE ISLAND LIGHTHOUSE,16/03/2025,1.4,0.0, ,30.4,21.3,96,40,0.00,6.04
MONTAGUE ISLAND LIGHTHOUSE,17/03/2025,2.7,4.0, ,20.3,14.0,66,39,0.00,20.67
MONTAGUE ISLAND LIGHTHOUSE,18/03/2025,2.9,0.0, ,21.2,14.5,72,55,0.00,20.84
MONTAGUE ISLAND LIGHTHOUSE,19/03/2025,3.1,0.0, ,23.8,17.0,85,65,0.00,20.19
MONTAGUE ISLAND LIGHTHOUSE,20/03/2025,2.9,0.0, ,24.1,20.2,90,79,0.00,16.79
MONTAGUE ISLAND LIGHTHOUSE,21/03/2025,1.4,0.2, ,22.1,19.6,95,77,0.00,6.51
MONTAGUE ISLAND LIGHTHOUSE,22/03/2025,1.8,0.0, ,21.2,18.2,84,72,0.00,10.43
MONTAGUE ISLAND LIGHTHOUSE,23/03/2025,1.4,0.0, ,21.9,18.5,86,69,0.00,7.23
MONTAGUE ISLAND LIGHTHOUSE,24/03/2025,2.7,0.0, ,24.9,18.9,89,74,0.00,16.36
MONTAGUE ISLAND LIGHTHOUSE,25/03/2025,2.3,0.8, ,22.4,18.2,95,78,0.00,14.21
MONTAGUE ISLAND LIGHTHOUSE,26/03/2025,2.9,0.0, ,25.0,18.4,93,70,0.00,17.95
MONTAGUE ISLAND LIGHTHOUSE,27/03/2025,1.8,0.2, ,21.7,19.7,91,72,0.00,10.49
MONTAGUE ISLAND LIGHTHOUSE,28/03/2025,1.4,1.6, ,22.0,18.5,94,73,0.00,6.85
MONTAGUE ISLAND LIGHTHOUSE,29/03/2025,1.1,8.6, ,20.6,18.6,96,84,0.00,4.80
MONTAGUE ISLAND LIGHTHOUSE,30/03/2025,1.2,28.6, ,20.4,16.7,99,84,0.00,5.94
MONTAGUE ISLAND LIGHTHOUSE,31/03/2025,1.5,49.6, ,17.6,16.5,97,88,0.00,8.90
Totals:,,82.3,101.8, ,,,,,, 
