'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/04/2025,2.1,37.6, ,20.2,15.2,93,64,0.00,14.69
MONTAGUE ISLAND LIGHTHOUSE,02/04/2025,2.4,0.4, ,21.5,15.6,83,52,0.00,17.85
MONTAGUE ISLAND LIGHTHOUSE,03/04/2025,2.3,0.0, ,22.0,16.1,86,54,0.00,16.77
MONTAGUE ISLAND LIGHTHOUSE,04/04/2025,2.2,0.0, ,21.0,16.4,82,57,0.00,16.16
MONTAGUE ISLAND LIGHTHOUSE,05/04/2025,2.2,0.0, ,19.8,16.1,89,45,0.00,16.83
MONTAGUE ISLAND LIGHTHOUSE,06/04/2025,1.6,0.0, ,21.0,14.9,75,43,0.00,11.08
MONTAGUE ISLAND LIGHTHOUSE,07/04/2025,2.1,0.0, ,20.1,16.5,70,44,0.00,16.87
MONTAGUE ISLAND LIGHTHOUSE,08/04/2025,2.1,0.0, ,20.1,15.6,77,49,0.00,16.64
MONTAGUE ISLAND LIGHTHOUSE,09/04/2025,2.2,0.0, ,21.0,15.8,84,65,0.00,16.50
MONTAGUE ISLAND LIGHTHOUSE,10/04/2025,2.1,0.0, ,22.8,17.8,93,72,0.00,13.81
MONTAGUE ISLAND LIGHTHOUSE,11/04/2025,2.2,0.0, ,24.2,16.9,94,53,0.00,15.94
MONTAGUE ISLAND LIGHTHOUSE,12/04/2025,2.2,0.0, ,22.3,18.6,93,68,0.00,15.20
MONTAGUE ISLAND LIGHTHOUSE,13/04/2025,2.1,0.0, ,23.1,17.7,90,68,0.00,15.18
MONTAGUE ISLAND LIGHTHOUSE,14/04/2025,1.7,0.0, ,22.9,18.5,92,68,0.00,10.89
MONTAGUE ISLAND LIGHTHOUSE,15/04/2025,1.5,0.0, ,20.4,16.7,80,46,0.00,11.50
MONTAGUE ISLAND LIGHTHOUSE,16/04/2025,1.8,0.0, ,20.6,16.6,85,53,0.00,14.67
MONTAGUE ISLAND LIGHTHOUSE,17/04/2025,1.9,0.0, ,21.8,16.1,86,63,0.00,15.05
MONTAGUE ISLAND LIGHTHOUSE,18/04/2025,1.9,0.0, ,21.6,16.4,89,69,0.00,14.93
MONTAGUE ISLAND LIGHTHOUSE,19/04/2025,1.7,0.0, ,24.7,17.6,90,51,0.00,11.92
MONTAGUE ISLAND LIGHTHOUSE,20/04/2025,1.9,0.0, ,25.7,18.5,85,48,0.00,14.45
MONTAGUE ISLAND LIGHTHOUSE,21/04/2025,1.8,7.8, ,22.1,17.5,90,68,0.00,13.37
MONTAGUE ISLAND LIGHTHOUSE,22/04/2025,1.2,0.4, ,22.3,17.9,96,74,0.00,7.40
MONTAGUE ISLAND LIGHTHOUSE,23/04/2025,1.5,46.6, ,22.2,16.6,96,70,0.00,11.01
MONTAGUE ISLAND LIGHTHOUSE,24/04/2025,1.8,0.4, ,22.1,17.6,92,70,0.00,13.89
MONTAGUE ISLAND LIGHTHOUSE,25/04/2025,1.8,0.0, ,22.2,17.3,86,70,0.00,13.94
MONTAGUE ISLAND LIGHTHOUSE,26/04/2025,1.4,0.0, ,21.3,17.6,91,72,0.00,10.38
MONTAGUE ISLAND LIGHTHOUSE,27/04/2025,1.4,2.4, ,20.5,16.8,94,79,0.00,10.02
MONTAGUE ISLAND LIGHTHOUSE,28/04/2025,1.2,0.8, ,20.5,16.6,89,74,0.00,8.85
MONTAGUE ISLAND LIGHTHOUSE,29/04/2025,1.0,0.2, ,19.7,17.0,95,62,0.00,6.67
MONTAGUE ISLAND LIGHTHOUSE,30/04/2025,0.9,14.4, ,16.6,13.7,94,62,0.00,6.50
Totals:,,54.2,111, ,,,,,, 
