'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for May 2025,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/05/2025,1.2,13.2, ,16.4,12.2,91,68,0.00,12.01
MONTAGUE ISLAND LIGHTHOUSE,02/05/2025,1.3,1.2, ,18.9,13.5,82,51,0.00,13.01
MONTAGUE ISLAND LIGHTHOUSE,03/05/2025,1.3,0.0, ,19.7,14.2,83,54,0.00,12.88
MONTAGUE ISLAND LIGHTHOUSE,04/05/2025,1.3,0.0, ,20.4,14.2,83,57,0.00,12.70
MONTAGUE ISLAND LIGHTHOUSE,05/05/2025,1.3,0.0, ,21.8,15.8,90,60,0.00,11.97
MONTAGUE ISLAND LIGHTHOUSE,06/05/2025,1.4,0.0, ,23.0,16.9,89,59,0.00,11.82
MONTAGUE ISLAND LIGHTHOUSE,07/05/2025,1.2,0.0, ,23.1,17.7,85,38,0.00,11.15
MONTAGUE ISLAND LIGHTHOUSE,08/05/2025,1.0,0.0, ,17.7,13.3,80,36,0.00,11.94
MONTAGUE ISLAND LIGHTHOUSE,09/05/2025,1.0,0.0, ,18.8,12.2,76,47,0.00,12.11
MONTAGUE ISLAND LIGHTHOUSE,10/05/2025,1.2,0.0, ,18.0,13.0,87,73,0.00,12.03
MONTAGUE ISLAND LIGHTHOUSE,11/05/2025,1.2,0.0, ,20.4,14.6,85,66,0.00,11.92
MONTAGUE ISLAND LIGHTHOUSE,12/05/2025,1.1,0.0, ,20.9,16.6,89,70,0.00,8.79
MONTAGUE ISLAND LIGHTHOUSE,13/05/2025,1.0,0.0, ,19.6,16.5,89,70,0.00,7.49
MONTAGUE ISLAND LIGHTHOUSE,14/05/2025,1.2,0.0, ,20.4,16.4,89,70,0.00,11.11
MONTAGUE ISLAND LIGHTHOUSE,15/05/2025,1.1,0.0, ,19.6,16.6,84,67,0.00,10.55
MONTAGUE ISLAND LIGHTHOUSE,16/05/2025,0.9,2.8, ,20.8,15.7,91,61,0.00,7.92
MONTAGUE ISLAND LIGHTHOUSE,17/05/2025,0.9,0.0, ,18.6,15.9,91,51,0.00,9.92
MONTAGUE ISLAND LIGHTHOUSE,18/05/2025,0.7,0.0, ,14.2,12.7,90,56,0.00,6.46
MONTAGUE ISLAND LIGHTHOUSE,19/05/2025,0.8,13.6, ,15.6,10.6,87,55,0.00,9.32
MONTAGUE ISLAND LIGHTHOUSE,20/05/2025,0.8,1.2, ,17.3,12.8,93,61,0.00,6.95
MONTAGUE ISLAND LIGHTHOUSE,21/05/2025,0.8,5.2, ,17.9,13.6,95,82,0.00,7.30
MONTAGUE ISLAND LIGHTHOUSE,22/05/2025,0.7,12.4, ,20.2,14.4,97,72,0.00,4.48
MONTAGUE ISLAND LIGHTHOUSE,23/05/2025,0.7,17.8, ,20.1,15.2,97,77,0.00,2.93
MONTAGUE ISLAND LIGHTHOUSE,24/05/2025,0.8,23.4, ,21.2,15.4,81,44,0.00,10.76
MONTAGUE ISLAND LIGHTHOUSE,25/05/2025,0.7,0.0, ,20.0,14.3,69,40,0.00,7.86
MONTAGUE ISLAND LIGHTHOUSE,26/05/2025,0.7,0.0, ,20.1,13.2,72,45,0.00,8.31
MONTAGUE ISLAND LIGHTHOUSE,27/05/2025,0.6,0.0, ,18.8,15.5,66,34,0.00,9.90
MONTAGUE ISLAND LIGHTHOUSE,28/05/2025,0.6,0.0, ,17.8,14.4,65,45,0.00,10.06
MONTAGUE ISLAND LIGHTHOUSE,29/05/2025,0.7,0.0, ,17.4,13.9,77,54,0.00,10.20
MONTAGUE ISLAND LIGHTHOUSE,30/05/2025,0.7,0.0, ,16.3,12.5,84,53,0.00,10.37
MONTAGUE ISLAND LIGHTHOUSE,31/05/2025,0.7,0.0, ,16.0,12.3,81,67,0.00,10.32
Totals:,,29.6,90.8, ,,,,,, 
