'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MONTAGUE ISLAND LIGHTHOUSE New South Wales for July 2025,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MONTAGUE ISLAND LIGHTHOUSE,01/07/2025,0.6,1.6, ,15.7,11.4,99,67,0.00,3.67
MONTAGUE ISLAND LIGHTHOUSE,02/07/2025,0.6,122.4, ,14.3,11.2,98,82,0.00,4.06
MONTAGUE ISLAND LIGHTHOUSE,03/07/2025,0.6,23.2, ,15.4,11.7,93,67,0.00,7.49
MONTAGUE ISLAND LIGHTHOUSE,04/07/2025,0.6,0.0, ,15.5,12.6,82,55,0.00,10.12
MONTAGUE ISLAND LIGHTHOUSE,05/07/2025,0.6,0.0, ,16.3,10.1,86,64,0.00,7.66
MONTAGUE ISLAND LIGHTHOUSE,06/07/2025,0.7,0.0, ,17.8,11.7,86,67,0.00,9.58
MONTAGUE ISLAND LIGHTHOUSE,07/07/2025,0.6,26.6, ,16.2,11.2,95,61,0.00,8.13
MONTAGUE ISLAND LIGHTHOUSE,08/07/2025,0.6,1.6, ,16.3,10.4,93,50,0.00,4.99
MONTAGUE ISLAND LIGHTHOUSE,09/07/2025,0.5,0.0, ,17.5,11.9,73,39,0.00,10.37
MONTAGUE ISLAND LIGHTHOUSE,10/07/2025,0.5,0.0, ,15.9,12.5,59,42,0.00,8.30
MONTAGUE ISLAND LIGHTHOUSE,11/07/2025,0.5,0.0, ,18.8,11.2,58,39,0.00,10.48
MONTAGUE ISLAND LIGHTHOUSE,12/07/2025,0.6,0.0, ,16.1,11.6,80,45,0.00,10.54
MONTAGUE ISLAND LIGHTHOUSE,13/07/2025,0.6,0.0, ,15.2,10.5,79,49,0.00,8.52
MONTAGUE ISLAND LIGHTHOUSE,14/07/2025,0.5,0.0, ,15.9,10.4,74,38,0.00,10.67
MONTAGUE ISLAND LIGHTHOUSE,15/07/2025, ,0.0, ,15.4,9.1,79,41,0.00, 
MONTAGUE ISLAND LIGHTHOUSE,16/07/2025,0.6,0.0, ,15.9,9.4,79,43,0.00,10.77
MONTAGUE ISLAND LIGHTHOUSE,17/07/2025,0.6,0.0, ,15.0,9.4,89,45,0.00,9.81
MONTAGUE ISLAND LIGHTHOUSE,18/07/2025,0.6,0.0, ,14.6,10.1,84,47,0.00,10.95
MONTAGUE ISLAND LIGHTHOUSE,19/07/2025,0.6,0.0, ,15.9,9.5,82,41,0.00,10.88
MONTAGUE ISLAND LIGHTHOUSE,20/07/2025,0.6,0.0, ,15.8,10.7,77,39,0.00,11.04
MONTAGUE ISLAND LIGHTHOUSE,21/07/2025,0.8,0.0, ,16.5,11.9,85,67,0.00,9.02
MONTAGUE ISLAND LIGHTHOUSE,22/07/2025,0.8,0.0, ,17.6,13.2,89,69,0.00,8.89
MONTAGUE ISLAND LIGHTHOUSE,23/07/2025,0.7,0.0, ,17.1,12.3,79,33,0.00,11.34
MONTAGUE ISLAND LIGHTHOUSE,24/07/2025,0.7,0.0, ,16.4,9.1,67,41,0.00,11.38
MONTAGUE ISLAND LIGHTHOUSE,25/07/2025,0.7,0.0, ,15.6,9.6,74,48,0.00,9.62
MONTAGUE ISLAND LIGHTHOUSE,26/07/2025,0.9,2.8, ,17.5,11.1,93,53,0.00,10.89
MONTAGUE ISLAND LIGHTHOUSE,27/07/2025,0.8,0.0, ,18.4,12.3,72,56,0.00,8.91
MONTAGUE ISLAND LIGHTHOUSE,28/07/2025,0.8,0.0, ,17.4,11.5,75,49,0.00,11.19
MONTAGUE ISLAND LIGHTHOUSE,29/07/2025,0.8,0.0, ,16.9,11.9,59,43,0.00,11.88
MONTAGUE ISLAND LIGHTHOUSE,30/07/2025,0.8,0.0, ,13.4,10.0,94,60,0.00,8.75
MONTAGUE ISLAND LIGHTHOUSE,31/07/2025,0.8,8.0, ,13.1,9.7,89,63,0.00,9.18
Totals:,,19.7,186.2, ,,,,,, 
