'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MORUYA AIRPORT New South Wales for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MORUYA AIRPORT,01/03/2025,4.4,0.0, ,26.0,14.8,93,62,3.36,24.36
MORUYA AIRPORT,02/03/2025,2.7,0.0, ,23.1,19.6,87,61,4.63,6.30
MORUYA AIRPORT,03/03/2025,4.2,0.0, ,24.2,15.3,92,50,3.90,20.14
MORUYA AIRPORT,04/03/2025,4.5,6.0, ,24.2,18.2,93,52,3.84,23.06
MORUYA AIRPORT,05/03/2025,4.0,0.0, ,25.3,13.2,91,57,2.70,21.54
MORUYA AIRPORT,06/03/2025,4.2,0.0, ,26.2,14.6,94,55,2.77,22.03
MORUYA AIRPORT,07/03/2025,3.9,0.8, ,24.9,16.9,91,57,3.51,18.81
MORUYA AIRPORT,08/03/2025,3.5,1.0, ,24.2,17.0,90,62,2.75,18.14
MORUYA AIRPORT,09/03/2025,3.5,0.6, ,25.9,18.5,92,69,3.39,17.15
MORUYA AIRPORT,10/03/2025,4.2,0.0, ,27.2,17.6,90,61,3.22,21.07
MORUYA AIRPORT,11/03/2025,2.7,0.8, ,25.1,18.5,93,74,1.91,13.39
MORUYA AIRPORT,12/03/2025,3.5,0.4, ,25.8,17.4,94,68,1.79,19.45
MORUYA AIRPORT,13/03/2025,3.9,0.0, ,26.9,15.5,95,60,2.42,20.71
MORUYA AIRPORT,14/03/2025,3.9,0.0, ,26.7,20.5,91,70,3.16,19.99
MORUYA AIRPORT,15/03/2025,3.7,0.0, ,28.9,17.0,94,67,2.07,19.05
MORUYA AIRPORT,16/03/2025,4.9,0.0, ,34.1,17.6,94,26,3.57,8.94
MORUYA AIRPORT,17/03/2025,4.8,7.0, ,21.9,9.4,78,29,4.66,21.08
MORUYA AIRPORT,18/03/2025,3.8,0.0, ,22.4,9.3,88,49,3.47,20.92
MORUYA AIRPORT,19/03/2025,3.7,0.0, ,25.8,10.9,94,58,3.41,19.63
MORUYA AIRPORT,20/03/2025,4.2,0.0, ,29.0,16.6,92,55,3.32,19.18
MORUYA AIRPORT,21/03/2025,2.0,1.8, ,24.9,19.7,93,76,3.42,6.90
MORUYA AIRPORT,22/03/2025,2.2,2.2, ,22.4,17.5,93,68,2.31,9.43
MORUYA AIRPORT,23/03/2025,1.9,0.2, ,21.8,17.6,89,70,2.46,6.41
MORUYA AIRPORT,24/03/2025,3.2,0.0, ,25.2,15.3,93,71,2.72,18.10
MORUYA AIRPORT,25/03/2025,2.7,4.6, ,23.7,18.1,94,74,2.05,14.99
MORUYA AIRPORT,26/03/2025,3.4,0.2, ,25.5,15.1,95,66,3.18,19.32
MORUYA AIRPORT,27/03/2025,2.1,0.0, ,23.0,19.8,86,69,3.51,5.87
MORUYA AIRPORT,28/03/2025,2.2,0.2, ,22.9,18.1,93,70,2.44,9.54
MORUYA AIRPORT,29/03/2025,1.3,13.8, ,19.6,18.0,94,87,3.52,4.73
MORUYA AIRPORT,30/03/2025,1.4,17.2, ,20.2,17.6,96,85,7.28,4.31
MORUYA AIRPORT,31/03/2025,2.5,65.2, ,20.9,16.2,94,73,7.32,11.84
Totals:,,103.1,122, ,,,,,, 
