'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/09/2024,5.0,0.0, ,18.2,10.5,57,35,8.89,17.44
MOSS VALE,02/09/2024,5.3,0.0, ,15.3,12.8,59,30,11.94,16.21
MOSS VALE,03/09/2024,3.2,0.0, ,14.4,2.4,80,36,5.12,17.76
MOSS VALE,04/09/2024,3.6,0.0, ,19.8,3.2,86,29,3.82,17.59
MOSS VALE,05/09/2024,4.5,0.0, ,21.6,6.8,62,32,5.56,13.08
MOSS VALE,06/09/2024,5.2,0.0, ,23.3,9.8,71,30,6.16,18.22
MOSS VALE,07/09/2024,2.9,0.0, ,21.0,13.1,100,50,4.42,12.49
MOSS VALE,08/09/2024,3.0,0.0, ,16.0,7.8,99,42,5.81,14.25
MOSS VALE,09/09/2024,3.7,0.0, ,16.2,5.6,81,48,9.00,18.72
MOSS VALE,10/09/2024,2.9,0.0, ,17.5,2.5,98,50,3.66,18.90
MOSS VALE,11/09/2024,3.2,0.2, ,19.8,7.5,97,39,3.32,17.00
MOSS VALE,12/09/2024,1.4,0.0, ,12.6,7.9,97,73,5.66,6.25
MOSS VALE,13/09/2024,2.7,3.6, ,15.0,1.5,97,42,2.58,19.15
MOSS VALE,14/09/2024,3.6,0.2, ,17.5,0.9,99,28,4.31,19.53
MOSS VALE,15/09/2024,2.9,0.0, ,11.2,0.1,87,42,6.26,19.54
MOSS VALE,16/09/2024,3.6,0.0, ,15.0,-1.6,91,26,5.13,19.98
MOSS VALE,17/09/2024,3.4,0.0, ,16.9,0.2,97,35,4.25,20.20
MOSS VALE,18/09/2024,4.8,0.0, ,17.6,5.4,71,27,7.59,20.39
MOSS VALE,19/09/2024,5.5,0.0, ,18.5,10.1,60,25,8.06,20.39
MOSS VALE,20/09/2024,4.0,0.0, ,15.9,3.7,77,37,6.91,20.78
MOSS VALE,21/09/2024,4.7,0.0, ,16.5,8.5,69,37,9.54,20.96
MOSS VALE,22/09/2024,4.5,0.0, ,18.0,9.2,69,41,8.08,17.62
MOSS VALE,23/09/2024,4.9,0.0, ,21.0,6.8,80,33,6.23,21.36
MOSS VALE,24/09/2024,3.7,0.0, ,22.9,5.5,99,30,2.81,17.03
MOSS VALE,25/09/2024,4.7,0.0, ,23.6,13.3,86,36,6.06,14.89
MOSS VALE,26/09/2024,0.9,14.4, ,8.3,5.1,98,87,7.14,6.46
MOSS VALE,27/09/2024,1.8,9.6, ,11.8,5.1,98,77,5.44,15.17
MOSS VALE,28/09/2024,2.3,1.8, ,14.4,5.9,99,68,3.30,16.53
MOSS VALE,29/09/2024,2.3,0.6, ,18.1,7.3,99,74,4.26,14.69
MOSS VALE,30/09/2024,2.2,4.2, ,14.3,9.5,99,72,4.20,15.47
Totals:,,106.4,34.6, ,,,,,, 
