'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOSS VALE New South Wales for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOSS VALE,01/10/2024,3.5,0.0, ,20.4,3.5,99,43,2.21,21.91
MOSS VALE,02/10/2024,1.7,0.6, ,13.1,9.3,98,78,3.64,10.65
MOSS VALE,03/10/2024,2.9,0.0, ,17.3,8.2,97,60,3.77,17.88
MOSS VALE,04/10/2024,3.6,0.2, ,21.3,6.3,98,45,3.47,18.57
MOSS VALE,05/10/2024,4.5,1.8, ,19.6,12.6,90,38,7.21,18.86
MOSS VALE,06/10/2024,4.6,0.0, ,18.3,9.1,76,49,8.96,23.27
MOSS VALE,07/10/2024,4.6,0.0, ,22.2,10.4,98,40,7.07,19.07
MOSS VALE,08/10/2024,1.4,1.2, ,9.2,7.9,99,72,5.02,8.66
MOSS VALE,09/10/2024,1.9,0.2, ,13.0,6.0,97,67,3.52,11.32
MOSS VALE,10/10/2024,4.7,0.2, ,22.1,6.5,98,34,4.28,24.29
MOSS VALE,11/10/2024,3.9,0.0, ,22.0,8.6,99,49,4.19,20.50
MOSS VALE,12/10/2024,2.3,0.2, ,13.2,8.4,99,57,5.01,12.40
MOSS VALE,13/10/2024,3.3,0.2, ,18.0,-0.3,99,53,3.79,21.95
MOSS VALE,14/10/2024,3.0,0.0, ,21.8,9.0,96,55,4.03,12.43
MOSS VALE,15/10/2024,1.6,12.2, ,11.6,9.6,97,78,4.40,10.28
MOSS VALE,16/10/2024,3.2,0.2, ,17.9,4.4,99,58,2.32,22.47
MOSS VALE,17/10/2024,4.3,0.0, ,21.5,3.2,99,42,3.08,25.66
MOSS VALE,18/10/2024,3.5,1.4, ,23.4,13.2,97,61,5.97,14.84
MOSS VALE,19/10/2024,2.4,3.4, ,20.1,13.4,99,74,4.35,12.79
MOSS VALE,20/10/2024,3.9,2.0, ,19.4,10.2,99,59,4.54,25.89
MOSS VALE,21/10/2024,3.5,0.0, ,17.1,9.5,93,62,5.84,23.24
MOSS VALE,22/10/2024,4.7,0.0, ,25.5,2.1,99,27,2.11,24.80
MOSS VALE,23/10/2024,3.8,0.0, ,25.0,6.9,99,39,2.88,15.08
MOSS VALE,24/10/2024,4.2,0.0, ,20.5,9.5,94,33,3.68,20.08
MOSS VALE,25/10/2024, ,0.0, , ,3.8,99,38,3.69,21.92
MOSS VALE,26/10/2024, , , ,16.4, ,85,35,3.53,27.10
MOSS VALE,27/10/2024,5.4, , ,23.3,6.9,84,24,3.65,26.03
MOSS VALE,28/10/2024,4.9,0.0, ,25.1,6.6,95,25,4.24,15.20
MOSS VALE,29/10/2024,5.1,0.0, ,23.6,10.3,96,34,3.28,26.85
MOSS VALE,30/10/2024,6.4,0.0, ,26.9,12.1,94,22,4.26,27.17
MOSS VALE,31/10/2024,4.8,0.0, ,23.8,7.0,97,28,4.57,17.35
Totals:,,107.6,23.8, ,,,,,, 
